english,ekegusii
"It is important to continue educating our children well. Anyone who wants to reach Peter Ondiba can call him on 0729320298. Also, anyone who wants more information can contact Jared Mekenye Ongwae on 0723245075.","Ogosaba kwaye n' okonyora obogwenia bwa bene bwa nyagetari. Onye gotagete gokwana na Peter Ondiba, nigo okomwakera esimi goetera 0729320298. Naboigo nabo ogotoma egetoro kiao goetera ase Jared Mekenye Ongwae goetera 0723245075."
"This story ends here, and we thank Omosae Peter Ondiba for the report.","Mbuya mono ase bari moranyare korwa amasabo, gose koa omosae Peter Ondiba amagoro."
The elders have reduced – they are discussing matters.,Ebirero bia abasae- bogirango maate
"The elders are working on a report regarding the discussion of matters concerning the Kisii account, and they are gathering information about the scholarship funds allocated to students.",Abasae korwa ensemo yebunge ya bogirango maate ekaunti ya kisii nigo bemurunganirie igoro yechichera chibesa chiechibursary chikorwegwa ase ensemo eyuo.
"They were created by Samwel Botai; these elders have appointed a committee led by Sylvanus Osoro to investigate the bursary which was established by the committee chairman Manson Oyongo, who is the head teacher, and to review the previous beneficiaries so that those who deserve it can be identified, and those who were wrongly included can be removed from the list because they did not meet the criteria.","bakoragwa na samwel botai, abasae abwo nigo bamiragire ekiara omojumbe bwensemo eyuo sylvanus osoro ase ogokeia ekerengo giechibesa chiabegetwe na omojumbe omokoro manson oyongo giechilifu ikomi goika chilifu ibere ase kera omworokigwa egento batebire buna necheche gochia ase aborokigwa abataka abwo bategemeete chibesa echio gosoma."
"These elders also decided to visit Osoro to understand the situation of the elders' meeting, and the people there complained that they had not been informed properly.",abasae abwo boigo nigo bamochirie osoro ase ogotabwata okoboko abasae bwensemo eyuo erio banyore chigasi egekogera abange babo nigo basomete korende tibaranyora meremo.
"These elders also gathered together after being summoned due to the accident involving a boda-boda rider, and they went to see his motorcycle, and this issue was discussed extensively, and the meeting ended with a resolution to support the family of the deceased and provide them with assistance from the Gusii community fund.","abasae abwo boigo nigo bemurunganirie buna nyuma yokoborwa emeremo na gosoa bodaboda erio benyorere eng’eria yabo ya kera rituko, oboonchoreria obwo nigo bwasinyire egekogera chipara chinyinge ase ensemo eyuo nigo chisaregete na tichirigoeteka ase engaki eye embura egotwa ime ya gusii."
They requested the committee members to cooperate with them during the investigation and to ensure that this meeting is successful and that the agenda is achieved.,nigo basabire omojumbe osoro koimokerera igoro nakobakorera emeremo bamoete erio ensemo eyuo nero esuke motwe ase ensemo ya amagenderero.
This is news from Standard,Korwa ase Standard
Here are the details:,Aya amwabo aya:
"South Mugirango MP, Hon Manson Nyamweya","South Mugirango MP, Mhe Manson Nyamweya"
"South Mugirango MP, Hon Manson Nyamweya has invited people from Kisii County to his home, intending to raise about 300,000 shillings to spend on the Referendum. Hon Nyamweya is said to be planning to contribute money himself, but supporters from the Coalition for Reforms and Democracy (Cord) say they will also participate in the fundraising for the Referendum.","South Mugirango MP, Mhe Manson Nyamweya orire eira kobeka abamenyi ba Kisii County aamo, erinde goikerania chisei 300,000 ase ogotwara e Referendum. Mhe Nyamweya nigo agendererete n' emeremo y' okorigia chisei echi, nonya abarai bande ba Coalition for Reforms and Democracy (Cord), tibari ase omoroberio oyo bw' e Referendum."
"The leader of CORD, Kitutu Chache South MP, Hon Richard Onyonka has expressed concern and stated that the fundraising for the Referendum needs transparency, for the sake of Kenyan citizens. Hon Onyonka, along with Bomachoge Chache MP, Hon Simon Ogari have participated in discussions regarding Okoa Kenya, which supports the initiative of Hon Nyamweya.","Omogisangio oye ase CORD, Kitutu Chache South MP, Mhe Richard Onyonka ere okanire maiso marore na goteba buna omoroberio bw' Referendum n' ogosaria chingaki, amo n' chibesa chia Abakenya. Mhe Onyonka, amo na Bomachoge Chache MP, Mhe Simon Ogari mbachieti ase omosangererekano bw' Okoa Kenya, oyio orenge inse y' oborai bw' Mhe Nyamweya."
"Kenyan citizens should understand the importance of the Referendum. They shouldn't be forced to contribute,"" added Hon Nyamweya. The Coalition for Reforms and Democracy (Cord) has sent its supporters to work with Kisii County Governor James Ongwae, Deputy Governor Joash Maangi and Senators Chris Obure and Janet Ongera.","Abakenya boka nabwo babwenerete konacha ekina igoro y' Referendum. Onde tabweneretei gotogosa"" Nabo Mhe Nyamweya atebete"" The Coalition for Reforms and Democracy (Cord) nigo ebwate abarai abange korwa Kisii County buna Kisii County Governor James Ongwae, Deputy Governor Joash Maangi amo na Senators Chris Obure na Janet Ongera."
"Minto FM: The MP for South Mugirango constituency, Silvanus Osoro, has been speaking about the development in Gusii county.",Minto FM: Omochumbe bwe econstituency ya South Mugirango omosike Silvanus Osoro ogikeirie mono obokurumi ase chi-county chia Gusii
"The morning show on Minto FM hosted by Minto Bwakire interviewed journalist Wycliffe Nyabuto Riang’a, and MP Silvanus Osoro spoke at length about the challenges facing the Kisii County government regarding the implementation of development projects which are causing disagreements among people and hindering progress for the residents.","Kagokwana ime ya Minto FM ase omoroberio o Minto Bwakire amo nomoraria Wycliffe Nyabuto Riang’a, omosike Silvanus osoro nigo aenekirie buna ogotaigwana kwaye ne eserekari yecounty ya Kisii nkobwatekana no okobao kwo obokurumi okwo kwaireire amagenderero koirana magega naboigo abaraai koenyorera enibo enene mono ya abananchi."
MP Osoro also stated that there is a need to address the challenges facing the community so that residents can benefit from services.,Omosike osoro nigo atebire buna tari gochia koirana magega ase esegi yo obokurumi goika chingaki abananchi barachie kobekwa bosio.
"Regarding the development plans, Osoro said that residents should be involved so that they can understand the benefits of the projects, including infrastructure improvements, schools and school buses, and access to loans for small businesses, especially through this initiative.","Ase ensemo ya amagenderero omochumbe Osoro otebire buna abagirango nigo barachie komoinyora mono ase amagenderero ye chipara aoao echio aagachire, amaagacho ye chisukuru na kogorera chisukuru chi-bus naboigo koenekia okobao kwo oborendi obuya ase ensemo eyio."
"“This is the day the Lord has made; we will rejoice and be glad.” Happy Sabbath Esagati - Sagati Ya Magonga [ October ], 11, 2014","Omong'ina Oyo Tagokama Ng'ombe Yaye, Atarasaba Omonene Tata Nyasae"" Happy Sabbath Esagati - Sagati Ya Magonga [ October ], 11, 2014"
"May God bless Boka Boka and Egesa FM well, Hon Lawrence Nyakundi also spoke well: Mother, thank God for this wonderful day, may it bring blessings and freshness. May freshness lead people to Jesus Christ and all His teachings, making them understand and embrace righteousness. There is no day to forget embracing righteousness, when you embrace it, it brings life.","Ase omororoberio o Boka Boka ase Egesa FM bono iga, Hon Lawrence Nyakundi nigo ateba iga: Mbuya komosaba Omonene ritang'ani, ekero kwabokire ase rimaambia egekogera nario ore fresh. Iga nario okoboria Yeso akorae ase emeroberio yao yonsi, gochakera rimaambia, goikera ase rituko rigima. Teri buya koganya goikera ekero kwarosire morogoba, riria orosete, gwachakire koaora."
"Following that, Lydia Nyaboke Mokogoti said she understood the message about rejoicing on this wonderful day of God. She went to milk her cows, praising Father God.","Korwa abwo, Lydia Nyaboke Mokogoti nigo ateba buna namanyete omong'ina gete otari gokora kende atarasaba Omonene Nyasae. Ataragenda gokama eng'ombe yaye, goika asabe Tata Omonene."
She prayed for everything.,Nigo agosaba ase kende gionsi.
Sabbath is a time of remembrance for all people. From The New International Version: Luke 18:1 Then Jesus told his disciples a parable to show them that they should always pray and not give up.,Esabato y' omorembe ase Mwanyagetinge ominto abeta. Koru ase The New International Version: Luke 18:1 Then Jesus told his disciples a parable to show them that they should always pray and not give up.
"The Atlanta Maranatha Seventh-day Adventist Church: 2730 Browns Mill Road South East, Atlanta, Georgia, USA. Mwanyagetinge.com/2014","The Atlanta Maranatha Seventh-day Adventist Church: 2730 Browns Mill Road South East, Atlanta, Georgia, USA. Mwanyagetinge.com/2014"
1 Thessalonians 5:7 Pray without ceasing.,1 Thessalonians 5:7 Pray without ceasing.
"This story about a child is about a struggle he faced, big and very challenging. This story is based on a “SEED story” from the University of KwaZulu-Natal.","Ase omogano oyo omwana nigo akoerengia chianaga chinge, chinene na echi chimoisane. Omogano oyo nigo orwete ase “SEED story” korwa eyunibasiti ya Kwazulu-Natal."
So how can we help children overcome challenges in life through stories?,Ning’o orabe omoruoti bweching’iti chiorosana maega yeechui korwa oboruoti?
"The book and its contents have been developed to provide guidance. They guide to provide guidance, and this place has become well known.","Ekebusi amo ne’sese nigo bikorigereria korwa etirisa. Bikorigerei korwa etirisa, nario erio biaroche ekegwankwa."
The bird is said to have a song that brings joy when it sings in the morning.,Chinyang’au nigo chire nerang’o aseigo chibare buna chigochia konywa amache.
The story focuses on the problems faced by children who experience difficulties in their relationships. These problems are addressed openly with parents and those involved.,Omogano igora ya ogokonya ebirerwa bieching’iti chikoretwa ase enasari ye chitangana. Ebirerwa ebio nigo bikorerwa nomonto obene na abakonyi bande.
Oral Sources On The Ground:,Oral Sources On The Ground:
"Yes, these are the words:",Aya amwabo aya:
Oh! She has given birth to a child!,Obe! Naende eng'oge yatoberekirie omwana!
"And she gave birth to them, they were circumcised by the Basweta, so we know. It is said that when the child cried, he called out to Oisera, quickly informing them about this matter. A good matter indeed, this matter of theirs, the ceremony that reveals the child!","Aba naende nabwo bakorokwa Abasweta, buna twamanyire. Nigo togotebigwa buna nigo omwana omoiseke bw' omogaka Oisera, achiete ase bamenyete abwo rinani ime. Gaaika ime y' rinani erio, engoge ekamonyoria omwana!"
"It is this ceremony that revealed the crying, the child who was circumcised by Machoge Osweta Ngoge! There is no day people forgot. Anyone who investigates Gusii customs regarding circumcision, goes to Nyang'oge, and their knowledge comes from those who understand the pain. The Machoges say and have this proverb:","Ke engoge eye yaiboria omoseke oyo, omwana oye akarokwa Machoge Osweta Ngoge! Tari igo rioka baba ominto. Onye aye kwaigure Mogusii onde okorokwa Ng'oge, gose Nyang'oge, bono rirorio aye kwamanyire ase erieta eri riarwerete. Abamachoge mbare ne chinyomba chikobwatia:"
"We should be careful lest we forget, the Gusii people should not forget the ceremonies. It is the clothes that reveal the secrets of the Oisera clan. Below: What did they agree on? This agreement came about through consultation.","Kobwatekana buna twatebigwe, Abagusii ntobwate amanyinga y' engoge. Nigo engoye yabiaretie enyaroka y' omogaka Oisera. Below: Nintwe gose baikeranire kogamba? Chingoge chiaaikeranire ase omosangererekano obo."
"Work with heartfelt thanks to Kwamboka Mireri, also to the elders Samuel Omare Nyambisa and Kenyanya Marube, my mother and thank you for listening.","Korwa ase omongina magokoro Kwamboka Mireri, amo na abagaka chisokoro Samuel Omare Nyambisa amo n' Kenyanya Marube, mbuya mono and thank you for listening."
Next In This Series: The Tradition of the Gusii (Abagusii History): The Proverbs of the Babasi (Babasi Clans),Next In This Series: Omogano Bw' Omogusii (Abagusii History): Chinyomba Ch' Ababasi (Ababasi Clans)
"The people are saying that the government is delaying the investigation of these matters and they are being frustrated and angered. It is said that they have written about these matters as they should be done. The lawyer for the family of Nyaruri, Mr. Andrew Mandi, has been served with documents related to this case and he has been asked to respond. The investigator investigating these matters, Robert Natwoli, has been summoned to explain why he was not present. There is strong evidence suggesting that Francis Nyaruri's time has come as it should be. Many people are now worried about the consequences of all this. Furthermore, there are those who are very eager to cooperate with the family of Francis Nyaruri.","Abatuki babere be serikali barenge korigereria amangana aya nigo batamete na kwebisa. Ekiabete inga nigo banyorete amangana inga ingoitwa bare. Omowakili bwo omochie o Nyaruri, omosike Andrew Mandi nere otomeirwe amangana inga goika atige ekina eke goisa nabo arabaisa goitwa. Omosigari omotuki bwa amangana aya, Robert Natwoli nere otebigwe atige obotuki obo ataraitwa. Onde bwensi otagete koboria igoro ya Francis Nyaruri nigo akoonywa inga ingoitwa are. Obosoku sana ase ogotachera amachiko ye ense yaito inse. Naende, nigo ere bobe sana ase ogotarorera eamate na omochie o Francis Nyaruri amabera."
"In 2008, the award from The Committee to Protect Journalists was given to the late journalist, Hon. Mwai Kibaki. It was reported that Hon. Kibaki supported the investigation of the murder of journalists. And the truth will eventually emerge regarding the circumstances surrounding the death of Nyaruri. Let us wait and see. Also, the award from The Committee to Protect Journalists was given to Hon. PM Raila Odinga. It was stated that PM Raila supported and repeated that those who committed crimes against journalist Francis Nyaruri would be held accountable under Kenyan law. We urge the family of Francis Nyaruri to be comforted.","Ase Omotienyo o Gatato omwaka oyo, ekeombe kia The Committee to Protect Journalists nigo kiarigete rirube gochia ase Omorai Bwe Ense, Mhe. Mwai Kibaki. Nigo giasororete Mhe. Kibaki arigererie amangana ya ogoitwa kwa abariki ba amangaseti. Naende imbaboretie arore inga obotuki bwo ogoitwa kwa Nyaruri kwabeire. Kende tikiana koba. Ase bono iga, ekeombe eke kia The Committee to Protect Journalists kiarikire rirube gochia ase Mhe. PM Raila Odinga. Nigo gekoboria PM Raila arigererie na korora inga bari bakorete amabe ase omosike Francis Nyaruri bagambigwe kobwatekana na amachiko aito Kenya. Nigo twensi togosaba omochie o Francis Nyaruri ororerwe amabera."
"Long ago and recently, there was a ceremony at the home of Iruma, people gathered together rejoicing greatly. That gathering involved people and their families who came from far and wide. Those at the home of Iruma were given a chance to work on this matter. The committee, they planned to go to Matacho to buy bananas.","Abwo kare na kare ase ekenyoro kia Iruma, omoibi egiata narenge aroro. Omoibi oyo nigo achandete abanto n'oboibi bwe chindagera korwa mogondo na kiage. Abe ekenyoro kia Iruma bagasinywa eki barakorere simbiri oyo. Obotuko obomo, simbiri akamanora kogenda o Matacho koiba ritoke."
The family gathered. They decided to bring bananas and purchase them. Bananas and sweet potatoes are available at Bonyakoni. Picture by Petronillah Ogoti. Gusii.com files.,Omoibi egiata. Nigo are kogatera amatoke abande na koyaiba. Ritoke n' esiro aaria Bonyakoni. Picture na Petronillah Ogoti. Gusii.com files.
"However, the committee members and those who went to that place agreed to get bananas from a certain person. They went to Matacho, they wrote down the names of those who came first, and they were chosen. Quickly, quickly, the committee selected those who brought bananas, so that everyone could reach Matacho.","Kwagachia, simbiri mbarenge n'omoisia oye oyio orenge gochia komokonya gotwa ritoke eri riang'ana swanya. Kibaika o Matacho, bakanyora omonyene omogondo nigo araire. Keri keri, simbiri agatebia omoisia oye abwate ritoke barinache, egere ndigwa nse riture Matacho."
"The committee worked well, yes! This field and the bananas have been harvested. Oh, oh! It seems those who harvest also harvest the husks. He started digging, working with large hoes until he found the child. Then Matacho became tired and began singing a song.","Simbiri agaaka ng'a, po! Akabuga ng'a ne ritoke anacha. Obe, obe! Kumbe n' omoisia oye anacha ebigoti. Akang'ea goichana, gakorera n'ebirero ebinge kagoteba buna aitire omwana oye. Abwo Matacho akaboka na kobugia esirimbi."
"The ceremony at the home of Iruma ended going to Matacho and digging with the tools. In that time, the families rejoiced greatly, at the home of Iruma.","Ekenyoro ekegima kia Iruma gekaminyokani kogenda o Matacho na goichana ne egekore eke. Korwa erio, oboibi bokaera pi, ase ekenyoro kia Iruma."
"They say that things are good when they are spoken about, those that are forgotten are like Ekenyamorero."" Yes, this story is very small but important to the Gusii people. This was said between me and director Inee Slaughter, Executive Director of the Indigenous Language Institute in Santa Fe, New Mexico, USA.","Nabo ogoteba ebinto gete ase omonwa oito, ebio otanyare goteba ase Ekenyamorero"" Yaya, ayio tari mang'ana aito igaa ase Gusii.com. Ayio n' amangana atebetwe amo n' omosubati Inee Slaughter, Executive Director of the Indigenous Language Institute aaria Santa Fe, New Mexico, USA."
"With 300 languages, those found in the USA and Canada, 100 have disappeared.","Gati y' emenwa 300, eyio yakabeire ase USA amo na Canada, emenwa 100 yasirire."
"Director Slaughter says this story comes from Boston.com, which recently published a story about the loss of Native American languages, which is worrying. They say that with 300 Native American languages in the USA and Canada, 100 have already gone.","Omosubati Slaughter nigo akwana amang'ana aya gochia ase Boston.com, ekero arenge koborigwa igoro y' emeremo y' okorenda emenwa y' Abaindi b' America, eyio egendererete gosira. Nigo abatuki bagoteba buna gati y' emenwa 300 y' Abaindi ase USA amo na Canada, emenwa 100 yasirire pi."
"In that article, Boston.com says that many tools are used, computers including iPads and tablets, to help save these languages for their children in America.","Ase enkwana eye, Boston.com nigo egoteba buna ebisaku ebinge nigo bigotumia apps, chikompiuta buna chi ipad amo n' tablets chinde, erinde gosemia ebisaku ebinge tibieba emenwa yabo aaiga Amerika."
"Commentators, including California State University, San Bernardino, California, are studying these languages. Read the full report on Boston.com now.","Komenta nayio, chiyunivasiti chinde buna California State University, San Bernardino, California, chiachakire gosomia emenwa eyio. Rora bono the full report korwa ase Boston.com igaa."
"Jared Nyaberi, Editor of Ekegusii also reports from Abagusii AT Gmail.com, Twitter.com/abagusii and Facebook.com/abagusii. Gusii.com, Duluth, Georgia, United States. Date [April] 21, 2013.","Jared Nyaberi, Omosomba bwe Ekegusii nao agotoka ase Abagusii AT Gmail.com, Twitter.com/abagusii na Facebook.com/abagusii. Gusii.com, Duluth, Georgia, United States. Rigwata [ April ] 21, 2013."
Minto FM: The member of county assembly has stated that the county budget is inadequate and does not reflect the needs of the people - Denis Ombachi - MCA Marani Ward,Minto FM: Chibunge chie chi-county nchibwenerete chitware obosibore buna chiria chiense – Denis Ombachi – MCA Marani Ward
"The MCA said that the Marani ward representative is concerned about the county government of Kisii's budget allocation, stating that Dennis Ombachi raised concerns that the county budget should be reviewed to ensure proper distribution of funds to avoid issues with their salaries and to facilitate development projects within the county.",Omo-MCA bwe E-ward ya Marani oywo boigo ore omonyakerogo ase ekomiti ye e-budget ime ye ecounty ya Kisii omosike Dennis Ombachi otebire buna nigo chibunge chie chi-county chigwenerete kobekerwa e-budget yabo ensemo yo ogoikerania obokoreri bwabo naboigo goakana emeshahara yabo na tari koganyerera ebitoki korwa ase chi-county.
"According to Ombachi, this is a crucial time to demonstrate that MCAs can work effectively and address the challenges facing residents, ensuring governors fulfill their promises to the citizens.","Omosike Ombachi, nigo atebire buna eywo nero enchera ya beene yo okoenekia buna aba-MCA tibari gotwara bwoba bonde bwensi ekero bagoikeraania egetari kiabo gio okoenekia buna abagavana batumekire buya chibesa chia abananchi."
"Furthermore, Ombachi mentioned that MCAs deserve at least 30 percent of the resources allocated to county services to enable them to implement development agendas for the people.","Boigo, nigo omosike Ombachi aboriirie buna aba-MCA baegwe asilimia emerongo ebere ase emia ye chibesa chigotomwa gochia ase chi-county erio koenekia buna baikeranirie amagenderero ye engencho gochia ase abananchi."
Ombachi appeared on Minto FM today during the morning show with Minto Bwakire and interacted with caller Wycliffe Nyabuto Riang’a.,Ombachi nigo ayakwana aywo ime ya Minto FM ase omoroberio o’ Minto Bwakire ekero asanga no omoraria Wycliffe Nyabuto Riang’a.
A curated collection of free learning resources!,A curated collection of free learning resources!
Books,Books
Browse 10 books in Gusii. Start by selecting your level Browse 10 books in GusiiSelect your level,Browse 10 books in Gusii. Start by selecting your level Browse 10 books in GusiiSelect your level
A story about a friend,Omonto omotambe mono
This story is about a friend who went to look for something and found it difficult to see and understand. This story also explores how friends can help each other overcome challenges.,Omonto oyo ore ase omogano oyo nigoare omontambe mono na ase igo keregento nigokere ekieng’e na egeke asare. Omonto oyo nigo agotatora obokong’u goetera ase okoreng’ania ebinto bionsi bimoreng’ane.
"School days, happiness and sadness","Ekebusi, Esese amo ne’ekegwankwa"
"A friend went to school and experienced both good and bad times. The story is based on a ""SEED story"" from the University of KwaZulu-Natal.","Ekebusi amo ne’sese nigo bikorigereria korwa etirisa. Bikorigerei korwa etirisa, nario erio biaroche ekegwankwa."
School days and happiness bring color,Chianga chiane chiesukuru
School and happiness brought friends together. They shared experiences and were able to accomplish everything they set out to do.,"Ase omogano oyo omwana nigo akoerengia chianaga chinge, chinene na echi chimoisane. Omogano oyo nigo orwete ase “SEED story” korwa eyunibasiti ya Kwazulu-Natal."
Sharing a beautiful song,Ekebusi amo ne’Esese amo nogoaka Erangi
The song is very sweet and makes people happy when they hear it.,Ekebusi ne’Esese nigo bire abasani. Nigo bibwate echeche nainde bikogoka gokora ebinto bionsi amo.
Salim's drums,Kobara chinyang’au chiorosana
Salim had many drums. Did Salim have more drums?,Chinyang’au nigo chire nerang’o aseigo chibare buna chigochia konywa amache.
Five people died from coronavirus in Nyamira,Omonto o 5 onyorekanire na corona Nyamira
"Five people have been confirmed to have contracted the coronavirus disease in Nyamira county, bringing the total number of infected people to 379 who have so far been tested positive and discharged after being confirmed to have contracted the disease, while a total of 7,050 people have been screened and the total number of people infected with the disease across Kenya now stands at 10,105.","Omonto o 5 onyorekanire ne ebinyinyi bia corona ime ye ecounty ya Nyamira oyio ore egati ya abanto bande 379 bararigwe ne ewizara yo obochenu konyorekana ne ebinyinyi ebio korwa ase abanto 7,050 barengetwe na igo goikia omobaro bwa abanto bambokerigwe ebinyinyi ebio aiga kenya koba 10,105."
"The number of people who have been confirmed to have contracted the disease in Nairobi county is leading with 209 cases followed by Kiambu with 49 cases, Busia with 38 cases, Migori with 19 cases, Mombasa with 16 cases, Kajiado with 12 cases, Uasin Gishu with 8 cases, Lamu with 6 cases, Machakos and Nakuru counties each recorded 5 cases respectively, Wajir, Narok and Kisumu each had 2 cases respectively, while Nyamira, Isiolo, Kericho, Nyeri, and Trans Nzoia counties each recorded one case respectively.","Egati ya abanto abwo banyorekanire ne ebinyinyi ebio ecounty ya Nairobi nero etangaine na abanto 209 kobwatigwa na kiambu na abanto 49, Busia na abanto 38, migori na abanto 19, mombasa na abanto 16, kajiado na abanto 12, Ausin Gishu na abanto 8, Lamu na abanto 6, chicounty chia machakos na Nakuru gotwara abanto 5 kera eyemo, wajirn Narok na kisumu abanto 2 kera yemo, chingaki chicounty chia Nyamira, Isiolo, kericho, Nyeri, Trans Nzoia chibwate omonto oyomo kera eyemo."
"However, another 49 people have recovered after undergoing treatment, bringing the total number of those who have recovered to 185 people who have been discharged from hospitals across Kenya.",Nonya nabo abanto bande 49 babwenire na koigorerwa korwa nyagitari ase korende omonto onde oyomo akure na goikia abanto 185 bakure gwetera ebinyinyi ebio aiga kenya.
"The cost of medicine has increased due to the high demand for cancer machines in various large hospitals in Kenyatta. This comes amidst reports from the Kenyan National Newspaper, where the machine's first phase is said to be working to provide services to those suffering from the disease.","erombe ya amagima yatigaire eroro magega ye emashini ya kansa gokwa aaria ase enyagetari enene ya Kenyatta. Koreng’ana namariko yengazeti eyemo y’ ense ya kenya, chimashini echio ibere nigo chiarosa gokora emeremo gotiga abarwaire ase eroro."
"However, it has been reported that Nairobi residents have also found patients with the disease who, due to their condition, say the fight against cancer will not end soon because of the need to help patients get individual attention and proper care.",Bono nigo yatebekanire buna enyagetari ya Nairobi nabo barabakonye abarwaire abwo ase rigori rike ko nigo ekororekana buna oborwaire bwa kansa tibori koegwa ngencho neene koirera abarwaire korigia obogwenia boindi na ase chinse chia isiko.
People are urging the government to address the issue of funds being misappropriated so that they can be used to purchase essential medicines which are currently unavailable and needed by many people.,Abange nigo bagosiria amagima ase ogotaringorigwa na abande koegwa ogochika koganya ase chingaki chintambe eyio yaenekiigwe ekoirera amakweri amange koba ayio anga abwenerete gotangwa.
"Cancer and breast cancer cases in Kenya are increasing daily, causing great concern among health officials regarding this problem and its impact on those unable to afford treatment. Kenyatta National Hospital (KNH) is reporting that over 1,000 patients are diagnosed annually, with approximately 1,000 more awaiting access to treatment.",Oborwaire bwa kansa nekansa borobwo obonyene ase Kenya yaito ekiagera onde taiyio nonya neserekari ogwechandera oboringoria obwo gose gokonya baria batari kwenyara. Enyagetari ya Kenyatta (KNH) nigo ekorengia buna abarwaire abayia chilibu emerongo ene nigo bagotoka kera omwaka gati yabo chilibu emerongo ebere na isano na ibere bagokwa ase okoborwa obogwenia.
"The Kenyan government has allocated four centers in major cities like Nairobi to combat cancer, but many people still face significant challenges accessing these facilities. 1,000 patients are estimated to seek treatment each year, and KNH alone requires substantial resources to improve healthcare, alongside other institutions such as MP Shah, Aga Khan, and Nairobi Hospital, which require considerable funding to meet the growing needs.","Ense engima ya kenya nigo ebwate ebitaseni bine bioka ase omochie omonene Nairobi bikogwenia kansa ko ebia abanyene naende bire rigori rinene.Abarwaire 1,000 nigo baganyete koegwa rituko korigia okogwenia okwo ekiagera KNH nero yoka egosaba chimia isano okororwa okomo chingaki MP Shah, Aga Khan na enyagetari ya Nairobi chigosaba chilibu ikomi echio omonto omotaka ataisanie."
"Good afternoon, my name is Petronillah Ogoti. Gusii.com Proverbs, Culture And Customs Editor. August 31, 2014","Buna Twakabeire na Petronillah Ogoti. Gusii.com Proverbs, Culture And Customs Editor. Riete (August) 31, 2014"
These are the topics:,Aya amwabo aya:
Abagusii Culture And Customs LXI: The Seventh Tradition Of The Gusii People,Abagusii Culture And Customs LXI: Chimbachero Chi' Ekegusii VII
The Traditions Of The Gusii People X: Is Ratemo's Bird Really Flying Around?,Chimbachero Chia Abagusii X: Bono Ratemo N' Chinyoni Irenga Arasete?
The Traditions Of The Gusii People IX: Did Makori God Truly Find Himself In Trouble?,Chimbachero Chia Abagusii IX: Bono Ngai Makori Aairete Ebunda Yende?
"It happens that when someone is very happy they start jumping around excitedly, people often say “That child has no sense.” Does this happen with traditions in Gusii land?","Tokare koabusa ekeroreri ase chimbori chiabegete chimbiribiri igoro morogoba, omong'ina magokoro baba ominto okare goteba buna ""Mwana oyio tari na mbiribiri"" Bono gotaba na mbirimbiri ninki ase Ekegusii?"
"Beauty of the eyes: It is said that a person should not look down on others. Gusii.com at home is located in Bara Nne, Bomachoge Chache, Kisii County. Mwanyagetinge.com/2014","Amaridadi ya amaiso: Nigo chigasaine kobeka chimbiribiri inse. Gusii.com at home aaria Bara Nne, Bomachoge Chache, Kisii County. Mwanyagetinge.com/2014"
"People often ask me about the meaning of their traditions among the Gusii. This happens with excitement and people forget their manners and behave badly. Those who are humble, both them and their manners are good.","Nigo omong'ina baba antebetie buna eye n' eyemo y' chimbachero chiaito ntwe Abagsuii. Gotaba na mbiribiri ase engencho ende, omonto otabwati chingencho gose amakorwa amaya. Aaiga ase enchera ende, oyio n' omonto bosa."
Very true.,Bure kabisa.
"In reality, a person who does not have sense is considered to be “Up to no good”. This is what people say about bad children, and today this tradition is also used in serious matters.","Ase ekenyamorero, omonto buna oyo otari na mbirimbiri nigo agotebekana are ""To be up to no good"" Korwa ase omong'ina magokoro baba ominto, eye nero embachero yaito ase rituko ria rero."
Thank you very much and thank you for listening.,Mbuya mono and thank you for listening.
Browse 29 books in Gusii. Start by selecting your level Browse 29 books in GusiiSelect your level,Browse 29 books in Gusii. Start by selecting your level Browse 29 books in GusiiSelect your level
Anansi orenteire abanto emegano,Anansi orenteire abanto emegano
"Long ago, the sky god kept all stories locked up in a wooden box. People asked clever Anansi to ask the sky god for the stories. The sky god agreed, but only if Anansi performed three seemingly impossible tasks.","Long ago, the sky god kept all stories locked up in a wooden box. People asked clever Anansi to ask the sky god for the stories. The sky god agreed, but only if Anansi performed three seemingly impossible tasks."
Omonto omotambe mono,Omonto omotambe mono
"That person who has knowledge is like someone who has a treasure, because knowledge brings respect and makes one wise. That person also goes around collecting things to help him understand everything.",Omonto oyo ore ase omogano oyo nigoare omontambe mono na ase igo keregento nigokere ekieng’e na egeke asare. Omonto oyo nigo agotatora obokong’u goetera ase okoreng’ania ebinto bionsi bimoreng’ane.
Ebibusi bia Selemeng’,Ebibusi bia Selemeng’
Selemeng’ had many problems. What problems did Selemeng’ have?,Selemeng’ nigo abwate ebibusi ebinge. Ebibusi birenga Selemeng’ abwate?
Omotugi n’enasari yaye,Omotugi n’enasari yaye
The story tells of a young girl who was very beautiful and intelligent. The beautiful girls were made by a certain person and skilled people.,Omogano igora ya ogokonya ebirerwa bieching’iti chikoretwa ase enasari ye chitangana. Ebirerwa ebio nigo bikorerwa nomonto obene na abakonyi bande.
Ekebusi amo ne’Esese amo nogoaka Erangi,Ekebusi amo ne’Esese amo nogoaka Erangi
Ekebusi and Esese were friends. They had power and could do everything together.,Ekebusi ne’Esese nigo bire abasani. Nigo bibwate echeche nainde bikogoka gokora ebinto bionsi amo.
"Ekebusi, Esese amo ne’ekegwankwa","Ekebusi, Esese amo ne’ekegwankwa"
