English,Kiswahili,Ekegusii,Domain
The Kenya Medical Research Institute (Kemri) has dispatched a team of experts to Marsabit to collect samples for tests after nine people died.,Taasisi ya Utafiti wa Kimatibabu ya Kenya (Kemri) imetuma timu ya wataalamu kwenda Marsabit kukusanya sampuli kwa ajili ya vipimo baada ya watu tisa kufariki.,Ekiombe kiobotuki bw’obonyagitari (KEMRI) giatomire abanto babo marsabit korenga abanto magega ya abanto kianda gosiria amagima abo.,Health
A solid business plan is essential for any agribusiness venture like grain production. Learn the key components and how to develop one.,Mpango imara wa biashara ni muhimu kwa mradi wowote wa biashara ya kilimo kama vile uzalishaji wa nafaka. Jifunze vipengele muhimu na jinsi ya kuuendeleza.,Omoroberio omuya bwoboremi nobwengencho kegima as oboremi bwoboonchoreria  as oboremi bwechinyeke. Egera igoreo yebiganeirie na buna bigora emeremo kogesa rigesa.,Agriculture
"Kakamega County gov't orders closure of all public mortuaries, Governor Oparanya advises residents to bury their dead immediately.","Serikali ya Kaunti ya Kakamega yaamuru kufungwa kwa vyumba vyote vya kuhifadhia maiti vya umma, Gavana Oparanya awashauri wakazi kuzika wafu wao mara moja.","Eserekali y’ekaunti ya Kakamega yarure ogochika kwogosieka chimocheri chi’echinyagitari chieserekali, Omogabana Oparanya oboririe abamenyi gotindeka abakure kegima.",Health
"The Ministry of Health has confirmed two new Mpox cases, bringing the total number of infections to 33 since the outbreak began.","Wizara ya Afya imethibitisha visa viwili vipya vya Mpox, na kufanya jumla ya maambukizi kufikia 33 tangu mlipuko huo uanze.","Ewizara y'Oborwaria yaenekirie abanto bande babere gotwara MPOX , yamentire esabu yonsi koba 33 koru ogoateka.",Health
An MoU was signed to integrate gender equality into national PCVE structures and empower women in terrorism-prevention roles.,MoU ilisainiwa ili kuunganisha usawa wa kijinsia katika miundo ya kitaifa ya PCVE na kuwawezesha wanawake katika majukumu ya kuzuia ugaidi.,Okoigwanana nkwabegetwe egechara kobwatana amo oboreng'ananu bwabanto gochia ase omoroberio bweserikari bwogotanga na korwania obokegab bwogogosria ebirengererio (PCVE) gosomia na na kobaa ebire bineirie erio babe abakoreri bengencho gotanga komanya na gotanga obokebago bwokoruta chipomu.,Security
Enable two-factor authentication (2FA) for all bank and social media accounts.,Wezesha uthibitishaji wa vipengele viwili (2FA) kwa akaunti zote za benki na mitandao ya kijamii.,Enable two-factor authentication (2FA) for all bank and social media accounts.,Security
No delay in school reopening 2025 due to floods.,Hakuna kuchelewa kwa kufungua shule mwaka 2025 kutokana na mafuriko.,Konyorwa tikobao ase okoigora chisukuru 2025 ase engencho yetoigo.,Education
"progress in utilizing digital agriculture to fight COVID-19, and to ... To build the case for investment,. IFAD must work to break misconceptions ...","maendeleo katika kutumia kilimo cha kidijitali kupambana na COVID-19, na ... Ili kujenga hoja ya uwekezaji,. IFAD lazima ifanye kazi ili kuvunja dhana potofu ...","Okogenderera ase enchera yogotumia oboremi bwegechidichitari korwania COVID-19, amo na ... Kobeka oboroso bwobogachi,. IFAD yabetereriigwe gotagora ebirengererio bitari biaboronge...",Agriculture
Used during Nairobi festivals,Inatumika wakati wa sherehe za Nairobi,Yatumegete ekero giechisiri  Nairobi.,Education
"Inclusive financial services and family remittances for poor rural people Â· Building forward with digital agriculture in Near East, North Africa and Europe ...","Huduma jumuishi za kifedha na pesa zinazotumwa na familia kwa watu maskini wa vijijini Â· Kuendeleza kilimo cha kidijitali katika Mashariki ya Karibu, Afrika Kaskazini na Ulaya ...","Obokoreri bwechibesa ase bonsi na korwa ogokonya gochia ase bari batari kwenyara ase ebinyoro. Gokina ase chingaki chia motwe gotera oboremi bwegechidichitari ase ense ya Ang'e Bosongo, IrianyiAfrica and Bongeresa...",Agriculture
Don't display valuables in your car - keep them out of sight.,Usionyeshe vitu vya thamani kwenye gari lako - viweke mbali na macho.,Tiga kworokia ebinto bierigori ime yerori yao - keep them outside.,Security
"Drip irrigation delivers water directly to plant roots, saving water and improving efficiency for goats.","Umwagiliaji wa matone hutoa maji moja kwa moja kwenye mizizi ya mimea, na hivyo kuokoa maji na kuboresha ufanisi kwa mbuzi.","Omoroberio bwokonyorokereria amche ase ebiimeri nomoikeranu ekiagera ogotonyia amache gochia emeri yebimeri  erio gokonya gotumia amache buya, na goikerania obotugi bwechimbori.",Agriculture
Access EduTV via Kenya Education Cloud daily.,Fikia EduTV kupitia Kenya Education Cloud kila siku.,Nyora amasomo goetera omoroberio bweserikari (Edu TV) okera rituko,Education
"""Be cautious of agents offering NHIF registration at matatu stages. Report such individuals to the nearest police post. NHIF registration is free.""","""Kuwa mwangalifu na mawakala wanaotoa usajili wa NHIF katika hatua za matatu. Waripoti watu kama hao kwenye kituo cha polisi kilicho karibu. Usajili wa NHIF ni bure.""","""Kabe maiso korwa abanto bagwekora ng'a nkorika bare ase omoroberio bweinsuarensi ya nyagitari (NHIF) abwo ase chirori chikorinerwa. Ripoti abanto abwo ase eporisi ere ange naye. Kwerika koba oyomo ase Einsuarensi ya Nyagitari (NHIF) mbosa egokorwa.""",Security
Learn farming! Enroll in agricultural vocational courses.,Jifunze kilimo! Jiandikishe katika kozi za ufundi za kilimo.,Soma iogoro yoboremi! Soa ase ekosi yoboremi.,Education
IMLU report on community policing committees in Narumoru (serving Nyeri and Nyandarua region),Ripoti ya IMLU kuhusu kamati za polisi jamii huko Narumoru (zinazohudumia mkoa wa Nyeri na Nyandarua),Ekeombe kia IMLU kiarure eripoti igoro yechikomoti chiabarendi boborendi aaria Narumoru (egokorera ensemo ya Nyandarua),Security
Mpox outbreak in Mombasa. Two people have died from Monkey Pox disease. Mombasa County has reported 98 Monkey Pox cases. There is a lot of active community transmission,Mlipuko wa Mpox Mombasa. Watu wawili wamefariki kutokana na ugonjwa wa Tumbili. Kaunti ya Mombasa imeripoti visa 98 vya Tumbili. Kuna maambukizi mengi ya kijamii yanayoendelea,"Oborwaire bwa MPOX bwatokire Mombasa 
  Ekaunti ya Mombasa yaripotiri abanto emerongo kianda na isano isato gotwara oborwaire Bwa MPOX naboigo babere gosira kobwatia oborwaire obo na kogenderera koambokera abande abange.",Health
Report risks! Call police or teachers to prevent abductions.,Ripoti hatari! Piga simu polisi au walimu ili kuzuia utekaji nyara.,Manya na komanyia abande igoro yomochando gose okogosereria konde gwonsi gotaraba! Rangeria abasikari gose omwarimi gotnga akoibwa kwa abana.,Education
Grade 7 & Form 1 reporting: Bring ONLY birth certificate + admission letter. No shopping lists allowed!,Ripoti ya Darasa la 7 na Kidato cha 1: Lete cheti cha kuzaliwa PEKEE + barua ya udahili. Hakuna orodha ya ununuzi inayoruhusiwa!,Abana bageredi 7 na esekenderi fomu 1 gosoa cchisukuru: Bogoria Esatifiketi yokoiborwa YOKA nerirube riokorangerigwa. Gotebigwa nga ogore eke na keria TiKOIYO!,Education
"We encourage members of the public to support the fight by providing relevant information, NPS added.","Tunawahimiza wananchi kuunga mkono mapambano hayo kwa kutoa taarifa muhimu, NPS iliongeza.","Nigo togesegeta abanto gotobwatisia esegi eye goetera okomanyia abasikari ayarengete obobe obwo , ekeombe keria kia abasikari (NPS) kiagesete.",Governance
Turn off your Bluetooth when you're not using it! Others can access your phone.,Zima Bluetooth yako wakati huitumii! Wengine wanaweza kufikia simu yako.,Rimia eBluetooth yao ekero otari koyetumia. Abanto bande bensemo nabo barosoe ase esimi yao otamanyanyeti.,Security
... market access in order to address food availability and affordability in the region. Low agricultural productivity and health issues emerge as most severe ...,... upatikanaji wa soko ili kushughulikia upatikanaji wa chakula na uwezo wa kumudu gharama nafuu katika eneo hilo. Uzalishaji mdogo wa kilimo na masuala ya kiafya yanaibuka kuwa makubwa zaidi ...,Goikera echiro erio goikerania ogotoka kwendagera as bonsi na ase rigori rigiya aiga orgongo rwa'Afrika. Ogokeana kwerigesa nebirengo bibwenerate endagera engiya ekorenda omobere yarorekanire buna ring'ana riomochando omonene…..,Agriculture
Conservationist Jim Nyamu urges residents of Marsabit County to protect elephants.,Mhifadhi Jim Nyamu anawasihi wakazi wa Kaunti ya Marsabit kuwalinda tembo.,omoegereri bw'ebinto bitoonchokanaine  Jim Nyamu osabire abamenyi ba ekaunti ya marsabit koegerera chinchogu.,Governance
Encourage community involvement 2025.,Himiza ushiriki wa jamii 2025.,Segeta ogokora emeremo amo nebinyoro2025.,Education
Citizens are urged to participate in this historic Madaraka Day celebration set to take place in Bungoma County for the first time. - PS Interior Dr. Raymond Omollo,Raia wanahimizwa kushiriki katika sherehe hii ya kihistoria ya Siku ya Madaraka inayotarajiwa kufanyika katika Kaunti ya Bungoma kwa mara ya kwanza. - Katibu Mkuu wa Mambo ya Ndani Dkt. Raymond Omollo,Abanto bonsi baborigwe gwesokia nakobwatana ase okoba asenogochengera kwerituko kenya yenyorerete obosibore erio rirachengerwe ase akaunti ya Bungoma ase engaki etang'ani kegima. omoriki obotambe Raymond omollo otebire.,Governance
Don't leave valuables visible in your car when parked.,Usiache vitu vya thamani vikionekana kwenye gari lako unapoegesha gari.,Totiga ebinto biengencho birorekane ime yerori yao ekero oyeteneneties ase chirori chikobekwa.,Security
UoN report assesses trust dynamics and communication as key to successful COP in Ruai portion of Nairobi,Ripoti ya UoN inatathmini mienendo ya uaminifu na mawasiliano kama ufunguo wa COP iliyofanikiwa katika sehemu ya Ruai jijini Nairobi,Eripoti yeyunifasiti ya Nairobi (UoN) yarengete ayarengete obwegenu na oboererania bwamangana buna obwengencho enene goikerania obokoreri bwabasikari (COP) aaria ensemo ya Ruai ya Nairobi.,Security
Excessive screen use affects attention and sleep in young children. Encourage physical play instead.,Matumizi ya skrini kupita kiasi huathiri umakini na usingizi kwa watoto wadogo. Himiza kucheza kimwili badala yake.,Amatuko amange ase etelevision ngootorana kere ogokina na okorara kwomwana Ribaga riaye tema chigosori,Health
"NATIONAL ID PROCESSING Public urged to collect documents from respective constituencies Mwaura: 660,000 IDs awaiting collection 600,000 citizens have applied for new documents","USAFIRISHAJI WA VItambulisho VYA TAIFA Umma wahimizwa kukusanya hati kutoka maeneo bunge husika Mwaura: Vitambulisho 660,000 vinasubiri kuchukuliwa Raia 600,000 wameomba hati mpya","Omoroberio bwokorosia ebibande. Abanto.bonsi baborigwe koagara amabuko yokorigia ebibande korwa ase chiobisi chiechinsemo chiabo chiechibunge ime yense, otebire omowaziri Mwaura. Ebibande 660,000/= biganyete koagarwa naboigo amaborio yebibande binde 600,000 bigendererete koareganigwa.",Governance
UN urges transparent investigations after protest fatalities.,Umoja wa Mataifa wahimiza uchunguzi wa wazi baada ya vifo vya waandamanaji.,Obomo bwechinse chikwegambera (UN) bwaboririe obutuki bwa maiso marore nyuma yabarobererekani koumia.,Security
Livestock PS urges administrators to inform residents of govt projects,Katibu Mkuu wa Mifugo awahimiza wasimamizi kuwafahamisha wakazi kuhusu miradi ya serikali,omoriki obotambe ase ewizara yobotugi obaboririe abagambi komanyia abanto bonsi amagenderero yeserekari.,Governance
"United Kingdom advisory urges continued vigilance due to unpredictable threats in public places, hotels, and religious sites.","Ushauri wa Uingereza unahimiza kuendelea kuwa macho kutokana na vitisho visivyotabirika katika maeneo ya umma, hoteli, na maeneo ya kidini.","Obosemia korwa United Kingdom bwasabire omongeri bwakogenderera ase engencho yogotamanyereria ekero ebibago birarute chipomu ase abanto, chinyomba chiokoragera, naase gosabera.",Security
Plan feed supplies to avoid shortages. Preserve fodder and use drought-resistant varieties.,Panga vifaa vya kulisha ili kuepuka uhaba. Hifadhi malisho na tumia aina zinazostahimili ukame.,Rosia na kogacha endagera yetugo yao genkio gotanyorwa nobokongu abwo motwe. Gacha endagera yetugo yao buya na simeka endagera yetugo eria ekoremereria omogaso omonene.,Security
Mental well-being is essential for a productive and healthy workplace. Prioritize mental health just as you would physical health.,Ustawi wa akili ni muhimu kwa mahali pa kazi penye tija na afya. Panga afya ya akili kama vile unavyoweza kuipa kipaumbele afya ya mwili.,Okoba buya kw’obongo nigo kore okw’engencho gotwara chinsemo chiemeremo chibwate okobioka na afya. Tang’ania afya y’obongo buna oratanganie eya kemobere.,Health
Education for all! Join nomadic schools for pastoralist kids.,Elimu kwa wote! Jiunge na shule za kuhamahama kwa watoto wafugaji.,Chisemi ase bonsi! Soa chisukuru chiokonganyanganya ase abana abatugi bokonganyanganya.,Education
"Caregivers should wash hands with soap before handling babies, after changing diapers, and before feeding to prevent infections.","Walezi wanapaswa kunawa mikono kwa sabuni kabla ya kuwashughulikia watoto, baada ya kubadilisha nepi, na kabla ya kuwalisha ili kuzuia maambukizi.","Abareri nigo babwenerete gosibia amaboko amo n’esabuni, batarabwata abana, ekero bakorire kobarusia ebitangachabu na ekero batarabarageria erinde gotanga chindwari.",Health
"Companies should have continuity plans, backup generators, and employee safety training for emergencies.","Makampuni yanapaswa kuwa na mipango ya mwendelezo, jenereta mbadala, na mafunzo ya usalama wa wafanyakazi kwa dharura.","Chikampani nchibwenerete koba nomoroberio bwokogenderera,koba nebinto buna chichenereta chiomorero,na gosimia abakori emerebo baye igoro yemebasekano.",Security
Control fall armyworm in an environmentally friendly way using Integrated Pest Management (IPM) techniques suitable for onions.,Dhibiti viwavijeshi vya kuanguka kwa njia rafiki kwa mazingira kwa kutumia mbinu za Usimamizi Jumuishi wa Wadudu (IPM) zinazofaa kwa vitunguu.,tanga amakonde ase enchera engiya na erendete amasingira buya as ogotumia amariogo ao ao (IPM) tekonorochia obwenerete oboremi bwebibitunguo.,Agriculture
Connect with institutional buyers like hospitals to supply your vegetables consistently. Understand their requirements.,Ungana na wanunuzi wa taasisi kama vile hospitali ili kusambaza mboga zako mara kwa mara. Elewa mahitaji yao.,Rosia oboamate amo nabogori buma chisukuri nechnyagotari buna abagori bao beching'eni bechingaki chionsi. Manya ninki baganetie.,Agriculture
100% transition policy: No child to repeat Class 8 from 2025.,Sera ya mpito 100%: Hakuna mtoto kurudia Darasa la 8 kuanzia 2025.,Richiko riogotamboka gochia ayio emia ase emia: Mwana onde tari orairore ekerasi kia 8 korwa omwaka 2025.,Education
Secure schools against theft and vandalism 2021.,Kuhakikisha shule zinapata usalama dhidi ya wizi na uharibifu 2021.,Renda ebinto biesukuru tibisarigwa nechibesa tichibwa gose gosarigwa 2021.,Education
Open schools! Enroll refugee children in education.,Fungua shule! Waandikishe watoto wakimbizi katika elimu.,Igora chisukuru!  Anchera abana ba baria batamire chisegi korwa sobo ase chisemi.,Education
Go digital! Equip schools with computers and internet.,Rudisha! Jiunge na programu za huduma za jamii shuleni.,Nganya gocia egedichitari! Ichoria chikombiuta chisukuru amo neintaneti.,Education
Train students! Teach cholera prevention in schools.,Wafunze wanafunzi! Wafunze kuzuia kipindupindu shuleni.,Somia abana! Somia chinhera chiogotanga endwari yogosaa chisukuru.,Education
Media Council of Kenya urged journalists to report violent extremism responsibly with emphasis on fact checking and ethical coverage to avoid amplifying radical narratives.,"Baraza la Habari la Kenya liliwahimiza waandishi wa habari kuripoti itikadi kali za kikatili kwa uwajibikaji, wakisisitiza kuangalia ukweli na uandishi wa maadili ili kuepuka kukuza masimulizi ya kikatili.",Ekeombe keria ekenene getenenerete oboriki bwamang'ana ngiasabete abariki amangana korika na komanyia ense igiroro yobokebago bwogosaria ebirengererio ase enchera engikaranu gose yobomaene gokonya gotanga ogosarera kwobosaria bweberengererio.,Security
"Political Parties Liaison Committee backs IEBC, urges Gen Z to register as voters","Kamati ya Uhusiano ya Vyama vya Siasa yaiunga mkono IEBC, yahimiza Jenerali Z kujiandikisha kama wapiga kura",Ekeombe gekobwatania ebiama biasiasa yabwetesirie ekeombe kiobori nechimbebe IEBC. nakobasaba abasae abake kwerikia buna abaaki chikura.,Governance
Monitor teacher absenteeism 2023.,Fuatilia utoro wa walimu 2023.,Bwatia komanya buna abarimu batari goika esukuru gosomia 2023.,Education
"Canisius Kanangire Kenya's Agriculture and Livestock Development Cabinet Secretary Mithika Linturi in March 2023 urged Kenyans to consume more rice, potatoes, ...","Canisius Kanangire Waziri wa Kilimo na Maendeleo ya Mifugo wa Kenya Mithika Linturi mnamo Machi 2023 aliwahimiza Wakenya kula mchele, viazi, na ...","Goetera omorai Canisius Kanangire Kenya's Agriculture and Livestock Development Cabinet Secretary Mithika Linturi in March 2023 nasorerete aba' Kenya koria endagera yomochere as obonge, amarabwoni, ...",Agriculture
Keep the umbilical cord stump dry and clean to prevent infection.,Weka kisiki cha kitovu kikavu na kisafi ili kuzuia maambukizi.,Beka ekenyogu gekamogete na keràbete gotanga oborwaire,Health
"1,500 new special needs units built ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ transfer your child before Jan 6!","Vitengo vipya 1,500 vya mahitaji maalum vilivyojengwa. Hamishia mtoto wako kabla ya Januari 6!","Ebirasi 1,500 biogosomera biabana baria bare noboremaru biaagachirwe, rusia na koira omwana oo nyuma ya chitariki 6 omotienyi omotangani!",Education
Teen mothers should be encouraged and supported to continue their education after childbirth.,Akina mama vijana wanapaswa kutiwa moyo na kuungwa mkono ili kuendelea na masomo yao baada ya kujifungua.,Abasubati abaibori abake mbabwenerete koremigwa naende kobwatwa amaboko egere bagenderere nechisemi chiabo ekero baiboire.,Health
"Practice environmental stewardship by adopting methods that protect soil, water, and biodiversity in your dairy farm.","Fanya mazoezi ya utunzaji wa mazingira kwa kutumia mbinu zinazolinda udongo, maji, na bioanuwai katika shamba lako la maziwa.","Egera obokoreri bwamasingira ase okobwatia chingencho  omoroberio chiria  okorenda riroba, amache, nebitonwa binde ase omogondo oo.",Agriculture
Protests caused disruptions; stay alert and follow safety guidance.,Maandamano yalisababisha usumbufu; kaa macho na fuata mwongozo wa usalama.,Okorobererekana nigo kwaretete oturubano; kabe maiso na bwatia emeroberio yoborendi.,Security
"Free revision camp for 20,000 KCSE candidates starts Dec 1 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ register now!","Kambi ya bure ya marekebisho kwa watahiniwa 20,000 wa KCSE inaanza Desemba 1 âƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ jiandikishe sasa!","Okonyorana amo kwa abana besekenderi baria bagochia gokora amatemwa (KCSE) 20,000  ngochaka kere etariki 1 yomotienyi 12, erike bono!",Education
Develop VR lessons 2021.,Tengeneza masomo ya VR 2021.,Rosia amasomo are nebiorokererio biechibicha 2021.,Education
Churches and mosques must vet staff and implement policies to prevent child abuse within their facilities.,Makanisa na misikiti lazima yachunguze wafanyakazi na kutekeleza sera za kuzuia unyanyasaji wa watoto ndani ya vituo vyao.,Chikanisa nemesikiti goika bakongori abakori emeremo babo na goikerania amachiko agotanga gokorera abana bobe imse yechinyomba chiikanisa gose emesikiti.,Security
KDF and NCTC held a community engagement initiative in Lamu to build resilience against extremism and inter-communal tension.,KDF na NCTC waliandaa mpango wa ushirikishwaji wa jamii huko Lamu ili kujenga ustahimilivu dhidi ya itikadi kali na mvutano kati ya jamii.,Ekeombe kioborendi bwa Kenya (KDF) na Ekeombe keria ekenene gekorwania obokebago bwokoruta chipomu (NCTC)mbabete nomoroberio nokoumerana nebionyoro aaria Lamu erio gikinana nogosarigwa ebirengererio na neminano yebinyoro.,Security
Residents are advised to participate in during this period.,Wakazi wanashauriwa kushiriki katika kipindi hiki.,Abamenyi basemigwe gosanga ebiro ebio,Governance
Connect with others and be part of positive relationships.Building positive associations with people is good for your mental well-being,Ungana na wengine na uwe sehemu ya mahusiano chanya. Kujenga mahusiano chanya na watu ni jambo zuri kwa ustawi wako wa akili.,Umerana n’abande erio obe ensemo y’obogisanio obuya. Okoagacha obogisangio obuya n’abanto nigo kore okuya ase afya yao y’obongo.,Health
Organize career guidance days 2021.,Panga siku za mwongozo wa kazi 2021.,Kabe nomoroberio bwerituko riokorwa ogosemia igoro yebinto abana bagochia gosomera 2021.,Education
Water conducts electricity. Avoid touching power lines or electrical appliances during floods.,Maji hupitisha umeme. Epuka kugusa nyaya za umeme au vifaa vya umeme wakati wa mafuriko.,Chinguru chiomorero bwesitima ngoeta chire ase amache. Tiga kobwata ebitanke biesitima gose ebinto biesitima chingaki chietoigo gose amache ateremete.,Security
Residents bring questions on constitutional rights,Wakazi wauliza maswali kuhusu haki za kikatiba,Abamenyi renta amabori igoroyamachiko oboronge.,Education
The World Trade Organization (WTO) is vital to the Kenya Government's international efforts to negotiate for enhanced market access through improved trading ...,Shirika la Biashara Duniani (WTO) ni muhimu kwa juhudi za kimataifa za Serikali ya Kenya za kujadiliana kwa ajili ya upatikanaji bora wa soko kupitia biashara iliyoboreshwa ...,Ekeombe kioboonchoreria giense (WTO) nekemo kiebiombe biengencho ase eserikari ya Kenya ase omoroberio bwogokwanerana nense engima buna bakwororobia enchera yogosoa echiro goetera  oboonia obuya...,Agriculture
Innovation drives progress. Discover new developments in agribusiness that can benefit small-scale farmers.,Ubunifu huchochea maendeleo. Gundua maendeleo mapya katika biashara ya kilimo ambayo yanaweza kuwanufaisha wakulima wadogo.,Obomanyi oboyia nabwo bokogendi amagenderero. Rigia komanya okogendera okoyia ase oboremi bwoboonchoreria obwo borakonye abaremi bemegondo emeke.,Agriculture
Park in well-lit areas at night and check surroundings before exiting vehicle.,Egesha gari katika maeneo yenye mwanga wa kutosha usiku na angalia mazingira kabla ya kutoka.,"Ekero ogoteneni erori yao botuko yeteneni ase oborabu bore boisaine, na mongera aaria na gochia aaria buya nyuma otarasoka korwa erori ime.",Security
"In addition, access to wellfunctioning markets is likely to improve farmers profitability and their access to diverse nutritious foods. This paper avails the ...","Zaidi ya hayo, upatikanaji wa masoko yanayofanya kazi vizuri kuna uwezekano wa kuboresha faida ya wakulima na upatikanaji wao wa vyakula mbalimbali vyenye virutubisho. Karatasi hii ina ...","Igoro yayio, goikera chichiro chingiya nebaise gokinia ebitoki bwoboremi erio koba nokobua gwokora chindagera ao ao baganetie koria. Enkwana eye nigo ekoreta ...",Agriculture
Check email sender addresses for typos like 'support@paypa1.com' (scam!).,Angalia anwani za watumaji barua pepe kwa makosa ya kuandika kama vile 'support@paypa1.com' (ulaghai!).,Rora buya ng'a ningo otomete eimeil komanya eyebingainereria buna 'support@paypa1.com' (Oboibi!).,Security
Advisory notes high likelihood of terrorist attacks targeting public areas and urges awareness and adherence to security guidance.,Ushauri unabainisha uwezekano mkubwa wa mashambulizi ya kigaidi kulenga maeneo ya umma na unahimiza uelewa na kufuata mwongozo wa usalama.,Abasemia baorokirie okonyarekana goakwa chipomu chirengete aba abanto bare na igo gosaba abanto komanyigwa berende na kobwatia amachiko oborendi.,Security
Some communities still practice harmful traditions involving children. Report such cases to authorities immediately.,Baadhi ya jamii bado zinafuata mila hatari zinazowahusisha watoto. Ripoti visa kama hivyo kwa mamlaka mara moja.,Abanto bande mbagenderete gokora ebienyechi buna ogekeba abanyaroka ebio bire mamincha noboronge bwa abana. Karwe eripoti yamang'ana ayio gochia ase abambi otari konyorwa.,Security
Differentiate your fresh milk in the market by creating a strong brand identity. Learn basic branding principles and marketing techniques.,Tofautisha maziwa yako mabichi sokoni kwa kuunda utambulisho imara wa chapa. Jifunze kanuni za msingi za chapa na mbinu za uuzaji.,Atanana buna amabere ao akororekana ase echiro ase okobeka ekemanyererio kiabeene. Egera buna orabeke ekemanyererio ase amagena echingoko chiao na ayarengete oboonia  oboikeranu.,Agriculture
Health experts from Kenya and Somalia devise ways to fight polio. Many cases of polio reported in Kenya coming from Somalia,Wataalamu wa afya kutoka Kenya na Somalia hubuni njia za kupambana na polio. Visa vingi vya polio vilivyoripotiwa nchini Kenya vinatoka Somalia,Abamanyi korwa Kenya na Somalia mbachakia chinchera chiokorwani polio Abarwaire abange ba polio nkorwa Somalia,Health
Official media brief on latest DHS findings showing decline; call to re-invest in maternity supports and lactation facilities.,Taarifa rasmi kwa vyombo vya habari kuhusu matokeo ya hivi karibuni ya DHS yanayoonyesha kupungua; wito wa kuwekeza tena katika vituo vya usaidizi wa uzazi na unyonyeshaji.,Okoraria bene goetera ebiombo bia amangana chiroboto chia DHS yaenekire ogokeana; ogokurerwa kwarurwe bwokomenta obokoreri ase ebitaseni biobokonyi na okogonkia,Health
All schools get Ksh 10M for ICT upgrade ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ principal must apply by Nov 30!,"Shule zote zitapokea Ksh 10M kwa ajili ya kuboresha ICT ""Mkuu wa shule lazima aombe ifikapo Novemba 30!",chisukuru chionsi nkonyora chire chimirioni 10 ase ogoikerania yoboererania bwamang’ana abarimu abanene goika babe batomire ogosaba nyuma yechitariki 30 chiomotienyi 11!,Education
New mothers can begin light exercises after consulting their doctor to improve recovery and mental health.,Akina mama wapya wanaweza kuanza mazoezi mepesi baada ya kushauriana na daktari wao ili kuboresha kupona na afya ya akili.,Abang'ina abake mbagwenerete bachake gokora ebisaisi ebigusu agusu nyuma yokorora omonyagitari obo erio koenekia okogwena kwa bwango amo na oborwaria bw'obongo.,Health
Announcing the launch of Kenya Market Assessment highlighting need for warning labels under new nutrient profiling model.,Kutangaza uzinduzi wa Tathmini ya Soko la Kenya ikiangazia hitaji la lebo za tahadhari chini ya mfumo mpya wa uainishaji wa virutubisho.,Koraria ogochaki gwe' chichiro Kenya komorekera okogania kobeka ebimanyererio inse yomoreberio omoyia ase chindagera,Health
"social media to help farmers access information about market prices, weather patterns, and other critical market information. In addition, support ...","mitandao ya kijamii ili kuwasaidia wakulima kupata taarifa kuhusu bei za soko, mifumo ya hali ya hewa, na taarifa nyingine muhimu za soko. Zaidi ya hayo, msaada ...","Goetera oboereria bwamanga gotera embeo botari na getango ase onde bwensi bwakonyire abaremi goikera amangana  igoro yechiro, rire na ayande yengencho igoro yechiro. Komenta nayio, yakonyire...",Agriculture
All schools must conduct fire drill before Dec 20 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ no excuses!,"Shule zote lazima zifanye mazoezi ya kuzima moto kabla ya Desemba 20 ""hakuna visingizio!"" Hakuna visingizio!",chisukuru chionsi goika chibe chiabekire emeroberio emiya yogotanga ogwateka kwemerero nyuma yechitariki 20 chiomotienyi 12,Education
The national helpline 1195 is available at all times to provide immediate assistance to survivors of sexual and gender-based violence.,Simu ya usaidizi ya kitaifa 1195 inapatikana wakati wote ili kutoa msaada wa haraka kwa manusura wa unyanyasaji wa kingono na kijinsia.,"Enamba yesimi yogokonya 1195 inao ere ase chingaki chionsi ase ogokonya bari batarareirwe, gotibonwa gose komocherwa nchera ende yonsi koreng'ana na eki ore.",Security
"push and pull technology. Efficacy trials. Setting up of pheromone traps. ZARI, DoA, CABI, CIMMYT. Zambia. Awareness creation. Coordination. Call centre.","Teknolojia ya kusukuma na kuvuta. Majaribio ya ufanisi. Usanidi wa mitego ya pheromoni. ZARI, DoA, CABI, CIMMYT. Zambia. Uundaji wa uelewa. Uratibu. Kituo cha simu.","Ogosegeta etekinorochi. Obotuki bwa keene korora gose.  Ogochakakorora gose okobeka emetego ya pheromone ngokora ere emeremo buya. ZARI, DoA, CABI, CIMMYT. Zambia. Okomanyia abanto. Kobwatania. Ase orarangerie.",Agriculture
"Conserve water on your farm through techniques like mulching, rainwater harvesting, and drought-resistant crops like sweet potatoes.","Hifadhi maji shambani mwako kupitia mbinu kama vile matandazo, kuvuna maji ya mvua, na mazao yanayostahimili ukame kama vile viazi vitamu.","Renda amache gose obonyiu koera ase riroba bwango ase ogotuba riroba nobanyansi gose eubi, gotacha na kogacha amache yembura, na gosimeka ebimeri biria bikoremereria eguragura buna amarabwoni.",Agriculture
