English,Kiswahili,Domain,Ekegusii
"Kenya - Severe weather and floods, update (Meteo Kenya, media) (ECHO Daily Flash of 25 March 2026)","Kenya - Hali ya hewa kali na mafuriko, sasisha (Meteo Kenya, vyombo vya habari) (ECHO Daily Flash ya 25 Machi 2026)",Disaster/Health,
"We have no time to visit the hospital to get the COVID-19 vaccination."" In a 10-day campaign targeting 11 of Kenya's 47 counties that had some of the lowest vaccination coverage, World Health Organization (WHO) along with the county governments, non-governmental organizations and other partners were determined that no one would be missed.","Hatuna muda wa kutembelea hospitali ili kupata chanjo ya COVID-19."" Katika kampeni ya siku 10 iliyolenga kaunti 11 kati ya 47 za Kenya ambazo zilikuwa na chanjo ya chini zaidi, Shirika la Afya Ulimwenguni (WHO) pamoja na serikali za kaunti, mashirika yasiyo ya kiserikali na washirika wengine waliazimia kuwa hakuna mtu ambaye angekosa.",Health,
Strengthening Women's Cancer Care Through Integrated Screening in Kenya,Kuimarisha Huduma ya Saratani kwa Wanawake Kupitia Uchunguzi Kamilishi nchini Kenya,General,
"Governance for the validation of elimination of mother to child transmission of HIV, syphilis and hepatitis B virus: an overview of validation structures and responsibilities at national, regional and global levels","Utawala wa uthibitisho wa kutokomeza maambukizi ya VVU kutoka kwa mama kwenda kwa mtoto, kaswende na homa ya ini B: muhtasari wa miundo na majukumu ya uthibitishaji katika ngazi ya kitaifa, kikanda na kimataifa.",General,
"The corona virus, as of today still has no cure, neither is there a vaccine. The only available means of defence against it is the containment measures; Mutahi Kagwe, CAS Health. #KomeshaCorona update.","Virusi vya corona, hadi leo bado havina tiba, wala hakuna chanjo. Njia pekee inayopatikana ya ulinzi dhidi yake ni hatua za kuzuia; Mutahi Kagwe, CAS Afya. #KomeshaCorona sasisho.",Public Health,
"KENYA INSTITUTE OF CURRICULUM DEVELOPMENT (AMENDMENT) BILL, 2024","MSWADA WA MSWADA WA MAENDELEO YA MITAALA (MArekebisho) ya TAASISI YA KENYA, 2024",General,
"She also supported the mother to initiate breastfeeding within the first hour, an essential step in protecting the newborn's health.","Pia alimsaidia mama kuanza kunyonyesha ndani ya saa ya kwanza, hatua muhimu katika kulinda afya ya mtoto mchanga.",Health,
"UNICEF Kenya Humanitarian Situation Report No. 1 (Level 3 Mpox), 31 July to 03 October 2024","Ripoti ya Hali ya Kibinadamu ya UNICEF Kenya No. 1 (Level 3 Mpox), 31 Julai hadi 03 Oktoba 2024",Disaster/Health,
An Analysis and Evaluation of Refugee-related Policies and Legislation - October 2022,Uchambuzi na Tathmini ya Sera na Sheria zinazohusiana na Wakimbizi - Oktoba 2022,Disaster/Health,
BETA focuses on interventions that reduce cost of living; increase employment; incentivize investment and production; achieve more equitable distribution of income; enhance social security ; expand tax base; and increase foreign exchange earnings.,BETA inazingatia afua zinazopunguza gharama ya maisha; kuongeza ajira; kuhamasisha uwekezaji na uzalishaji; kufikia mgawanyo sawa wa mapato; kuimarisha usalama wa kijamii; kupanua wigo wa ushuru; na kuongeza mapato ya fedha za kigeni.,Security,
#COVID19 Myth Vs Fact. Myth Regularly rinsing your nose with saline can help prevent infection with the #COVID19. Fact No. There is no evidence that regularly rinsing the nose with saline has protected people from infection with the #COVID19. #KomeshaCorona update.,Hadithi za #COVID19 Vs Ukweli. Hadithi Kuosha pua yako mara kwa mara kwa chumvi kunaweza kusaidia kuzuia maambukizi ya #COVID19. Ukweli Hapana. Hakuna ushahidi kwamba kuosha pua mara kwa mara kwa chumvi kumelinda watu dhidi ya kuambukizwa #COVID19. #KomeshaCorona sasisho.,Public Health,
Kenya: President must take responsibility for protests' gross human rights violations,Kenya: Rais lazima awajibike kwa ukiukaji mkubwa wa haki za binadamu,Disaster/Health,
Mobile health services in Kenya reduce the risk of stillbirths,Huduma za afya kwa njia ya simu nchini Kenya hupunguza hatari ya watoto kuzaliwa wakiwa wamekufa,Health,
"Kenya Food Security Outlook: Below-average short rains to worsen food security in coming months, October 2024 - May 2025","Mtazamo wa Usalama wa Chakula nchini Kenya: Mvua fupi za chini ya wastani zitazidisha usalama wa chakula katika miezi ijayo, Oktoba 2024 - Mei 2025",Disaster/Health,
Isiolo County: Drought Early Warning Bulletin for May 2024,Kaunti ya Isiolo: Taarifa ya Onyo la Mapema kuhusu Ukame la Mei 2024,Disaster/Health,
Embu (Mbeere) County: Drought Early Warning Bulletin for September 2022,Kaunti ya Embu (Mbeere): Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2022,Disaster/Health,
World Vision Kenya Annual Report 2022,Ripoti ya Mwaka ya World Vision Kenya 2022,Disaster/Health,
"Kenya Price Bulletin, March 2024","Taarifa ya Bei ya Kenya, Machi 2024",Disaster/Health,
JRS - Economic Inclusion of Refugees and Host Communities in Kenya: A market analysis,JRS - Ujumuisho wa Kiuchumi wa Wakimbizi na Jumuiya Wakaribishaji nchini Kenya: Uchambuzi wa soko,Disaster/Health,
"Becoming a member of the Kenya Red Cross holds significant benefits that include the opportunity to participate in altruistic and humanitarian activities, as well as advancing the organisation's noble mandate. It is vital to note that payment of membership fee is a crucial step that must be undertaken to join this selfless community. The fee not only secures your membership credentials, but it also allows you to take an active role in the Kenya Red Cross activities.","Kuwa mwanachama wa Shirika la Msalaba Mwekundu la Kenya kuna manufaa makubwa ambayo yanajumuisha fursa ya kushiriki katika shughuli za kibinadamu na za kibinadamu, pamoja na kuendeleza jukumu kuu la shirika. Ni muhimu kutambua kwamba malipo ya ada ya uanachama ni hatua muhimu ambayo lazima ichukuliwe ili kujiunga na jumuiya hii isiyo na ubinafsi. Ada hii sio tu inalinda stakabadhi zako za uanachama, lakini pia inakuruhusu kuchukua jukumu kubwa katika shughuli za Msalaba Mwekundu wa Kenya.",General,
Kenya's Sustainable Supply Chain: Recycling Packaging from Damaged Stocks – A WFP Initiative,Msururu Endelevu wa Ugavi wa Kenya: Ufungaji Usafishaji Kutoka Hifadhi Zilizoharibika - Mpango wa WFP,Disaster/Health,
"Avoid shaking hands, avoid touching your face, eyes, nose & mouth. Practice social distancing; avoid close contact with people. Don't touch objects or surfaces that you don't need to protect yourself. #KomeshaCorona #CelebrateLife","Epuka kupeana mikono, epuka kugusa uso, macho, pua na mdomo wako. Fanya mazoezi ya umbali wa kijamii; epuka mawasiliano ya karibu na watu. Usiguse vitu au nyuso ambazo huhitaji kujilinda. #KomeshaCorona #SherehekeaMaisha",Public Health,
"Armed with the right skills and a portable ultrasound device, midwives in Kenya are on a mission to save lives","Wakiwa na ustadi ufaao na kifaa kinachobebeka cha ultrasound, wakunga nchini Kenya wako kwenye dhamira ya kuokoa maisha",Disaster/Health,
THE KENYA NATIONAL QUALIFICATIONS FRAMEWORK (AMENDMENT) BILL 2024,MSWADA WA MFUMO WA TAIFA WA KENYA (MABADILIKO) WA SIFA 2024,General,
"Box 30007-00100 NAIROBI, KENYA Tel: +254-20-2252-299 Fax: +254-20-341-082 The statement is available on: www.treasury.go.ke 3 I.","Box 30007-00100 NAIROBI, KENYA Simu: +254-20-2252-299 Faksi: +254-20-341-082 Taarifa hiyo inapatikana kwenye: www.treasury.go.ke 3 I.",Disaster/Health,
Policy brief on integrating and strengthening monitoring of differentiated ART service delivery,Muhtasari wa sera kuhusu kujumuisha na kuimarisha ufuatiliaji wa utoaji wa huduma tofauti za ART,General,
"This involved discussions through the NGO Refugee Group (NRG), OCHA-led sector coordination meetings, engagements with sector focal points, the NDMA, and relevant county government counterparts.","Hii ilihusisha majadiliano kupitia Kundi la Wakimbizi lisilo la Kiserikali (NRG), mikutano ya uratibu wa sekta inayoongozwa na OCHA, mashirikiano na maeneo muhimu ya kisekta, NDMA, na washirika husika wa serikali ya kaunti.",Governance,
The WHO recommendation to initiate ART for all people living with HIV will contribute significantly to reducing HIV transmission.,Mapendekezo ya WHO ya kuanzisha ART kwa watu wote wanaoishi na VVU yatachangia kwa kiasi kikubwa kupunguza maambukizi ya VVU.,General,
Samburu County: Drought Early Warning Bulletin for October 2022,Kaunti ya Samburu: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2022,Disaster/Health,
WFP Kenya Country Brief October 2025,Muhtasari wa Nchi wa WFP Kenya Oktoba 2025,Disaster/Health,
DREF Operation Kenya Complex Emergency 2025,Operesheni ya DREF ya Dharura Changamano ya Kenya 2025,Disaster/Health,
Conflict-Sensitive Social Protection: Kenya Country Report 2022,Ulinzi wa Jamii Nyeti kwa Migogoro: Ripoti ya Nchi ya Kenya 2022,Disaster/Health,
Laikipia County: Drought Early Warning Bulletin for September 2023,Kaunti ya Laikipia: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2023,Disaster/Health,
Narok County: Drought Early Warning Bulletin for June 2022,Kaunti ya Narok: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Juni 2022,Disaster/Health,
WASH in Kenya- 27 August 2025,WASH nchini Kenya- 27 Agosti 2025,Disaster/Health,
Kenya | Severe weather and flash floods - DG ECHO Daily Map | 10/03/2026,Kenya | Hali ya hewa kali na mafuriko - Ramani ya Kila Siku ya DG ECHO | 10/03/2026,Disaster/Health,
Tharaka Nithi County: Drought Early Warning Bulletin for April 2024,Kaunti ya Tharaka Nithi: Taarifa ya Onyo la Mapema kuhusu Ukame Aprili 2024,Disaster/Health,
You can imagine a family of eight losing their food support.,Unaweza kufikiria familia ya watu wanane ikipoteza msaada wao wa chakula.,Disaster/Health,
Laikipia County: Drought Early Warning Bulletin for October 2023,Kaunti ya Laikipia: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2023,Disaster/Health,
"In a world increasingly affected by outbreaks, epidemics, extreme weather events, and other public health challenges, the question is no longer whether new crises will arise, but rather how well prepared we will be to tackle them. Preparedness for crises does not depend solely on hospitals, medicines, or the availability of healthcare professionals; it also depends on something less visible, yet equally crucial: the trust of communities.","Katika ulimwengu unaozidi kuathiriwa na milipuko, magonjwa ya milipuko, hali mbaya ya hewa, na changamoto zingine za afya ya umma, swali sio kama majanga mapya yatatokea, lakini ni jinsi tutakavyojitayarisha vyema kuyakabili. Kujitayarisha kwa mizozo hakutegemei hospitali, dawa, au upatikanaji wa wataalamu wa afya pekee; pia inategemea kitu kisichoonekana sana, lakini muhimu pia: uaminifu wa jamii.",General,
Kenya and Somalia WASH Response: UMR and Mr. Beast Water Access Project - Final Report,Kenya na Somalia WASH Response: UMR na Bw. Beast Water Access Project - Ripoti ya Mwisho,Disaster/Health,
Turkana County: Drought Early Warning Bulletin for October 2022,Kaunti ya Turkana: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2022,Disaster/Health,
Get InvolvedBecome a VolunteerBecome a MemberCareersDonateTendersRegions and BranchesOneRC | Volunteer Opportunities,ShirikiKuwa MjitoleajiKuwa MwanachamaWafanyakaziChangiaTendersMikoa na MatawiOneRC | Fursa za Kujitolea,General,
Those in quarantine are advised to keep physical distance #KomeshaCorona update,Walio kwenye karantini wanashauriwa kuweka umbali wa kimwili #KomeshaCorona update,Public Health,
Refugees in Kenya at risk of worsening hunger as WFP faces critical funding shortfall,Wakimbizi nchini Kenya wako hatarini kukumbwa na njaa huku WFP ikikabiliwa na uhaba mkubwa wa fedha,Disaster/Health,
"Kenya - New influx of refugees (DG ECHO, UNHCR) (ECHO Daily Flash of 4 November 2022)","Kenya - Wingi mpya wa wakimbizi (DG ECHO, UNHCR) (ECHO Daily Flash ya 4 Novemba 2022)",Disaster/Health,
"Members pool savings to provide micro-loans, share skills and provide mutual social support, providing a vital vehicle for financial inclusion and poverty reduction in many communities.","Wanachama hukusanya akiba ili kutoa mikopo midogo midogo, ujuzi wa kubadilishana na kutoa usaidizi wa kijamii, kutoa chombo muhimu cha ushirikishwaji wa kifedha na kupunguza umaskini katika jamii nyingi.",Disaster/Health,
"Supportive Supervision at Loco Health Centre by the Nairobi County Health Team as part of the world Immunization week, to ensure Infection prevention control & immunisation guidelines are followed during COVID 19 Pandemic. #KomeshaCorona update","Usimamizi wa Usaidizi katika Kituo cha Afya cha Loco na Timu ya Afya ya Kaunti ya Nairobi kama sehemu ya wiki ya chanjo duniani, ili kuhakikisha udhibiti wa kuzuia Maambukizi na miongozo ya chanjo inafuatwa wakati wa Janga la COVID 19. #KomeshaCorona sasisho",Public Health,
[Kenya] Along the transit corridors: PWJ's intricate contribution to Kakuma and Kalobeyei Reception Centers,[Kenya] Kando ya njia za kupita: Mchango tata wa PWJ katika Vituo vya Mapokezi vya Kakuma na Kalobeyei,Disaster/Health,
Rwanda's experience highlights the importance of collaboration in building stronger surveillance systems.,Uzoefu wa Rwanda unaonyesha umuhimu wa ushirikiano katika kujenga mifumo imara ya ufuatiliaji.,Disaster/Health,
Malnutrition remains high as drought continues in Kenya,Utapiamlo umesalia kuwa juu huku ukame ukiendelea nchini Kenya,Disaster/Health,
Train on climate education 2023.,Mafunzo kuhusu elimu ya hali ya hewa 2023.,Education,
"It also positions the country as a leader in advancing innovative approaches to disaster risk management in Africa, ensuring that individuals and institutions are empowered to anticipate and respond to disasters before they occur.",Uchambuzi huo unatokana na taarifa inayopatikana kuanzia tarehe 30 Aprili 2026.,Disaster/Health,
Taita Taveta County: Drought Early Warning Bulletin for January 2023,Kaunti ya Taita Taveta: Taarifa ya Onyo la Mapema kuhusu Ukame la Januari 2023,Disaster/Health,
"Members of the public are advised against forwarding unsubstantiated information on social media platforms. For any inquiries related to COVID-19, please call the Ministry of Health on the following Hotlines: 0800721316, 0732353535, 0729471414. x.com/DanielN6184157 …","Wanachama wanashauriwa dhidi ya kusambaza habari zisizo na uthibitisho kwenye majukwaa ya mitandao ya kijamii. Kwa maswali yoyote yanayohusiana na COVID-19, tafadhali piga simu kwa Wizara ya Afya kwa nambari za simu zifuatazo: 0800721316, 0732353535, 0729471414. x.com/DanielN6184157 …",Public Health,
Can digital adherence technologies reduce inequity in tuberculosis treatment success? Evidence from a randomised controlled trial,"Je, teknolojia za ufuasi za kidijitali zinaweza kupunguza ukosefu wa usawa katika mafanikio ya matibabu ya kifua kikuu? Ushahidi kutoka kwa jaribio lililodhibitiwa nasibu",Health,
Tana River County: Drought Early Warning Bulletin for October 2022,Kaunti ya Tana River: Taarifa ya Onyo la Mapema kuhusu Ukame ya Oktoba 2022,Disaster/Health,
"For More information, call @MoH_DRMH for free on 0800 722 022 #WCD2020Ke #WCD2020 #Tujulishane","Kwa maelezo zaidi, piga @MoH_DRMH bila malipo kwa 0800 722 022 #WCD2020Ke #WCD2020 #Tujulishane",Public Health,
Microfinance for WASH in Kenya,Fedha ndogo za WASH nchini Kenya,Disaster/Health,
Kenya: Addressing sexual violence in communities displaced by conflict,Kenya: Kushughulikia unyanyasaji wa kijinsia katika jamii zilizohamishwa na migogoro,Disaster/Health,
"Kenya: IPC Acute Food Insecurity and Acute Malnutrition Analysis (July - December 2022) Published on September 28, 2022","Kenya: IPC Ukosefu wa Chakula Mkali na Uchanganuzi Mkali wa Utapiamlo (Julai - Desemba 2022) Ilichapishwa mnamo Septemba 28, 2022",Disaster/Health,
Kenya: Scholarships help vulnerable students complete secondary education,Kenya: Masomo huwasaidia wanafunzi walio katika mazingira magumu kumaliza elimu ya sekondari,Disaster/Health,
"""Key steps to #KomeshaCorona Wash your with and flowing water Sanitize our hands Observe physical distance Avoid public gatherings"" @GovernorKahiga @KenyaGovernors @County19Nyeri","""Hatua muhimu za #KomeshaCorona Osha maji yako na yanayotiririka Safisha mikono yetu Angalia umbali wa mwili Epuka mikusanyiko ya watu"" @GavanaKahiga @Magavana wa Kenya @County19Nyeri",Public Health,
"Kenya: MAM Floods Report, May 2024","Kenya: Ripoti ya Mafuriko ya MAM, Mei 2024",Disaster/Health,
"WFP Kenya Country Brief, February 2023","Muhtasari wa Nchi wa WFP Kenya, Februari 2023",Disaster/Health,
Baringo County: Drought Early Warning Bulletin for August 2024,Kaunti ya Baringo: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,Disaster/Health,
"Kenya Key Message Update: Record high food prices and a fifth consecutive below-average rainy season drive high levels of acute food insecurity, January 2023","Taarifa ya Ujumbe Muhimu nchini Kenya: Rekodi bei za juu za vyakula na msimu wa tano mfululizo wa mvua chini ya wastani husababisha viwango vya juu vya uhaba wa chakula, Januari 2023.",Disaster/Health,
Kenya at a glance – South-South and Triangular Cooperation Country Project (May 2023),Kenya kwa mtazamo - Mradi wa Nchi ya Ushirikiano wa Kusini-Kusini na Utatu (Mei 2023),Disaster/Health,
"World Health Organization supported this effort through technical guidance, coordination and the strengthening of regional networks, helping to ensure that clinical capacity continues to grow across countries and is sustained between outbreaks.","Shirika la Afya Ulimwenguni liliunga mkono juhudi hizi kupitia mwongozo wa kiufundi, uratibu na uimarishaji wa mitandao ya kikanda, kusaidia kuhakikisha kwamba uwezo wa kimatibabu unaendelea kukua katika nchi zote na unadumishwa kati ya milipuko.",Health,
"Kenya - Key Message Update: Crisis (IPC Phase 3) outcomes expanding as anomalous dry conditions intensify, January 2026","Kenya - Taarifa Muhimu ya Ujumbe: Matokeo ya Mgogoro (IPC Awamu ya 3) yanapanuka huku hali ya ukame isiyo ya kawaida inavyozidi, Januari 2026",Disaster/Health,
Somali refugees living in Dadaab without basic services,Wakimbizi wa Kisomali wanaoishi Dadaab bila huduma za kimsingi,Disaster/Health,
"19 July 2026 – LUSAKA, Zambia.The Government of the Republic of Zambia, through the Ministry of Health, in partnership with the World Health Organization (WHO), Rotary International, UNICEF and other partners of the Global Polio Eradication Initiative (GPEI), has launched the final round of the Sub-National Immunization Activities (SIA) polio campaign targeting about 3.9 million children under the age of five.","19 Julai 2026 – LUSAKA, Zambia.Serikali ya Jamhuri ya Zambia, kupitia Wizara ya Afya, kwa kushirikiana na Shirika la Afya Duniani (WHO), Rotary International, UNICEF na washirika wengine wa Mpango wa Kutokomeza Polio Duniani (GPEI), imezindua awamu ya mwisho ya Shughuli za Kitaifa za Chanjo ya Kitaifa (SIA) inayolenga watoto wapatao milioni 3 wenye umri wa chini ya miaka mitano.",General,
"COVID-19 Advice! Remember to cover your nose & mouth when coughing or sneezing with a cloth or in your flexed elbow & NOT your hands to prevent spread to others. Go to the doctor if you have a fever, cough or feel that it is difficult to breathe #coronavirusInkenya","Ushauri wa COVID-19! Kumbuka kufunika pua na mdomo wako unapokohoa au kupiga chafya kwa kitambaa au kwenye kiwiko cha mkono uliojikunja & SI mikono yako ili kuzuia kuenea kwa wengine. Nenda kwa daktari ikiwa una homa, kikohozi au unahisi kuwa ni vigumu kupumua #coronavirusInkenya",Public Health,
UNHCR Kenya: 2023 Funding Update (as of 28 March 2023),UNHCR Kenya: Taarifa ya Ufadhili ya 2023 (kuanzia tarehe 28 Machi 2023),Disaster/Health,
AIRA Infodemic Trends Report 3-10 October 2023 (Weekly brief #92),Ripoti ya Mitindo ya Habari ya AIRA 3-10 Oktoba 2023 (Muhtasari wa kila wiki #92),Disaster/Health,
"4. To mobilize resources for Research, Innovation and Infrastructure development.","4. Kukusanya rasilimali kwa ajili ya Utafiti, Ubunifu na maendeleo ya Miundombinu.",General,
Kenya: Drought Snapshot (February 2026),Kenya: Picha ya Ukame (Februari 2026),Disaster/Health,
National Drought Early Warning Bulletin (October 2022),Taarifa ya Tahadhari ya Mapema ya Kitaifa (Oktoba 2022),Disaster/Health,
"Muranga County has launched mass distribution of masks for motorbike riders. Stay safe and ensure you wear your face mask when visiting public places such as supermarkets, open air markets & public transport to reduce the chances of transmission of the virus #KomeshaCorona","Kaunti ya Muranga imezindua usambazaji mkubwa wa barakoa kwa waendesha pikipiki. Kaa salama na hakikisha unavaa barakoa unapotembelea maeneo ya umma kama vile maduka makubwa, soko la wazi na usafiri wa umma ili kupunguza uwezekano wa maambukizi ya virusi #KomeshaCorona",Public Health,
"Today, the US Ambassador to Kenya, HE Kyle Mccarter paid a courtesy call on CS Mutahi Kagwe at his Afya House office. The two discussed at length trade negotiations between the two countries, particularly on inviting American Businesses to set up in Kenya. @USAmbKenya","Leo, Balozi wa Marekani nchini Kenya, HE Kyle Mccarter alimtembelea CS Mutahi Kagwe katika ofisi yake ya Afya House. Wawili hao walijadili kwa kirefu mazungumzo ya kibiashara kati ya nchi hizo mbili, haswa juu ya kualika Biashara za Amerika kuanzisha Kenya. @USAmbKenya",Public Health,
Kenya: Drought - Baseline Population by County (18 Apr 2023),Kenya: Ukame - Idadi ya Msingi kulingana na Kaunti (18 Apr 2023),Disaster/Health,
Exploring the Nexus between Climate hazards and Conflict in Lamu County: Implications for Community Adaptation Action Plans,Kuchunguza Uhusiano kati ya Hatari za Hali ya Hewa na Migogoro katika Kaunti ya Lamu: Athari kwa Mipango ya Kitendo ya Kukabiliana na Jamii.,Disaster/Health,
Partnerships and training helped prevent election violence,Ushirikiano na mafunzo vilisaidia kuzuia ghasia za uchaguzi,Disaster/Health,
Kilifi County: Drought Early Warning Bulletin for September 2023,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2023,Disaster/Health,
The main objective of TVET is to develop an effectively co-ordinated and harmonized TVET system that is capable of producing quality skilled human resource with the right attitudes and values required for growth and prosperity of the various sectors of the economy.,Lengo kuu la TVET ni kuandaa mfumo wa TVET ulioratibiwa na kuwianishwa ipasavyo wenye uwezo wa kuzalisha rasilimali watu wenye ujuzi na mitazamo na maadili sahihi yanayohitajika kwa ukuaji na ustawi wa sekta mbalimbali za uchumi.,General,
International Medical Corps Receives $6.3 Million Grant from Takeda to Improve Health Delivery in Kenya and Somalia,Kikosi cha Kimataifa cha Matibabu Chapokea Ruzuku ya $6.3 Milioni kutoka Takeda ili Kuboresha Utoaji wa Afya nchini Kenya na Somalia,Disaster/Health,
Garissa County: Drought Early Warning Bulletin for January 2023,Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Januari 2023,Disaster/Health,
"The country's progress has been supported by strong governance structures, standardized data collection tools, laboratory information systems, regular data quality reviews and multidisciplinary collaboration involving laboratory, data and informatics teams.","Maendeleo ya nchi yameungwa mkono na miundo thabiti ya utawala, zana sanifu za ukusanyaji wa takwimu, mifumo ya taarifa za maabara, ukaguzi wa mara kwa mara wa ubora wa data na ushirikiano wa fani mbalimbali unaohusisha timu za maabara, data na taarifa.",Disaster/Health,
UNICEF Kenya Humanitarian Situation Report No. 7 27 November 2023 (Reporting period 1 July - 30 September 2023),Ripoti ya Hali ya Kibinadamu ya UNICEF Kenya No. 7 27 Novemba 2023 (Kipindi cha kuripoti 1 Julai - 30 Septemba 2023),Disaster/Health,
Three months of COVID-19 in sub-Saharan Africa28 May 2020,Miezi mitatu ya COVID-19 katika Afrika Kusini mwa Jangwa la Sahara28 Mei 2020,General,
The ongoing conflict in the Middle East poses risks to the country's agricultural sector by disrupting trade flows and supply chains and increasing input costs.,Mzozo unaoendelea katika Mashariki ya Kati unaleta hatari kwa sekta ya kilimo nchini humo kwa kuvuruga mtiririko wa biashara na minyororo ya ugavi na kuongeza gharama za pembejeo.,Disaster/Health,
"The National Treasury and Economic Planning has prepared draft Government Investment Regulations, 2024 for consideration by stakeholders.","Hazina ya Kitaifa na Mipango ya Kiuchumi imetayarisha rasimu ya Kanuni za Uwekezaji za Serikali, 2024 kwa ajili ya kuzingatiwa na wadau.",Governance,
ACAPS Thematic Report - Kenya: Impact of drought: Turkana and Marsabit counties (07 December 2022),Ripoti ya Mada ya ACPS - Kenya: Athari za ukame: Kaunti za Turkana na Marsabit (07 Desemba 2022),Disaster/Health,
Kenya Health Products and Technologies Local Manufacturing Strategy 2026–2030,Bidhaa za Afya za Kenya na Teknolojia Mkakati wa Utengenezaji wa Ndani wa 2026–2030,General,
"Kenya Key Message Update: High fuel and food prices are limiting household purchasing power, May 2023","Sasisho la Ujumbe Muhimu wa Kenya: Bei ya juu ya mafuta na vyakula inapunguza uwezo wa kununua wa kaya, Mei 2023",Disaster/Health,
Help us to support families and communities affected by armed conflict or by natural disasters in conflict regions all over the world,Tusaidie kusaidia familia na jamii zilizoathiriwa na vita au majanga ya asili katika maeneo yenye migogoro duniani kote,General,
Fighting the Wave: How a Nation United to Fight the COVID-19 Pandemic,Kupambana na Wimbi: Jinsi Taifa Iliyoungana Kupambana na Janga la COVID-19,General,
"Kenya Price Bulletin, May 2024","Taarifa ya Bei ya Kenya, Mei 2024",Disaster/Health,
Kenya Drought Response Dashboard (January to December 2023),Dashibodi ya Kukabiliana na Ukame Kenya (Januari hadi Desemba 2023),Disaster/Health,
Embu (Mbeere) County: Drought Early Warning Bulletin for October 2023,Kaunti ya Embu (Mbeere): Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2023,Disaster/Health,
"AIRA Infodemic Trends Report — September 15–30, 2025 (No. 171)","Ripoti ya Mwenendo wa Taarifa za AIRA — Septemba 15–30, 2025 (Na. 171)",General,
Kenya: Security services must respect fundamental rights during nationwide protests,Kenya: Huduma za usalama lazima ziheshimu haki za kimsingi wakati wa maandamano ya kitaifa,Disaster/Health,
Kwale County: Drought Early Warning Bulletin for April 2024,Kaunti ya Kwale: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Aprili 2024,Disaster/Health,
Taita Taveta County: Drought Early Warning Bulletin for June 2024,Kaunti ya Taita Taveta: Taarifa ya Onyo la Mapema kuhusu Ukame Juni 2024,Disaster/Health,
Wajir County: Drought Early Warning Bulletin for December 2022,Kaunti ya Wajir: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Desemba 2022,Disaster/Health,
Climate Change Turns African Rivers into Epicentres of Conflict,Mabadiliko ya Tabianchi Yageuza Mito ya Kiafrika kuwa Vitovu vya Migogoro,Disaster/Health,
You can help prevent the spread of respiratory diseases like #COVID19 if you do the following. #StayHomeHero #KomeshaCorona,Unaweza kusaidia kuzuia kuenea kwa magonjwa ya kupumua kama #COVID19 ukifanya yafuatayo. #KaaNyumbaniShujaa #KomeshaCorona,Public Health,
Cash and voucher assistance are coordinate through the County Steering groups and aligned with the Kenya Cash Working group guidance to avoid duplication and maximize on the impact.,Usaidizi wa pesa taslimu na vocha huratibiwa kupitia vikundi vya Uendeshaji vya Kaunti na kuunganishwa na mwongozo wa kikundi cha Kenya Cash Working ili kuepuka kurudia na kuongeza athari.,Governance,
"Crops in these areas are harvested in July and August, and compared to westernunimodalhigh potential areas, agricultural systems are less input intensive.","Mazao katika maeneo haya huvunwa mnamo Julai na Agosti, na ikilinganishwa na maeneo yenye uwezekano wa westernunimodalhigh, mifumo ya kilimo haihitaji pembejeo nyingi.",Agriculture,
Makueni County: Drought Early Warning Bulletin for September 2022,Kaunti ya Makueni: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2022,Disaster/Health,
Tana River County: Drought Early Warning Bulletin for June 2024,Kaunti ya Tana River: Taarifa ya Onyo la Mapema kuhusu Ukame ya Juni 2024,Disaster/Health,
The Policy is underpinned on the Government's commitment to address the challenges that have faced the Kenyan tax system for a long time.,Sera hiyo inaungwa mkono na kujitolea kwa Serikali kushughulikia changamoto ambazo zimekabili mfumo wa ushuru wa Kenya kwa muda mrefu.,Governance,
AIRA Infodemic Trends Report - 1-8 January 2024 (Weekly Brief #101),Ripoti ya Mitindo ya Taarifa ya AIRA - 1-8 Januari 2024 (Muhtasari wa Kila Wiki #101),Disaster/Health,
"Adaptation in Adversity - The Impact of Drought on the Livelihood Adaptive Strategies of Refugee Youth with Physical Disabilities in Kakuma Refugee Camp, Working paper 4 - December 2024","Kukabiliana na Matatizo - Athari za Ukame kwa Mikakati Inayobadilika ya Riziki ya Vijana Wakimbizi Wenye Ulemavu wa Kimwili katika Kambi ya Wakimbizi ya Kakuma, Mada ya Kazi 4 - Desemba 2024",Disaster/Health,
Turkana County: Drought Early Warning Bulletin for March 2023,Kaunti ya Turkana: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2023,Disaster/Health,
