English,Domain
"WHO has deployed five public health experts to Nairobi county, to strengthen case finding, investigation and contact tracing efforts.",Health
"Participants were trained as “trainers of trainers,” equipping them to effectively transfer the knowledge and skills they acquired to colleagues within their respective health facilities.",Health
"Participants were trained in key areas such as surveillance, case detection, testing, case management, infection prevention and control and community engagement.",Disaster/Health
Training also included hands on exercises in cholera management including establishing and operating cholera treatment units.,Health
"These units are essential in combating cholera outbreaks and have a specific flow that allows for infection prevention and control measures, including rehydration areas and recovery beds.",Health
"In emergency situations, these units are set up in tents for quick deployment. ""This training has provided us with important updates on cholera case management, helping us fight any outbreaks as they occur,"" says Samuel Kiti, a medical laboratory technologist in Garsen, a town in Tana River county.",Health
"Participants also mapped existing health facilities that can be repurposed into cholera treatment units when resources are insufficient to establish large scale cholera treatment centres at bigger hospitals. “This continued initiative underscores our shared commitment to safeguarding public health, improving coordination and preparedness, equipping health workers and protecting vulnerable communities,” says Dr Abdourahmane Diallo, WHO Representative in Kenya.",Health
"Back in Nairobi, Ndunta has been discharged and is back home.",Disaster/Health
"Community health promoters have visted her, checking on her recovery and educating her family and neighbours on using water purification tablets, proper handwashing, avoiding cold food and maintaining hygiene at food preparation areas and toilets. ""I feel so much better now.",Health
"I am grateful to everyone who helped save my life,"" says Ndunta.",Disaster/Health
"Nairobi, Kenya - May 21, 2025 - Today, Kenya officially took a major step towards protecting lives and livelihoods from disasters through its national launch of the Early Warnings for All (EW4All) initiative.",Disaster/Health
"Over recent decades, Kenya has faced increasing climate-related disasters, particularly droughts and floods, which have severely impacted communities, especially in the Arid and Semi-Arid Lands (ASAL) regions.",Disaster/Health
"In 2024, the March-April-May floods affected around 410,000 persons, claimed 315 lives and caused damage that amounted to 187 billion Kenyan Shillings (USD 1.5 Billion).",Disaster/Health
"To reduce these disaster losses, Kenya joined the global EW4All initiative in a demonstration of its commitment to saving lives and the country's hard-fought development gains.",Disaster/Health
"The launch of EW4All in Kenya underscores the urgent need to shift from reactive disaster response to proactive anticipatory action, while ensuring that no one is left behind when disasters strike.",Disaster/Health
"Officially launching the event, The Honourable Dr.",Disaster/Health
"Deborah Barassa, Cabinet Secretary, Ministry of Environment, Climate Chane and Forestry, stated that ""Every Kenyan - regardless of where they live or what language they speak- deserves access to life saving information before disaster strikes.",Disaster/Health
This Initiative will do exactly that.,Disaster/Health
"Let us therefore unite, collaborate, engage, and build an Early Warning System in Kenya that will reduce loss of life and livelihoods, bolster food security, and build a more resilient Kenya for generations to come"".",Disaster/Health
"She also announced that ""5 percent of the national Disaster Risk Management budget will be allocated to upgrading early warning systems across all relevant institutions"".",Disaster/Health
Kenya is not new to early warning systems and has been making notable progress in advancing this work.,Disaster/Health
"The country engages in ambitious efforts, such as the development of the ""Kenya Anticipatory Action Roadmap 2024 - 2029"", and hosts key institutions including the IGAD Climate Prediction and Application Centre (ICPAC) which co-organised this event.",Disaster/Health
"Kenya's leadership role was reinforced by the designation of His Excellency, Dr William Samoei Ruto, CGH, the President of the Republic of Kenya, as the World Meteorological Organization Champion for the EW4All Initiative in Africa, during the Africa Climate Summit in 2023.",Disaster/Health
"To strengthen inclusive early warning in the country, the workshop will provide a platform to coordinate efforts, strengthen disaster governance, and enhance Kenya's capacity for real-time monitoring and forecasting of natural hazards.",Disaster/Health
"The United Nations Resident Coordinator in Kenya, Dr.",Disaster/Health
"For more information about Early Warnings for All and the national workshop, please contact: justine.dumas@un.org For photos of the event: https://flic.kr/s/aHBqjCf3i3 About EW4All: Early Warnings for All is a global United Nations initiative aimed at ensuring that every person on Earth is protected from hazardous weather, water, or climate events through life-saving early warning systems by 2027.",Disaster/Health
Early warning systems are among the most effective measures for reducing disaster risks and building resilience.,Disaster/Health
"Since late 2024, Marsabit and Wajir counties, in the arid north-eastern region of Kenya, have been experiencing a significant surge in cases of Kala-azar, also known as Visceral Leishmaniasis.",Agriculture
Médecins Sans Frontières (MSF) emergency teams in collaboration with local health authorities have been responding to the rising cases. 347 cases and 5 deaths reported in Marsabit with 994 cases with 40 deaths in Wajir.,Health
Children under five years are the most affected with majority below two years.,Disaster/Health
"Kala-azar is a deadly parasitic disease transmitted by the bite of infected sandflies, which thrive in the hot, arid landscapes of northern Kenya.",Health
It is also a neglected tropical disease (NTD).,Health
"Apart from the environmental factors, being pastoralists exposes them more to the sandflies.",Agriculture
"Left untreated, the disease is fatal in 95% of cases, making it the second deadliest parasitic disease after malaria.",Health
There is a significant lack of both test kits globally and medication to treat it effectively.,Disaster/Health
"This shortage severely hindered timely treatment and control of the disease in the affected communities at the start of the surges. “Kala azar is deadly, difficult to detect especially with limited test kits, and poorly understood by most communities,” said Dr.",Health
"Strained healthcare systems, limited diagnostics and treatment resources, and low public awareness hinder effective prevention and response to the already neglected disease at a broader scale.",Health
"Limited access to diagnostic tools, toxic treatment regimens that require expert handling, and low public awareness are just some of the obstacles in tackling this neglected disease.",Health
"MSF calls for increased national and international focus on neglected tropical diseases , including health worker training, improved funding for diagnostics and safer treatments, community awareness, and prevention.",Health
The teams also conducted community health education and disease prevention activities aiming at passing on information about the disease and ways of reducing the risk of infection.,Health
"We also provided 420 testing kits to enhance diagnosis, distributed 5,877 mosquito nets and donated 10 insecticide sprayer pumps 2 insecticide modules (complete kit with insecticide and protective gear), 500 icons (an insecticide) for vector control.",Disaster/Health
This Weekly Bulletin focuses on public health emergencies occurring in the WHO African Region.,Health
"This week’s articles cover: Mpox in Kenya - Mpox in Uganda Anthrax in the Democratic Republic of the Congo and Uganda For each of these events, a brief description is provided, followed by public health measures implemented and an interpretation of the situation.",Health
"At the end of the bulletin, a table provides information on all new and ongoing public health events currently being monitored in the region, as well as recent events that have been controlled and closed.",Health
"Major Issues Mpox in Kenya: The ongoing mpox outbreak in Kenya has spread across multiple counties, particularly those situated along the Northern Corridor transport route.",Health
"While public health interventions are underway, gaps remain in community engagement and timely access to care.",Health
"Misinformation continues to hinder risk communication efforts, and there is a pressing need to build trust within communities.",Disaster/Health
"Additionally, enhancing the diagnostic capacity of sub-national laboratories and strengthening healthcare worker training on Mpox identification and case management are critical areas requiring urgent attention.",Health
"Further efforts are needed to strengthen cross-border coordination, target high-risk groups, and explore vaccination strategies for comprehensive containment.",Health
"Kenya Population: 45.5 million People in Need: 3.5 million Our Impact People Helped Last Year: 943,311 Our Team: 35 employees Program Start: 2002 Building a future free from malnutrition: One community at a time By Victor Akumu In one of Kenya’s most remote villages, Veronica Lalakal treks three hours nearly every day to reach families in need.",Health
Veronica travels over rivers without bridges and unpaved roads that are often obstructed.,Disaster/Health
"During the rainy season, the journey becomes far worse as flooding washes away all traces of paths.",Disaster/Health
"Still, Veronica is committed to visiting families in Oldonyiro, an area with some of the region’s worst rates of malnutrition. “Malnutrition runs rampant in Oldonyiro, and especially in the small village of Lebarsherik,” said Veronica.",Health
Veronica is a Community Health Worker and one of Action Against Hunger’s many local heroes working in isolated areas that would otherwise not receive healthcare.,Health
Community Health Promoters are local volunteers who work with Action Against Hunger to educate their communities about nutrition and link them to the resources Action Against Hunger has to offer.,Health
"During one of Veronica’s door-to-door visits, she met a two-year-old named Enza.",Disaster/Health
"Veronica used a Mid-Upper Arm Circumference (MUAC) band during Enza’s check-up, a tool that helps caregivers and Community Health Promoters quickly and easily detect severe acute malnutrition in children.",Health
"Based on the MUAC band’s results, Veronica suspected that Enza was suffering from malnutrition.",Health
"She brought the toddler and her mother, Narikuni, to see the local health center for a full assessment.",Health
"Emily Lerosion is the nurse in charge at the Lebarsherik Health Center, a facility supported by Action Against Hunger, and she works closely with Veronica to identify and treat malnourished children.",Health
"Emily reports that the center treats several cases of severe acute malnutrition every week, providing holistic care that helps children return to full nutritional health. “Once we identify a child with malnutrition, we conduct tests to check for other health-related issues, such as anemia or malaria.",Health
"Soon enough, Enza was back to full nutritional health.",Health
"Emily and Veronica work with Action Against Hunger nutrition volunteers like Winnie Makena, who holds another critical role in the community health system.",Health
Winnie leads nutrition counseling workshops for mothers across several villages in Oldonyiro.,Health
She trains mothers in the safest and most effective ways to feed their children.,Disaster/Health
"Without volunteers like Winnie who can work directly in hard-to-reach communities, many children would never be properly treated for malnutrition.",Health
"Fighting malnutrition is a community effort and individuals like Veronica, Emily, and Winnie provide a crucial link between communities and Action Against Hunger’s nutritional interventions.",Health
"However, tackling hunger requires more than just short-term nutrition support; it is a complex and multi-layered issue not just caused by lack of food.",Health
"Inequity, poverty, conflict, and lack of sanitation are just some of the major contributors to hunger.",Disaster/Health
"Action Against Hunger implements holistic, long-term strategies to address both the causes and consequences of hunger in all our programs.",Disaster/Health
One of the methods for fighting hunger long-term in Kenya is creating support groups where peers can share experiences and learn from each other.,Disaster/Health
"After attending one of Winnie’s workshops, women are connected to a support group where they can continue developing their nutritional knowledge. “We have formed mother-to-mother support groups where mothers are trained on nutrition, specifically on which foods to use based on their nutritional value, and best practices to enhance their families’ health,” said Winnie.",Health
Narikuni enrolled in one of Action Against Hunger’s women-to-women support groups.,Education
She started a kitchen garden at her home to grow vegetables like eggplants and spinach for a well-balanced diet that would help sustain Enza’s recovery from malnutrition.,Health
Action Against Hunger supported her with a water tank to store rainwater and installed a bio-sand water filtration system in the community to ensure clean water access.,Disaster/Health
"Now, Narikuni serves as secretary of her women-to-women support group.",Disaster/Health
"Gerald Mwangi, Field Coordinator for the region, notes that Action Against Hunger is addressing a range of issues through support groups. “In Oldonyiro, Action Against Hunger has established over 60 mother-to-mother support groups, and through this integrated approach, we hope to support more households in breaking the cycle of hunger, malnutrition, and poverty,” he said.",Health
"Many of these groups have evolved into Village Savings and Loan Associations (VSLAs), which allow mothers to save money and access loans through table banking.",Disaster/Health
"The VSLAs are designed to enhance women’s economic agency, giving them financial decision-making power to improve their livelihoods. “Through the Village Savings and Loan Association, I have been able to get money to buy a few goats that I keep as a source of livelihood”, Nakiruni says.",Disaster/Health
"By October 2024, the humanitarian situation in Kenya’s Kerio Valley had signicantly deteriorated, reaching critical levels .",Disaster/Health
"The number of displaced households in Baringo County increased from 2,951 in April to 4,454 HHs—representing 22,270 people (11,351 women and 10,919 men).",Governance
"This escalation reected a deepening crisis driven by inter-communal conict, displacement, and restricted access to basic services.",Disaster/Health
"As per historical trends, tensions remained concentrated in Baringo South (bordering Samburu) and Baringo North (adjacent to Turkana, West Pokot, and Elgeyo Marakwet), where localized violence continued to displace communities.",Security
"In 2024, active displacement sites included Kagir (52 households) and Ngaratuko (22 households), while over 180 households sought refuge within host communities in Saimo Soi Ward.",Disaster/Health
"Insecurity, poor road access, and prolonged rains (March–November 2024) led to partial closure of over 17 local markets, including Loruk and Nginyang’.",Disaster/Health
"The disruption of supply chains crippled livelihoods, while three health facilities (Yatya, Kapturo, Rondinin) operated at minimal capacity.",Health
"Several schools—including Kagir, Ngaratuko, and Chemoe Primary—were converted into shelters, further impeding access to education.",Education
"The displacement crisis exacerbated vulnerabilities, particularly for women and children, who faced increased risks of SGBV, family separation, child labor, and early pregnancies.",Disaster/Health
Makeshift tents and overcrowded shelters heightened exposure to pneumonia and communicable diseases.,Health
"Over the months covered under this DREF and until closure, KRCS remained the primary responder in hard-to-reach areas, operating under enhanced security measures.",Security
"In coordination with county and national governments, the response focused on: Immediate relief and clashes root cause mitigation, coordinating resources to enhance peacebuilding, resource conict mediation, and early recovery support.",Governance
"Despite these eorts, the crisis underscored the urgent need for sustainable solutions.",Disaster/Health
"The Baringo situation heavily contributed to the collapse of Economic and Social Services in the aected localities, as well as rising of protection, food insecurity and health challenges.",Health
"Recurrent droughts, oods, and inter-ethnic violence highlight the necessity for long-term peacebuilding and climate adaptation strategies to break the cycle of vulnerability in Baringo and neighboring counties.",Disaster/Health
"Therefore, mitigating the resource based unrest.",Disaster/Health
"Severe droughts in northern Kenya are driving child marriage, increasing the risk of modern slavery.",Disaster/Health
"Climate change is worsening exploitation, highlighting the urgent need for stronger protections.",Disaster/Health
"Severe droughts in northern Kenya are leading struggling families to marry off their daughters, increasing the risk of modern slavery.",Disaster/Health
"Families facing extreme drought after months of no rainfall in Marsabit County, northern Kenya, are resorting to child marriage as a means of survival.",Disaster/Health
"As livestock perishes and food supplies decrease, women and girls are being exchanged for essential items like camels and goats.",Agriculture
"The prolonged drought has deepened existing inequalities, leaving women and girls particularly vulnerable to exploitation.",Disaster/Health
"She initially accepted, however, her husband soon became abusive. “I stayed because I had no other choice.",Disaster/Health
My family wouldn’t take me back because he had paid the dowry.” Walk Free’s research shows that child marriage is a key form of modern slavery.,Disaster/Health
"Compounding crises such as conflict, climate change, and the COVID-19 pandemic have increased girls’ vulnerability to violence, exploitation, and a lack of support.",Disaster/Health
"An estimated 22 million people globally were living in a forced marriage on any given day, according to the latest Global Estimates of Modern Slavery .",Disaster/Health
"Climate crisis leaves women and girls vulnerable to sexual violence As climate change worsens, women and girls need to walk further to collect water or graze livestock, which increases their risk of sexual violence.",Disaster/Health
"Wato Gato, also interviewed by Al Jazeera, was looking after her family’s goats when she was assaulted multiple times by a man who disappeared into the desert.",Disaster/Health
"She was 15 at the time, and months later, she discovered she was pregnant. “My family blamed me and told me to leave.",Disaster/Health
"I had nowhere to go,” Wato said.",Disaster/Health
"Urgent action is needed to protect women and girls from exploitation The increasing frequency of extreme weather events is deepening gender inequalities, pushing women and girls further into modern slavery.",Disaster/Health
"Walk Free’s Global Slavery Index highlights the urgent need for targeted interventions to protect vulnerable populations, including: Expanding social safety nets to support vulnerable families and prevent child marriage.",Security
Strengthening legal frameworks to address forced marriage and sexual violence.,Security
Investing in climate resilience programs that protect livelihoods and reduce reliance on exploitative coping mechanisms.,Disaster/Health
"As climate change accelerates, protecting women and girls from modern slavery must be a priority in global adaptation responses.",Disaster/Health
"Policy for urban refugees in Kenya and Uganda is rarely at the forefront of national discussions, leaving important gaps that could potentially be addressed with engagement from civil society.",Disaster/Health
"Abstract Climate change is increasing the frequency, intensity, and severity of droughts in Kakuma refugee camp in Kenya.",Disaster/Health
"This has an impact on the livelihoods of refugee youth with physical disabilities (RYWPDs), who have more limited livelihood options than other refugees due to their physical disability and who face significant social and infrastructural factors.",Disaster/Health
"However, to date, little attention has been paid to RYWPDs and their specific needs.",Disaster/Health
"To address this gap, this study explored the adaptation strategies of RYWPDs and the barriers they face, using a qualitative research approach.",Disaster/Health
"The results show RYWPDs to be active in adapting their livelihoods to drought, rather than passive recipients of aid.",Disaster/Health
"Abstract This study explores the interactions between refugees' aspirations, abilities, and institutional constraints as they decide to move from Kakuma and Dadaab refugee camps to Nairobi, Kenya, and their experience navigating life in the city.",Disaster/Health
"It concludes with a set of recommendations to the refugee support ecosystem to help refugees navigate the significant legal, financial, and bureaucratic barriers that complicate their integration and their search for sustainable livelihoods in Nairobi.",Disaster/Health
"Key Messages Critical need for increased sanitation infrastructure: schools in the host and refugee communities have a high learner-to-toilet ratio, with over 80% of these facilities failing to meet national standards for both male and female learners.",Disaster/Health
"Access to proper sanitation facilities is crucial for the quality of education, as it influences school attendance and reduces the risk of children dropping out.",Education
Host communities in Garissa and Turkana experience more significant challenges than refugee communities.,Disaster/Health
They often rely on unsafe water sources that need further treatment.,Health
"Specifically, half of the schools in the Garissa host community rely on unimproved water sources and 9% do not have access to any water at all.",Education
"Without access to safe water for drinking, food preparation, hand-washing, achieving basic education outcomes becomes challenging.",Disaster/Health
"In both health and school facilities, hand-washing stations are often inadequate, with a lack of soap reducing their effectiveness.",Health
This poses a significant barrier to maintaining proper hygiene for learners and patients.,Health
"Additionally, the absence of hand-washing facilities in 68% of households in the refugee camps contributed to unmet water, sanitation, and hygiene (WASH) needs, increasing the risk of cholera for household members.",Disaster/Health
"The hospital ward is hot and stifling, and Madina Sabit fans her daughter Tana with a piece of cardboard.",Health
"She is one of an estimated 300,000 people from across the volatile East Africa region who calls Kakuma and the nearby refugee settlement of Kalobeyei home.",Disaster/Health
"Like most refugees here, Madina and her children live in a small makeshift shelter with little protection from the elements.",Disaster/Health
"Mosquitoes, which carry the malaria parasite, thrive in the camp. “ We sleep under nets, but the children are playing outside in the evening so it’s very hard to stop them from getting bitten ,” she says.",Health
It is the leading cause of death in many African countries and the continent accounts for 95% of all deaths from malaria globally.,Health
Spraying chemicals to stop the breeding of mosquitoes is also an important part of the EU’s preventative measures.,Disaster/Health
"Despite this, overcrowding and inadequate sanitation nonetheless lead to thousands of new infections in Kakuma every month.",Disaster/Health
This is the third time Tana has been treated for malaria. “ And she will be fine this time as well .” Gakii says.,Health
"Heavy rainfall has been affecting central and western Kenya (mainly the Isiolo and Baringo counties) over the past few days, causing rivers to overflow (particularly the Majimoto river), floods, and flash floods that have resulted in casualties and damage.",Disaster/Health
"Media report, as of 23 April, two missing people, one rescued person and approximately 200 displaced families across Isiolo county.",Governance
"In addition, a number of structures have been damaged across Baringo county.",Governance
"Rains and floods are particularly alerting in current epidemics environment as a cholera outbreak is ongoing in the country, with four counties reporting cases (128 cases with five deaths – Case Fatality Rate 5,2%), including Nairobi, while sanitation and clean water availability in the poorest neighbourhoods is deficient.",Disaster/Health
"Over the next 48 hours, more heavy rainfall with locally very heavy rainfall is still forecast over most of the country.",Disaster/Health
Kenya is facing a drought situation that has significantly deteriorated following the consequence of the rain failure observed since the last quarter of 2024.,Disaster/Health
"The National Drought Disaster Manager Agency issued the Kenya IPC Short Rains Assessment (SRA) on 28 February 2025, which was conducted by the Kenya Food Security Steering Group, where the Kenya Red Cross provided technical expertise.",Disaster/Health
The report assessment emphasized the effect of the rain's failure in the past OND season while indicating a continuous below-normal March–May rainfall.,Disaster/Health
"The assessment, covering the post-harvest period from February to March 2025, revealed that approximately 2.2 million people are experiencing acute food insecurity (IPC Phase 3 or higher – Crisis or worse).",Disaster/Health
"Among them, 266,000 people are in IPC Phase 4 (Emergency), primarily in Turkana, Mandera, Garissa, Wajir, and Marsabit counties.",Disaster/Health
"By June, it will be approximately 292,000 people in Phase 4 and 2.5 million people in IPC Phase 3 (Crisis).",Disaster/Health
"On March 21, the latest Acute Food Insecurity Situation for February - March 2025 and Projection for April - June 2025 Arid and Semi- Arid(ASAL) was published, with a significant increase in the food-insecure population compared to a similar period last year.",Security
"The are a total of 23 ASAL counties in total, where 9 are arid and 14 are semi-arid.",Agriculture
"The below-normal October-November-December (OND) 2024 short rains stressed the production and reversed gains from the past three seasons, worsening household food insecurity in ASAL regions.",Disaster/Health
"Widespread crop failure and low agricultural productivity have been driven by poor rainfall, compounded by crop pests, diseases, and high fuel and fertilizer costs, which have severely constrained farming activities, especially for vulnerable households.",Agriculture
"Facing this situation over the recent months has further stressed the overall food insecurity in the ASAL regions, where factors such as elevated food prices and conflicts related to resource management and humanwildlife interactions have been entertaining this food insecurity crisis.",Security
"Center offers job training to students who face significant poverty ( MissionNewswire ) The Don Bosco Technical and Vocational Training Center in Makuyu, Kenya , has undergone much-needed renovations to improve the learning environment for students thanks to donor funding from Salesian Missions , the U.S. development arm of the Salesians of Don Bosco.",Education
"The funding was used to renovate student bathrooms, paint the entire center, cement and plaster exterior pillars and the interior of some classes, and replace windowpanes and frames.",Education
"The next project is replacing the roofing of the center, which has asbestos.",Disaster/Health
The center offers training to youth and adults aged 13-35 to equip them with the job skills they need.,Disaster/Health
The students come from the surrounding communities and often face significant poverty.,Education
The majority of students lack the tuition money to continue with their secondary or college education.,Education
Some even find it difficult to get three meals a day from their families due to harsh economic situations.,Disaster/Health
The center has become a refuge for these students to help them become self-sufficient.,Education
"Salesians offer technical training in various areas of specialization including masonry, plumbing, electrical installation, arc welding, motor vehicle mechanics, solar photovoltaic skills, carpentry and joinery, printing technology, and cabinet making.",Disaster/Health
"One of the students impacted is James Munene, who is the oldest in a family of seven.",Education
He is studying motor vehicle mechanics.,Disaster/Health
"Munene said, “When I finish school, I want to get a job and help my family and pay school fees for my brothers and sisters.",Education
"Thanks to the repairs and painting, our school is very beautiful.",Education
I feel proud to be here.” The economic situation of the students has led the center to face financial constraints.,Education
"A Salesian explained, “The limited funds we have are channeled to purchasing training materials, and salaries for the teachers and staff.",Education
To equip the school with modern machinery and equipment has proven to be a challenge to date.,Education
"This is why we are so grateful for the funding that has enabled us to make improvements to the school, which positively impacts the learning environment.”",Education
"By Joseph Kamolo Mutua, Ministry of Education, and GPE Secretariat Read how Kenya is making access to education more equitable and supporting the most vulnerable students to fulfill their potential. “When I go to school, I try my best to work hard.",Education
I also try to do more after-school lessons.,Education
"My favorite subject is English.” - Aryan*, 2023 scholarship recipient, Dadaab, Kenya Aryan, her three younger brothers and their mother fled civil unrest in Somalia in 2014.",Education
"She witnessed the killing of her father and her older brother by armed militia, and her family was too scared to stay at home, so they sought refuge in Kenya.",Disaster/Health
"They arrived in the town of Dadaab and have been living in Hagadera Refugee Camp ever since. “Now that I’ve become the father and mother to this family, I’ve had to make the decision on how to progress with the children I have left.",Disaster/Health
My biggest focus was on my daughter because she was vulnerable.,Disaster/Health
I managed to convince her to start thinking of going to school because I believe in my heart that school is good.” - Aryan’s mother Aryan is deaf and communicates with sign language.,Education
She thought that starting at a new school would be difficult but took on the challenge in hope of a better future.,Education
"She explains, “If I get a job, I will be able to support my family.",Disaster/Health
"I will also be able to ease my mother’s problems.” She applied for an Elimu scholarship through the Ministry of Education of Kenya : US$3,200 to cover school fees, learning materials and transportation to and from school for four years of secondary school.",Education
Scholarship recipients also receive mentoring services to help ensure they successfully complete secondary education.,Education
"The aim of the scholarship program is to improve the retention and progression of secondary school students from economically and educationally disadvantaged backgrounds, including girls and refugees.",Education
"Aryan is one of 34,000 vulnerable students who received a scholarship from 2022-2024.",Education
All applicants had to take the Kenya Certificate of Primary Education exam and score 280 or above.,Education
"For refugee students, the minimum score for scholarship eligibility was 240 for girls and 250 for boys.",Education
Applications were reviewed by Kenya’s Community Scholars Advisory Committee at locations throughout the country.,Disaster/Health
Committee members interviewed applicants with their guardians and visited shortlisted candidates at their homes to verify their needs. “My mother has 5 children.,Disaster/Health
"In 2009, my father started losing his eyesight.",Disaster/Health
"In 2011, he became totally blind and deaf.",Disaster/Health
"In 2017, he developed a coughing disease.",Health
"We could not raise money to take him to the hospital, and he died.",Health
"We live with my mother, and she is not in good health.” - Kateri, 2023 scholarship recipient, Namanga, Kenya Young Kateri became the head of his household after losing his father and his mother became ill.",Health
"To earn money to support his family, he uproots tree trunks and burns them to sell as charcoal, but he wants to be able to attend school as well: “I took the Kenya Certificate of Primary Education exam, and I did well in science.",Education
"In the future, I want to be a surgeon.",Disaster/Health
"I value human life, and I would like to save lives.” Like Kateri, Rose suffered the loss of her father, and her family’s economic situation deteriorated.",Disaster/Health
"She, her two siblings and their mother moved from their middle-class neighborhood to the low-income residential estate of Kariobangi in northeastern Nairobi. “I would walk a long distance to school because I had no bus fare.",Education
We were often sent home for lack of fees.,Disaster/Health
"When I received my Kenya Certificate of Primary Education exam results, I was worried that my mother would not afford secondary school fees.” - Rose, 2023 scholarship recipient, Kariobangi, Kenya Rose’s successful application for an Elimu scholarship meant that she could continue pursuing her education and get closer to fulfilling her dream of becoming an accountant.",Education
"Enabling disadvantaged children to reach their full potential Without this support, children like Aryan, Kateri and Rose would not be able to advance beyond primary education despite their ambitions to learn more.",Disaster/Health
"The Elimu scholarships are one component of the Kenya Primary Education Equity in Learning (KPEEL) program, which is made possible thanks to funding from the government of Kenya, $200 million from the World Bank, $107 million from GPE and $10 million from the LEGO Foundation for 2022-2026.",Education
"The scholarship component is implemented by the Ministry of Education and their lead agency, the Jomo Kenyatta Foundation , with the support of the Equity Group Foundation .",Education
"It scales up the previous successful scholarship intervention of Kenya’s Secondary Education Quality Improvement Project from 2017-2023, which supported 18,000 students.",Education
"One of the KPEEL program’s main goals is to improve the retention of marginalized girls in upper primary education, as they tend to drop out of school earlier than boys in Kenya.",Education
"An assessment of the interventions funded by the World Bank and GPE revealed that the retention rate of girls from poor and vulnerable populations in grades 7 and 8 increased from 80% in 2021 to 91% in 2024, exceeding the original target of 85% by 2026.",Disaster/Health
"By building on what works, Kenya is making access to education more equitable and supporting the most vulnerable students to fulfill their potential. * Name has been changed.",Education
"Nairobi, Kenya, 15th April 2025 - A delegation of eight UK Parliamentarians has concluded a successful four-day study tour to Kenya, organised by the UK All-Party Parliamentary Group (APPG) on Global Sexual and Reproductive Health and Rights in partnership with UNFPA, MSI Reproductive Choices, and the International Planned Parenthood Federation (IPPF).",Health
"The tour, held from April 9th to 12th, April 2025, provided an in-depth look at Kenya’s sexual and reproductive health and rights landscape, highlighting both progress and persistent challenges in ensuring universal access to family planning, reducing teen pregnancies, HIV prevention, and addressing gender-based violence, including Female Genital Mutilation.",Health
"During the study tour, the delegation met with Hon.",Disaster/Health
"Aden Duale, Cabinet Secretary for the Ministry of Health, who highlighted Kenya’s priorities in advancing sexual and reproductive health and rights, including reducing maternal mortalities, ensuring uninterrupted supply of family planning commodities, tackling teenage pregnancy and HIV among young people, and strengthening community health systems.",Health
"The members of parliament also engaged with key stakeholders, including healthcare workers , civil society advocates, members of parliament, and youth-led organizations, to understand their perspectives and concerns in the current global context.",Health
"From my experience, when we lift up women and girls, everyone benefits,” said Labour MP for Stafford, Eccleshall, and the villages, and delegation lead, Ms.",Disaster/Health
"Key issues emerging from the study tour included the critical role of adequate national budget allocations for sexual and reproductive health and rights, health sector reforms, and the need for continued multi-lateral support.",Governance
"The group works to promote universal access to SRHR and gender equality, eliminate discrimination and violence against women and girls, and support the implementation of the International Conference on Population and Development (ICPD) Programme of Action.",Security
"About UNFPA UNFPA is the United Nations sexual and reproductive health agency, working to ensure every pregnancy is wanted, every childbirth is safe, and every young person’s potential is fulfilled.",Health
"In Kenya, UNFPA collaborates with the government and partners to expand access to family planning, improve maternal healthcare, prevent gender-based violence, and promote sexual and reproductive health and rights for women, girls, and youth.",Health
by Daisy Kosgei Have you heard the tale of a hummingbird saving a huge forest from a fire?,Security
"While all other animals fled in fear and panic, the tiny bird said, “I’m going to do something about the fire!” So it made countless trips to carry water drops to the flames and managed to put out the fire.",Security
"This story resonates deeply when I think of the women of North Turkana, especially during migration seasons when survival depends on their resilience and resourcefulness.",Disaster/Health
"Much like the hummingbird, these women take on an immense challenge despite all odds.",Disaster/Health
"In search of water and pasture for their livestock, they embark on long treks, often walking many kilometres in a day to identify new areas for settlement where water is accessible.",Agriculture
"Once they reach these new locations, they prepare shelters not just for their families, but also for their livestock, ensuring that both can survive the harsh conditions.",Security
"The story of a hummingbird opened the Water, Peace and Climate Conference in Kenya last month, setting the tone for our discussions about improving collaboration on water, peace and security issues.",Disaster/Health
"At this event, I presented our Water, Peace and Security (WPS) partnership work and joined a panel with colleagues from the International Organization for Migration , University of Nairobi , and Kenya's Ministry of Foreign Affairs .",Education
"Several messages particularly stood out to me: There’s an urgent need for collective action on climate security, and local communities must be at the centre of shaping solutions Dr.",Disaster/Health
"Monica Juma, Advisor on National Security in Kenya , described climate security as ""one of the largest public good portfolios."" Her emphasis on community-centered approaches mirrors what we've witnessed in our WPS work – solutions developed with and by local communities last longer and work better .",Disaster/Health
"For successful initiatives that resolve conflicts and build resilience against climate change and water scarcity, we need inclusive engagement from all affected groups.",Disaster/Health
"When one person takes positive action while their neighbour doesn't, progress stalls.",Disaster/Health
"Our work has shown that when communities get a voice in negotiating resource-sharing agreements, dialogue and cooperation replace conflict and reinforce mutual understanding.",Security
"Military and defence sectors have a critical role General (Ret.) Tom Middendorp, Chair of the International Military Committee on Climate and Security , highlighted how climate change intersects with security through three factors: geopolitical fragmentation, population growth and resource scarcity.",Disaster/Health
"In Kenya's climate-stressed regions, we've witnessed how these factors play out.",Disaster/Health
"Communities clash over scarce water and land more frequently, leading to violent incidents that disrupt daily life and traumatise residents.",Disaster/Health
This reality underscores the need for civil-military cooperation in fragile contexts .,Disaster/Health
"Building trust between military and civilian actors is essential for sustainable security outcomes, especially when implementing water and climate adaptation programmes in vulnerable communities.",Disaster/Health
