Kiswahili,Domain
"Kukamatwa kwa watu hao kunafuatia uchunguzi uliofanywa na EACC baada ya kupokea malalamiko mengi kutoka kwa madereva na umma kuhusu ulaghai uliokithiri unaofanywa na maafisa wanaolinda kizuizi cha barabarani, taarifa ya EACC ilisomeka kwa sehemu.",Governance
Ushauri wa umma kuhusu matumizi ya mbegu zilizoidhinishwa ili kuongeza uzalishaji wa chakula kitaifa.,Agriculture
Usipake vitu kwenye kamba. Iweke kavu na safi hadi ianguke kiasili.,Health
"Makasisi kuhusu kufunguliwa tena kwa shule: Makasisi wahimiza serikali kuhakikisha usalama wa watoto wa shule. Shule 10 bado zimejaa maji huko Budalangi, Kaunti ya Busia Odhiambo: Hakikisha watoto wako salama huku shule zikifunguliwa tena",Governance
Uchunguzi wa ufisadi katika Kaunti ya Siaya: Oguna ahimiza EACC kuchunguza matumizi mabaya ya fedha katika kaunti ya Oguna: tunatoa wito kwa EACC kukamilisha uchunguzi wa wizi wa Ksh. 600M,Governance
Ukame huharibu mifugo na riziki zao. Serikali hutoa huduma za maji kwa magari na chakula cha mifugo. Ripoti visa vikali kwa kamati za maafa za kaunti.,Security
Jifunze mbinu ya Heimlich ili kumsaidia mtu anayekabwa koo.,Security
"MUSWADA WA BUNGE NA MAADHIMISHO, 2024 Soma zaidi USHAURI WA KNCHR KUHUSU MUSWADA WA BUNGE NA MAADHIMISHO, 2024 Soma zaidi MUSWADA WA USHIRIKI WA UMMA, 2024 KNCHR kwa Ushirikiano na Ofisi ya Mwanasheria Mkuu inawaalika wananchi kutoa maoni yao katika rasimu ya Mswada wa Ushiriki wa Umma.",Governance
Shiriki barabarani kwa usalama na waendesha baiskeli.,Security
Kampuni ya Nigeria kutengeneza vifaa vya kupima VVU na malaria baada ya ufadhili wa Marekani kupunguzwa,Health
Maandamano ya Julai 7 yanatarajiwa; kuepuka miji mikubwa na maandamano.,Security
Washukiwa kadhaa wakamatwa Lamu wakati wa operesheni ya kukabiliana na ugaidi; umma wahimizwa kuripoti taarifa za watu waliokamatwa.,Security
Kutangaza uzinduzi wa Tovuti ya Lishe inayotoa moduli za mtandaoni na semina za mtandaoni ili kuwapa wagonjwa wa CHV zana za ushauri nasaha na njia za rufaa.,Health
Usafirishaji haramu wa binadamu kwa ajili ya unyonyaji wa kingono ni uhalifu mkubwa. Sheria za kitaifa hutoa adhabu kali na ulinzi kwa walionusurika.,Security
Wakazi wa Kaunti ya Kakamega wahimizwa kujisajili kwa nyumba za bei nafuu,Governance
"Wakati wa mafuriko, kipindupindu huenea kupitia maji machafu. Chemsha maji ya kunywa, osha mikono, na uripoti dalili kwa vituo vya afya mara moja.",Security
Huduma za usaidizi wa kisheria zinahakikisha walionusurika wanapata haki kupitia uwakilishi huru au ruzuku.,Security
Weka vizuizi kwenye madirisha na milango kwenye ghorofa za juu ili kuzuia watoto kuanguka.,Security
Wafunze walimu! Shughulikia ukatili wa kijinsia shuleni.,Education
"Tume iliwakumbusha wafanyakazi wake kwamba wao ni zaidi ya maafisa walio nyuma ya dawati ""wao ndio uso hai wa demokrasia ya Kenya, kuanzia kituo cha mbali zaidi cha kupigia kura huko Turkana hadi makao makuu jijini Nairobi.",Governance
Ni sawa kuzungumza! Punguza unyanyapaa wa afya ya akili shuleni.,Education
"Mkopo wa dharura wa HELB wa Ksh 5,000 umetolewa — ' — tuma maombi kupitia programu ndani ya dakika 2!",Education
Badilisha maembe yako mabichi kuwa chipsi za muhogo zenye thamani kubwa. Gundua mbinu rahisi za usindikaji na masoko yanayowezekana.,Agriculture
"Kutokwa na damu, maumivu makali ya kichwa, kuona vibaya, au uvimbe ni dalili za hatari - tafuta huduma mara moja.",Health
Fuata vidokezo maalum vya usalama unapoendesha gari wakati wa likizo.,Security
Mara nyingi manusura wa majanga hukabiliwa na kiwewe. Ushauri nasaha wa bure unapatikana katika vituo vya afya vya serikali na kupitia mashirika yasiyo ya kiserikali.,Security
EACC inawahimiza wataalamu kutumia utaalamu wao katika kuendeleza manufaa ya umma na kuacha kuwezesha ufisadi au tabia nyingine zenye madhara kwa jamii.,Governance
Watoto walio chini ya miezi sita hupata maji yote wanayohitaji kutoka kwa maziwa ya mama. Kumpa mtoto maji huongeza hatari ya kuambukizwa.,Health
Shinikizo la damu kubwa wakati wa ujauzito linaweza kusababisha preeclampsia. Uchunguzi wa mara kwa mara ni muhimu kwa ugunduzi wa mapema.,Health
"Tunahimiza shule zingine na umma kufuata mkondo huo na kuhakikisha plastiki zinasindikwa ipasavyo, alisema.",Governance
"Shule lazima zitekeleze sera za ulinzi, mifumo ya kupambana na uonevu, na huduma za ushauri nasaha ili kuwalinda wanafunzi.",Security
"Wizara ya Afya imethibitisha visa vitatu vipya vya Mpox katika Kaunti ya Busia, na kufikisha jumla ya visa 42 tangu mlipuko wa virusi hivyo Julai 2024.",Health
"Wizara ya Afya yazindua mbio za marathon za VVU/UKIMWI zitakazofanyika Desemba 1, huku ikilenga kutokomeza ugonjwa huo ifikapo mwaka 2030",Health
Onyo la IPOA lilisema kwamba ukimya ndani ya jeshi la polisi huwezesha kutokujali na lilitaka mageuzi ya kitamaduni na kuripoti kwa usalama.,Security
"Okoa rasilimali za maji zenye thamani kwa kuweka umwagiliaji wa matone kwa ajili ya viazi vitamu vyako. Jifunze kuhusu aina za mifumo, usakinishaji, na matengenezo.",Agriculture
"Mkopo wa kuhitimu wa HELB wa Ksh 30,000 umetolewa — ' — "" tuma maombi kupitia programu ndani ya dakika 2!",Education
Na David Njaaga mwezi 1 uliopita 'Puuza notisi za ulaghai': NPSC yaonya kuhusu tangazo bandia la kuajiri polisi Tume ya Kitaifa ya Huduma za Polisi (NPSC) imeonya dhidi ya notisi bandia ya kuajiri polisi inayosambaa kwenye mitandao ya kijamii.,Governance
"Ripoti ajali za barabarani, magari yasiyo salama, na uendeshaji wa magari bila kujali kwa mamlaka.",Security
"Unafikiria kuunda kikundi? Jifunze mchakato wa hatua kwa hatua wa kuanzisha ushirika wa mikopo, kuanzia kuajiri wanachama hadi usajili.",Agriculture
Fanya uandikishaji wa wanafunzi 2025.,Education
"tija ya kilimo. ... Hii inajumuisha kupitia upatikanaji wa fedha na ukuzaji wa ujuzi, fursa za upatikanaji wa soko, upatikanaji ulioboreshwa wa pembejeo na kuboreshwa.",Agriculture
Serikali ya Kaunti inawahimiza wananchi kuwa waangalifu kuhusu kuhakikisha usalama wa umma.,Governance
Kuna mwelekeo mzuri katika vita dhidi ya malaria baada ya Kenya kuorodheshwa pamoja na nchi zingine 12 za Afrika zinazotarajiwa kupokea dozi milioni 18 za chanjo ya kwanza kabisa ya malaria katika miaka miwili ijayo.,Health
Taarifa kwa umma: DCI imefunga kampuni ya ulaghai ya mali isiyohamishika inayofanya kazi kwa majina mengi huko Kiambu. Daima fanya utafutaji katika Wizara ya Ardhi.,Security
Ripoti maafisa wafisadi ili kuimarisha uvumilivu sifuri katika taasisi.,Security
Mwanafunzi asikose shule kutokana na ada piga 0800721490 ikiwa amezuiwa langoni.,Education
Madarasa ya kusoma na kuandika ya watu wazima yataanza tena Januari 13 jiandikishe bure katika ofisi ya mkuu wa shule sasa!,Education
Wanawake wajawazito wanapaswa kuanza huduma ya ujauzito katika trimester ya kwanza ili kugundua na kudhibiti matatizo yoyote ya kiafya mapema.,Health
Tahadhari ya mafunzo mara mbili: Wanafunzi wote wa TVET lazima wasaini mikataba ya tasnia ifikapo Desemba 31.,Education
EACC ilishirikiana na Kanisa Katoliki Kisumu kukuza maadili wakati wa Kwaresima.,Security
Vurugu za nyumbani huwadhuru watoto. Ripoti matukio kwa mamlaka za mitaa au simu za usaidizi kwa watoto.,Security
Washa taa za mbele kabla ya giza kuingia kwa ajili ya kuendesha gari kwa usalama zaidi.,Security
Tafuta msaada! Wasiliana na washauri baada ya vurugu za maandamano.,Education
Kaa salama! Fuata mipango ya uokoaji wakati wa kumwagika kwa kemikali.,Education
IEBCKenya inawasihi wafadhili wetu kuendelea kuiunga mkono Tume kutekeleza shughuli katika mzunguko wa uchaguzi wa 2023-2027.,Governance
"Siasa 'Sio vita vyenu': Mchunguzi wa kijeshi wa Ukraine awaonya Waafrika dhidi ya kujiunga na mapambano ya Urusi Huku Afrika Kusini ikichunguza jinsi raia wake 17 walivyoishia katika eneo la Donbas nchini Ukraine, mchunguzi wa kijeshi wa Kyiv Olha Reshetylova anawasihi Waafrika kupinga kuajiriwa na Moscow na kuepuka vita ambavyo haviwapi ulinzi wowote.",Governance
Akina mama vijana wanapaswa kutiwa moyo na kuungwa mkono ili kuendelea na masomo yao baada ya kujifungua.,Health
Wasaidie wakazi wanaopigania upatikanaji wa maji na huduma za msingi.,Security
Ulimaji wa bustani mijini huwawezesha wakazi wa mijini kulima chakula. Chunguza mbinu kama vile ulimaji wa vyombo na ulimaji wa vitunguu wima.,Agriculture
Piga simu ya bure 1551 au tuma barua pepe kwa report@integrity.go.ke ili kuripoti visa vya ufisadi.,Governance
"Mikataba ya ushirikiano wa maendeleo - Norway nchini Kenya Ruka hadi maudhui kuu Mikataba ya ushirikiano wa maendeleo Kama njia ya kuongeza uwazi na uwajibikaji, Wizara ya Mambo ya Nje inataka kutoa mikataba yake yote kwa umma.",Governance
Tangazo la huduma ya SMS inayotuma vidokezo vya lishe na ustawi vilivyoundwa mahususi kwa akina mama wapya.,Health
Serikali yasambaza vyandarua katika mapambano dhidi ya malaria. Kaunti ya Kilifi ni mojawapo ya wanufaika. Programu ya vyandarua iliangaziwa kwa ukiukwaji wa sheria za ununuzi. Wizara ya Afya inataka kusambaza vyandarua milioni 15 katika kaunti 22,Health
Familia zilizo katika mazingira magumu zinaweza kupata msaada wa pesa taslimu wa serikali wakati wa majanga kupitia mifumo ya pesa za simu.,Security
Tume inawataka wazazi kuwasilisha maoni yao wakati wa kipindi cha uchaguzi.,Governance
Wizara ya Afya inawahakikishia wazazi usalama wa chanjo baada ya watoto wawili kufariki kutokana na chanjo ya polio,Health
Kamwe usishiriki OTP.Hata na 'wafanyakazi wa benki'. Benki halali hazitaki kuziomba.,Security
"Ufafanuzi wa skizofrenia, sababu, dalili, vifaa vya uchunguzi na matibabu.",Health
Uhamisho wa Kazi za Kaunti: Serikali ya kitaifa kuhamisha kazi zilizobaki Rais Ruto asema fedha zitatengwa katika mwaka wa fedha wa 2025/26 Mali zilizogatuliwa zitahamishwa ifikapo Juni 2025 Rais Ruto ahimiza uhusiano mzuri kati ya serikali,Governance
Pakua vifaa vya mtaala wa CBC mtandaoni.,Education
"Gundua faida za kuunda vyama vya ushirika vya wakulima. Jifunze jinsi hatua za pamoja zinavyoweza kuboresha uwezo wa kujadiliana, kupunguza gharama, na kupata huduma.",Agriculture
"Weka funguo za gari mahali salama nyumbani, si karibu na milango/madirisha.",Security
KNCHR yahimiza hatua kuchukuliwa dhidi ya ukiukwaji wa haki za binadamu na hatari za usalama.,Security
Vitisho vya ugaidi vinabaki juu; epuka maeneo yenye msongamano mkubwa.,Security
Jenga kumbi za matumizi mbalimbali 2022.,Education
Kuwa mwangalifu! Ripoti shughuli zinazotiliwa shaka karibu na shule kwa mamlaka.,Education
"Masoko ya kikanda na kimataifa, kama vile Eneo la Biashara Huria la Bara la Afrika, hutoa ufikiaji mpana wa soko kwa watu bilioni 1.3.",Agriculture
"Waajiri wanaweza kutambua dalili za matatizo ya afya ya akili mahali pa kazi kwa kuona mabadiliko katika tabia, kama vile kuongezeka kwa kutokuwepo kazini, kupungua kwa tija, au kujiondoa kutoka kwa wafanyakazi wenzao.",Health
"Hati hii ya Mfumo inaelezea uundaji wa Muungano wa Kimataifa wa Kilimo Kinachozingatia Hali ya Hewa (hapa ""Umoja"") ambao unalenga kuboresha ...",Agriculture
"Tume inawasihi wapiga kura, wagombea na mawakala kudumisha utulivu katika vituo vyote vya kupigia kura, kuepuka kuvaa au kubeba vifaa vya kampeni na kuepuka kufanya kampeni wakiwa kwenye foleni #UchaguziMdogo wa Oktoba14.",Governance
Chanjo ya malaria iliyojaribiwa Kenya yaidhinishwa na WHO,Health
Tumia njia tofauti unaposafiri mara kwa mara ili kuepuka kuweka mifumo.,Security
"Jamii, saidia shule! Changieni malipo ya ada.",Education
Wizara ya Mambo ya Ndani inawaomba wapiga kura kufuata miongozo kuhusu maendeleo ya jamii.,Governance
Wanyanyasaji wa kingono huwalenga watoto mtandaoni na nje ya mtandao. Wazazi wanapaswa kufuatilia mwingiliano na kuwafundisha watoto kuhusu usalama wa miili yao.,Security
Mifugo ni muhimu kwa riziki. Waripoti wanyama walio katika hali ngumu kwa maafisa wa mifugo kwa ajili ya chakula na usaidizi wa kimatibabu.,Security
Kukuza ujasiriamali jumuishi; kuangazia wamiliki wa biashara wenye ulemavu wa kuona.,Security
Mabaraza ya ushirikishwaji wa usalama wa kaunti yaliimarisha ushirikiano kati ya jamii na mashirika ya usalama kwa ajili ya kutoa tahadhari mapema katika maeneo yenye hatari kubwa ya Lamu.,Security
Epuka vituo vya kuchajia USB vya umma. Vinaweza kuiba data yako.,Security
Kuongeza thamani kwenye uyoga kunaweza kuongeza mapato yako kwa kiasi kikubwa. Chunguza mbinu rahisi za usindikaji na fursa za soko la bidhaa zilizoongezwa thamani.,Agriculture
NCTC hutumia majukwaa ya mtandaoni ili kuongeza uelewa na utoaji wa taarifa.,Security
Fanya kazi na ujifunze! Jiunge na mafunzo ya ufundi katika Hifadhi ya Viwanda ya Kiambu.,Education
"Ushauri wa chanjo ya malaria: Watoto zaidi katika kaunti zilizoathiriwa na malaria watachanjwa. WHO imetoa idhini ya matumizi ya chanjo hiyo kwa upana zaidi. Watoto 275,000 wachapwa sehemu, 45,000 wamechanjwa kikamilifu. Data inaonyesha idadi ya visa vya malaria imepungua",Health
Tafadhali kumbuka unaweza kutuma maombi kupitia simu yako kupitia http://ntsa.go.ke chagua TIMS kisha sajili akaunti kisha weka nafasi kwa maelezo yako ya kibiolojia kuchukuliwa.,Governance
Hakuna kuchelewa kwa kufungua shule mwaka 2025 kutokana na mafuriko.,Education
Pata karatasi za zamani za KCSE 2025 bila malipo kabla ya ajali ya seva usiku wa leo!,Education
Endeleza biashara yako ya kilimo kwa kuzingatia matumizi ya ardhi ili kuboresha faida na uendelevu wa nafaka.,Agriculture
"Tangazo rasmi la mpango wa kuongeza asidi ya chuma-foliki kwa vijana linawafikia zaidi ya vijana 160,000.",Health
Hudumia kwa fahari! Jiandikishe katika kozi za ufundi stadi za ukarimu.,Education
"Ruzuku zinapatikana kwa ajili ya kuanzisha chafu. Tafuta vigezo vya kustahiki, mchakato wa kutuma maombi, na tarehe za mwisho kutoka SMEA.",Agriculture
Shule zote zaweka CCTV + kuajiri walinzi ifikapo Desemba 31 – Maagizo ya Wizara au tutalazimika kufungwa!,Education
Vyuo vikuu vinahimizwa kutengeneza na kutumia Rasilimali Huria za Elimu (OER) kwa ajili ya upatikanaji mpana wa vifaa vya kujifunzia.,Education
"Wakati huo huo, uchaguzi huwaruhusu raia kuunganisha maslahi yao ili kuwataka wale wanaotafuta ofisi kushughulikia masuala yanayohusiana na ustawi wa kiuchumi, kijamii na kitamaduni, pamoja na amani na usalama.",Governance
Baadhi ya jamii bado zinafuata mila hatari zinazowahusisha watoto. Ripoti visa kama hivyo kwa mamlaka mara moja.,Security
"Programu ya elimu ya mpiga kura bila malipo imezinduliwa — ' — "" skani msimbo wa QR darasani mwako leo.",Education
Wakazi wanashauriwa kuthibitisha kwa mujibu wa maagizo ya serikali.,Governance
Wakazi wa Laikipia wahimizwa kujiunga na NHIF ili kuepuka kuomba msamaha wa hospitali,Governance
"Chanja mtoto wako kabla ya kufungua tena Januari 6 — ' — "" chanjo ya polio na surua lazima!",Education
Kenya inakuza hatua za kudhibiti magonjwa kwa ajili ya afya ya mifugo.,Agriculture
"Ufikiaji wa soko, unaoathiriwa na miundombinu ya usafiri, una jukumu muhimu katika kukuza usalama wa chakula, tija, mabadiliko ya mapato, na bei ya chakula ...",Agriculture
Karibu nyote! Waandikishe wanafunzi wakimbizi katika shule za mitaa.,Education
Nyenzo za bure za marekebisho zimepakiwa kwa watahiniwa wa KCPE na KCSE.,Education
itaimarisha ulinzi wa wakulima dhidi ya unyonyaji na madalali kupitia vifungashio na pia kutoa miundombinu muhimu kwa ajili ya upatikanaji wa soko.,Agriculture
"Wanafunzi wenye mahitaji maalum: Tuma maombi ya ruzuku ya kila mwaka ya Ksh 50,000 kabla ya Desemba 15.",Education
"Sheria iko wazi kabisa, ni lazima tukumbatie kila kipengele cha ubinadamu katika utumishi wa umma, ikiwa ni pamoja na ushirikishwaji kamili na ushiriki wa watu wenye ulemavu, Dkt. Kiprono alisema.",Governance
"Anzisha mfumo wa hydroponic usiotumia udongo ili kukuza viazi vitamu kwa ufanisi kwa kutumia maji na nafasi kidogo, bora kwa kilimo cha mijini au kilimo cha ndani.",Agriculture
Hifadhi nambari za dharura kwenye simu yako.,Security
"Uchafuzi wa viwandani huwadhuru wanyama. Ripoti utupaji taka, uzio mbali na maeneo yaliyochafuliwa, na jaribu maji.",Security
"Walezi wanapaswa kufuata ratiba ya kitaifa ya chanjo ili kuwalinda watoto dhidi ya magonjwa hatari kama vile surua, polio, na kifua kikuu.",Health
Serikali inaelezea makosa yaliyoainishwa kama ugaidi chini ya Sheria ya Kuzuia Ugaidi na inahimiza uelewa wa umma kuhusu majukumu ya kisheria.,Security
Vijana wanashauriwa kukataa propaganda za alshabaab ili kuepuka kifo cha mapema au vifungo hivyo vikali vya jela.,Security
"IEBC itatoa kadi za wapiga kura milioni 1 shuleni wiki ijayo ""kuwa tayari!",Education
"KUCCPS ilifungua lango lake kwa watahiniwa wa KCSE wa 2020 kutuma maombi ya kozi za stashahada na cheti cha TVET huku tarehe ya mwisho ikiwa Aprili 30, 2021.",Education
Piga picha za vitu vyako vya thamani na uandike nambari za mfululizo kwa ajili ya utambulisho.,Security
Tengeneza masomo ya VR 2021.,Education
Aliwahimiza zaidi umma kuwa sehemu ya mchakato huo kwa kuripoti matukio yoyote ya rushwa au ufisadi kupitia simu husika za dharura.,Governance
Weka milango ya gari imefungwa na madirisha wazi unapoendesha gari katika maeneo yenye hatari kubwa.,Security
"Wakulima wengi hutegemea huduma za kidijitali, hasa zile zinazotolewa kupitia mifumo inayopatikana kupitia simu za mkononi, ili kupata taarifa hii.",Agriculture
Jifunze kuhusu haki za Ulinzi wa Aina za Mimea na jinsi zinavyohimiza uundaji wa aina mpya na zilizoboreshwa za mahindi.,Agriculture
NPS ilionya umma kuhusu tangazo bandia la kuajiri polisi mtandaoni na kuwashauri wanaotafuta kazi kutegemea majukwaa rasmi ya serikali pekee.,Security
Mfumo mpya wa sekta ya haki ulianzishwa ili kuunganisha juhudi za kupambana na ufisadi.,Security
Chunguza mipango ya mikopo iliyoundwa kwa ajili ya upanuzi wa biashara kutoka Benki ya Akiba ya Ofisi ya Posta ya Kenya. Linganisha viwango vya riba na masharti.,Agriculture
"Umwagiliaji wa matone hutoa maji moja kwa moja kwenye mizizi ya mimea, na hivyo kuokoa maji na kuboresha ufanisi kwa mbuzi.",Agriculture
"Tangazo la kampeni ya vyombo vya habari vya kidijitali inayoongozwa na watu wenye ushawishi inayokuza utunzaji binafsi, udhalilishaji, na ufahamu wa simu ya usaidizi katika wiki ya ustawi wa akili.",Health
Fanya shule zipatikane! Weka njia panda kwa wanafunzi wenye ulemavu.,Education
"Tunapokaa nyumbani na kusherehekea sikukuu ya Pasaka, tunakumbushwa kuhusu afya yetu ya akili. Kuwa makini na kile unachotumia kama taarifa wakati huu wa matatizo, kuwa makini na afya yako na ya wengine. Shiriki upendo, si hofu na hofu.",Health
Panua kozi za mtandaoni 2024.,Education
Wizara yatangaza vikao vya uhamasishaji ili kushughulikia upunguzaji wa udumavu na hatua mpya za kuimarisha na kudhibiti.,Health
Weka njia za dharura zikiwa wazi na hazijazuiwa katika maduka na ofisi.,Security
"Uzinduzi wa mwisho: Sera ya elimu jumuishi sasa inashughulikia taasisi zote za TVET ""kila mwanafunzi anakaribishwa!"" kila mwanafunzi anakaribishwa!",Education
IEBC yawahimiza Wakenya kuthibitisha orodha ya wafuasi wa BBI,Governance
"PRWG iliwasihi polisi kuzuia wavamizi waliovaa barakoa wakati wa maandamano, kudumisha udhibiti wa kitaalamu wa umati, na kuhakikisha uwajibikaji kwa utovu wa nidhamu.",Security
Endelea kupata lishe bora! Jiandikishe katika shule zenye programu za kulisha.,Education
Ukaguzi wa shule! Hakikisha kufuata viwango vya usalama wa moto.,Education
Vituo vyote vya afya vya umma nchini Kenya hutoa huduma za matibabu bila malipo kwa waathiriwa wa unyanyasaji wa kijinsia.,Security
Teknolojia ya kuvuta kwa kutumia sumaku ni mbinu inayohusisha kutumia mimea inayofukuza wadudu (silver leaf desmodium) ili kuwafukuza wadudu kutoka kwenye zao kuu na ...,Agriculture
"Tangazo la mfululizo wa mabaraza ya kujifunza ya kaunti yanayosisitiza usaidizi wa kunyonyesha, usafi wa jamii, na elimu ya lishe ya watoto wachanga.",Health
Kuwa macho! Fuata itifaki za usalama shuleni wakati wa tahadhari za ugaidi.,Education
Jenga shule bora! Saidia miradi ya miundombinu katika mikoa ya ASAL.,Education
Jua haki zako! Jifunze kuhusu Katiba ya Kenya shuleni.,Education
Maboresho ya bajeti ya mahakama yataendesha mahakama kiotomatiki na kuharakisha ushughulikiaji wa kesi za ufisadi.,Security
Umeme huua wanyama wanaochunga. Weka fimbo za umeme na epuka kuwafunga wanyama kwenye miti iliyotengwa.,Security
"Wanawake wana jukumu muhimu katika sekta ya maziwa. Jifunze kuhusu programu, rasilimali, na masoko mahususi yanayowalenga wanawake katika kilimo.",Agriculture
"Uhamiaji wa wafugaji unahitaji mipango. Pata vibali, chagua njia salama, na epuka maeneo yenye migogoro.",Security
Fanya ukaguzi wa nishati 2024.,Education
Shule zitaendelea kufungwa kwa mwaka mzima na kufunguliwa tena mwaka wa 2021. Mitihani yote ya kitaifa itakayofanywa mwaka wa 2020 imefutwa ~ Waziri George Magoha,Education
Kukuza baiskeli salama shuleni 2024.,Education
Mwaareganigwe mwensi koenana amang'ana igoro y'obokurumi ase enchera yesimu ya bosa 1551 gose otome rirube riembeo report@integrity.go.ke,Governance
Pata elimu! Waandikishe watoto wafugaji katika shule zinazohamishika.,Education
Wanawake wajawazito wanahitaji kalsiamu kwa mifupa na meno yenye nguvu - kwa wao wenyewe na mtoto.,Health
Miundo ya majaribio kwenye vipimo vya kibiolojia vya maabara na vipimo vya nusu shamba ili kutathmini uwezekano na ufanisi wa mfumo wa mazao wa kusukuma-kuvuta dhidi ya.,Agriculture
"Gavana Dkt. Bii aliwasihi wakazi kuendelea kuwa macho na kutumia huduma za afya za kaunti, hasa wakati wa sherehe na msimu unaoendelea wa sherehe za kuaga mwili.",Governance
"Jinsi Teknolojia ya Kusukuma Mboga Integrated Pull inavyobadilisha kilimo cha kunde Magharibi mwa Kenya. Mradi wa iSPARK, ulioagizwa na Kituo cha Uingereza-CGIAR, ni ...",Agriculture
Shule zinaweza kuwa mahali salama pa elimu ya afya ya akili,Health
Upatikanaji jumuishi wa teknolojia za kidijitali na elimu ni muhimu katika kupunguza ukosefu wa usawa wa kijinsia na kuwawezesha wanawake na wasichana wa vijijini.,Agriculture
MAPATO YA UFISADI EACC YAMkabidhi Rais Mali ya Sh5B zilizopatikana kutokana na mapato ya ufisadi Rais Ruto awahimiza wabunge kupitisha Mswada wa Mgogoro wa Maslahi katika umbo lake la asili,Governance
"Tangazo la umma la kampeni ya kitaifa inayolenga wasagaji wa mchele, unga na mafuta kuzingatia viwango vya urutubishaji wa virutubisho, ikiwa ni pamoja na tuzo kwa waliofanya vyema.",Health
Samba vitabu vya kiada bila malipo kwa wanafunzi wote 2022.,Education
Utafiti wa Chuo Kikuu cha Methodist cha Kenya/IJRISS unaonyesha kwamba polisi jamii inaboresha kwa kiasi kikubwa utoaji wa huduma na uaminifu katika Kaunti ya Nairobi,Security
AP News iliripoti kuhusu kuachiliwa kwa Mwangi kwa dhamana na ukosoaji wa makundi ya haki za binadamu kuhusu matumizi mabaya ya shtaka la ugaidi wakati wa maandamano.,Security
Jifunze jinsi rushwa inavyoathiri huduma na ushiriki katika elimu ya jamii ili kuizuia.,Security
Tengeneza vifaa vya michezo 2021.,Education
Hakikisha wanafunzi wote wanavaa sare na wana vitambulisho kuanzia Januari 6.,Education
Raia wanahimizwa kushiriki katika sherehe hii ya kihistoria ya Siku ya Madaraka inayotarajiwa kufanyika katika Kaunti ya Bungoma kwa mara ya kwanza. - Katibu Mkuu wa Mambo ya Ndani Dkt. Raymond Omollo,Governance
Marathon ya marekebisho ya darasa la 8 ya CBC inaanza saa 4 usiku kila siku jiunge bure kwenye KICD YouTube!,Education
KUCHUNGUZA UADILIFU Rais Kenyatta ahimiza Serikali ya Kitaifa na serikali za kaunti kufanya kazi pamoja ili kushughulikia mabadiliko ya hali ya hewa nchini Kenya,Governance
Panga vilabu vya mijadala 2020.,Education
"Upatikanaji wa soko la bidhaa zinazoingizwa kutoka nje katika soko la Kenya umeimarika tangu mageuzi hayo, na kusababisha ukuaji mkubwa wa uagizaji. Hata hivyo, uwezo wa kuagiza chakula umeongezeka ...",Agriculture
"Mikutano yote ya hadhara, michezo, matukio, mikutano ya kanisa imesimamishwa. Makanisa yanaweza kuwa na ibada mradi tu yana vitakasa mikono. Shule zitaendelea kufunguliwa lakini michezo kati ya shule imefutwa",Health
Jukwaa la kusoma na kuandika lapanuka hadi shule za umma za Kenya.,Education
"Leo, tumerekodi visa vipya 447 chanya kati ya sampuli 3803 na kufikisha jumla ya visa chanya nchini kufikia 8,975. Sampuli zilizojaribiwa nchini sasa zina zaidi ya 200,000.",Health
Wanafunzi wote wa kidato cha 3 lazima wajiandikishe kama wapiga kura wiki hii - hakuna visingizio!,Education
Uchambuzi unabainisha shughuli za kigaidi zinazoendelea katika kaunti zinazopakana na Somalia na unahimiza uzingatiaji wa mapendekezo ya usalama.,Security
"Serikali ilitoa maagizo kuhusu matumizi ya silaha, ikiwa ni pamoja na amri ya kupigana risasi hadi mguu.",Security
Hudhuria mafunzo na warsha za usimamizi dhidi ya rushwa ili kuongeza uelewa na mabadiliko ya tabia,Security
"Elewa umuhimu wa kutumia mbegu zilizoidhinishwa kwa ajili ya chai ili kuhakikisha kuota kwa wingi, usafi wa aina mbalimbali, na uwezo wa kutoa mavuno mengi.",Agriculture
Wawezeshe wanawake! Jiandikishe katika mafunzo ya ufundi stadi kwa wanawake.,Education
NPS ilichapisha Nakala rasmi ya majukumu na matarajio ya polisi jamii ili kuwasaidia wakazi na maafisa kufanya kazi pamoja kwa ufanisi zaidi,Security
KNEC itatoa mafunzo kwa walimu kuhusu zana mpya za tathmini ya kielektroniki kwa ajili ya tathmini endelevu.,Education
Tuma maombi ya ufadhili kwa wanafunzi wenye uhitaji 2022.,Education
"Tumia mbinu ya 'Afya Moja', ukitambua muunganiko wa afya ya binadamu, wanyama, na mazingira, hasa katika kudhibiti magonjwa ya wanyama.",Agriculture
"Elimu Scholarship 2026: Nafasi 9,000 zimefunguliwa – tuma maombi mtandaoni kabla ya Desemba 31.",Education
"Muhtasari wa ensaiklopidia uliandika sababu, vifo, vichocheo vya kiuchumi, na idadi ya kukamatwa kutokana na maandamano ya 2025.",Security
"Wazazi, endeleeni kuwa macho! Lindeni watoto dhidi ya hatari za ujambazi.",Education
Serikali yazindua Taasisi ya Kitaifa ya Afya ya Umma ya Kenya ili kuimarisha kinga dhidi ya magonjwa,Health
Ushiriki wa mshirika wakati wa utunzaji wa ujauzito na baada ya kujifungua huboresha matokeo ya afya ya familia.,Health
