English,Kiswahili,Ekegusii,Domain
TSA system in a clustered approach.  
73. 
This system will consolidate Government cash 
resources into a single account held at the Central 
Bank of Kenya  and sub-Treasury Single Account 
at the commercial banks. The National Treasury in 
this respect, will establish a Treasury Function to 
manage the TSA and TSA-Sub Accounts’ structure 
so that everyday Government financial position is 
known and ascertained. The migration to the TSA 
system commences on 1st July 2024. 
60 
 
 
 
V. 
 RESOURCE ALLOCATIONS  UNDER THE 
BETA  
74. 
Mr. Speaker,  let me now turn to the 
highlights of the Government spending priorities 
in the coming financial year. In light of the 
revenue challenges and significant expenditure 
demands, spending in the FY 2024/25 will focus 
on BETA priorities on five core areas  with the 
highest impact on the economy.   
First, Agricultural Transformation and 
Inclusive Growth 
75. 
Mr. Speaker, the Government focus will be 
on agricultural transformation and inclusive 
growth through the value chains approach. This 
aims at providing adequate and affordable 
working capital to all farmers through cooperative 
societies (the Aggregators)  and deploy modern 
agricultural risk management instruments that 
61 
 
 
 
ensure farming is profitable and income s are 
predictable.  
76. 
In addition, it aims to transform farmers from 
food deficit to surplus producers through input 
finance, subsidies and intensive agricultural 
extension support; raise the productivity of key 
food value chains; reduce dependence on basic 
food imports; revamp  under-performing export 
crops and expand to new high value emerging 
crops; and boost tea value chain through blending 
and branding. 
77. 
Mr. Speaker , to attain food and nutrition 
security, I propose an allocation of Ksh 54.6 
billion for various programs under this sector. 
This includes: Ksh 10.0 billion for the Fertilizer 
Subsidy Programme; Ksh 6.1 billion  for the 
National Agricultural Value Chain Development 
62 
 
 
 
Project; Ksh 2. 5 billion for Emergency Locust 
Response; Ksh 2.4 billion  for the Enable Youth 
and Women in Agriculture; Ksh 747.0 million for 
Small Scale Irrigation and Value Addition Project; 
and Ksh 642.5 million for the Food Security and 
Crop Diversification Project.  
78. 
Mr. Speaker , to improve livestock 
production, I propose : Ksh 2.4 billion for De -
Risking, Inclusion and Value Enhancement of 
Pastoral Economies Programme; Ksh 1.5 billion 
for Livestock Value Chain Support Project; Ksh 
1.5 billion for Kenya Livestock Commercialization 
Programme; and Ksh 192.5 million  for the 
Embryo Transfer Project. I have also proposed 
Ksh 300 million  for the Development Leather 
Industrial Park - Kenanie.  
63 
 
 
 
79. 
Mr. Speaker , to support the growth of the 
blue economy, I  propose a total of Ksh 11.3 
billion to the Blue Economy and Fisheries sub 
sector. This includes : Ksh 3.7 billion  for 
Aquaculture Business Development Project; Ksh 
3.1 billion to the Kenya Marine Fisheries & Socio-
Economic Development Project; Ksh 540 million 
for rehabilitation of Fish Landing Sites; Ksh 695.5 
million for Liwatoni Ultra -Modern Fish Hub; and 
Ksh 600 million for Marine Fish Assessment. 
80. 
Mr. Speaker , to raise agricultural 
productivity and enhance resilience to climate 
change risks in targeted smallholder farming and 
pastoral communities, I propose an allocation of 
Ksh 340 million  Towards Ending Drought 
Emergencies project.  
64 
 
 
 
81. 
Mr. Speaker , to ensure legitimacy of land 
ownership and settle the landless, I propose a sum 
of Ksh 5.5 billion . This allocation will cater for  
Processing and Registration of Title Deeds, 
Settlement of the Landless; Digitization of Land 
Registries; Geo Referencing of Land Parcels; and 
Construction of Land Registries. 
Second, Transforming the Micro, Small and 
Medium Enterprise (MSME) Economy 
82. 
Mr. Speaker, accessibility to affordable credit 
to most Kenyans at the bottom of the pyramid 
remains a challenge .  To address this challenge 
the Government is  proposing an additional 
allocation of Ksh 5.0 billion  to the Financial 
Inclusion ‘Hustlers’ Fund to scale up access to 
credit for households and MSMEs. I also propose 
additional Ksh 200 million  for the Youth 
65 
 
 
 
Enterprise Development Fund; Ksh 162.5 
million for the Centre for Entrepreneurship 
Project; and Ksh 1.9 billion  for Rural Kenya 
Financial Inclusion Facility. 
Third, Housing and Settlement 
83. 
Mr. Speaker, the Government’s commitment 
is to turn the housing challenge into an economic 
opportunity to create quality jobs for the youth 
directly in the construction sector and indirectly 
through the production of building products. This 
will be achieved through among other measures 
facilitating delivery of 200,000 houses per annum 
and enabling low-cost housing mortgages. 
84. 
To continue supporting this initiative, I have 
proposed an allocation of Ksh 92.1 billion for the 
Housing, Urban Development and Public Works. 
This includes: Ksh 8.3 billion  under the Kenya 
66 
 
 
 
Urban Programme; Ksh 3.0 billion  to Kenya 
Mortgage Refinance Company for enhancement of 
the company’s capital as well as for on lending to 
primary mortgage lenders; Ksh 32.5 billion  for 
construction of Affordable Housing Units; Ksh 15 
billion for construction of Social Housing Units; 
and Ksh 14.7 billion  for social and physical 
infrastructure.  
85. 
Mr. Speaker , other proposed allocations to 
the Housing, Urban Development and Public 
Works sector include: Ksh 11.3 billion  for the 
Kenya Informal Settlement Improvement Project 
-Phase II; Ksh 1.0 billion for construction of 
markets; Ksh 1.0 billion  for the National Slum 
Upgrading Programme; Ksh 1.0 billion  for the 
construction of Housing Units for the National 
Police and Kenya Prison; Ksh 496.3 million  for 
67 
 
 
 
construction of foot bridges; and Ksh 444.0 
million targeted to support construction of  
County Headquarters.  
Fourth, Universal Health Coverage 
86. 
Mr. Speaker, the Government is committed 
and determined to realise the constitutional right 
to health by promoting access to quality and 
affordable healthcare th rough the Universal 
Health Coverage Programme. 
87. 
Towards this end, Mr. Speaker , I have 
proposed an allocation of Ksh 127.0 billion to the 
health sector to support various activities and 
programmes. This includes: Ksh 4.2 billion  for 
Universal Health Coverage Coordination and 
Management Unit; Ksh 2.0 billion  for Free 
Maternity Health Care; Ksh 3.6 billion  for the 
Managed Equipment Services; Ksh 861.5 million 
68 
 
 
 
to provide medical cover for the orphans, elderly 
and severely disabled persons in our society: Ksh 
4.6 billion to cater for the Stipend and acquisition 
of Specialized Medical Equipment for Community 
Health Promoters; and Ksh 4.1 billion  for 
Primary Healthcare Fund.  
88. 
Mr. Speaker, to lower cases of HIV/AIDS, 
malaria and tuberculosis, and enhance vaccines 
and immunization programme in the country, I 
have proposed Ksh 28.7 billion  for the Global 
Fund; and Ksh 4.6 billion for Vaccines and 
Immunization Programme, respectively.  
89. 
Mr. Speaker, to enhance early diagnosis and 
management of cancer, and reduce the burden of 
treatment among Kenyans, I have proposed an 
allocation of Ksh 1.1 billion to strengthen Cancer 
Management in Kenyatta National Hospital; and 
69 
 
 
 
Kisii Level 5 Hospitals. I have also proposed Ksh 
2.0 billion  to the Emergencies, Chronic and 
Critical Illness Fund.  
90. 
Mr. Speaker, to improve health service 
delivery, I have proposed   a sum of Ksh 29.7 
billion for Kenyatta National Hospital and Moi 
Teaching and Referral Hospitals. This includes Ksh 
2.6 billion  for the construction of Kenyatta 
National Hospital Burns and Paediatrics Centre. I 
have also proposed: Ksh 5.2 billion  for Kenya 
Medical Supplies Agency; Ksh 2.5 billion for the 
Kenya Medical Research Institute; Ksh 1.0 billion 
for procurement of family planning and 
reproductive health commodities; and Ksh 760 
million for procurement of equipment at the 
National Blood Transfusion Services. Further, to 
strengthen the capacity of medical personnel, I 
70 
 
 
 
have proposed Ksh 3.7 billion for Medical 
Interns; Ksh 406 million  for training of Health 
Personnel; and Ksh 8.6 billion  for the Kenya 
Medical Training Centres. 
Finally, Digital Superhighway and Creative 
Economy 
91. 
Mr. Speaker , investment in digital 
superhighway and creative economy continues to 
play a critical role in enabling the Government 
achieve the objectives of BETA through increased 
productivity and competitiveness.  On the creative 
economy, promotion of music, theatre, graphic 
design, digital animation, fashion and craft, 
among others , continues to  create job 
opportunities for the youth.  
92. 
Mr. Speaker, to support growth in the digital 
superhighway and creative economy, I have 
71 
 
 
 
proposed an allocation of Ksh 16.3 billion to fund 
initiatives in the Information, Communication and 
Technology sector. Specifically, this proposed 
allocation includes: Ksh 1. 1 billion for 
Government Shared Services ; Ksh 704 million 
for Digital Superhighway; Ksh 2.3 billion for the 
Construction of Kenya Advanced Institute of 
Science and Technology at Konza Technopolis;  
Ksh 2.8 billion  for Kenya Digital Economy 
Acceleration Project; and Ksh 2.8 billion  for 
maintenance and rehabilitation of Last Mile County 
Connectivity Network. 
93. 
In order to fast track the development of the 
Konza Technopolis City, I have proposed an 
allocation of Ksh 1.5 billion  for the Horizontal 
Infrastructure Phase I ; and Ksh 5.2 billion for 
Konza Data Centre and Smart City Facilities.  
72 
 
 
 
Other Key Allocation s to Critical Sectors 
Supporting BETA  
Investing in Critical Infrastructure  
94. 
Mr. Speaker,  the Government continue s to 
expand and maintain  critical infrastructure in 
roads, railways, sea and airports to achieve socio-
economic transformation, enhance Kenya’s 
competitiveness and facilitate cross border trade 
and regional integration.  Towards this end, I have 
proposed an allocation of Ksh 193.4 billion for 
development of Roads. This includes: Ksh 86.2 
billion to support construction of roads and 
bridges; Ksh 37.7 billion  for rehabilitation of 
roads; and Ksh 69.5 billion  for road 
maintenance.   
95. 
Mr. Speaker , to expand railway transport 
and associated infrastructure, I have proposed 
73 
 
 
 
Ksh 25.2 billion. I have also proposed Ksh 2.4 
billion for Infrastructure Development at Dongo 
Kundu Special Economic Zone; Ksh 1.0 billion for 
Nairobi Bus Rapid Transport Project; Ksh 316 
million for Promotion of E -Mobility Project; and 
Ksh 239.4 million for the Development of Nairobi 
Railway City. To facilitate movement of goods and 
people in our inland waters, I have proposed 
additional Ksh 200 million  for Acquisition of 
Ferries for Lake Victoria. 
96. 
Mr. Speaker , to scale up production of 
reliable and affordable energy, I have proposed an 
allocation of Ksh 69.7 billion to the energy sub-
sector. This includes : Ksh 27.8 billion  for the 
National Grid System; Ksh 24.0 billion for Rural 
Electrification; Ksh 14.0 billion for development 
of geothermal energy; Ksh 2.2 billion  for 
74 
 
 
 
Alternative Energy Technologies ; and Ksh 920 
million for development of nuclear energy. 
Improving Education Outcomes  
97. 
Mr. Speaker, the Government continue s to 
invest in education to improve education 
outcomes and create a level playing fie ld for all 
children.  
98. 
Mr. Speaker, from this end, I have proposed 
a total allocation of Ksh 656.6 billion  or 27.6 
percent of total expenditures to the Education 
Sector. This includes: Ksh 358.2 billion  to the 
Teachers Service Commission; Ksh 142.3 billion 
for Basic Education; Ksh 128.0 billion for Higher 
Education & Research; and Ksh 30.7 billion  for 
Technical Vocational Education and Training. 
75 
 
 
 
99. 
Mr. Speaker, the allocation to the education 
sector includes: Ksh 9.1 billion  Free Primary 
Education; Ksh 61.9 billion for Free Day 
Secondary Education; Ksh 30.7 billion for Junior 
Secondary School Capitation; and Ksh 5.0 billion 
for examinations fee waiver. In addition, Mr. 
Speaker, I have proposed an allocation of Ksh 
13.4 billion for conversion of 46,000 J unior 
Secondary School interns to Permanent and 
Pensionable terms; Ksh 1.3 billion  for the 
training of teachers on Competency Based 
Curriculum; and Ksh 360.0 million for the Digital 
Literacy Programme and ICT Integration in our 
Secondary Schools.  
100. 
 Mr. Speaker, to support infrastructure 
development and ensure safe learning in our 
schools, I have proposed an allocation of: Ksh 3.2 
76 
 
 
 
billion for Primary and Secondary Schools’ 
infrastructure; Ksh 1 billion  for construction of 
class rooms for Junior Secondary Schools ; and 
Ksh 2.3 billion for construction and equipping of 
Technical Training Institutes and Vocational 
Training Centres. Further, I have proposed Ksh 
11.1 billion  for the Kenya Primary Education 
Equity in Learning Program; Ksh 1.8 billion  for 
Construction of Integrated Resource Centers; and 
Ksh 1.5 billion  for Kenya Secondary Education 
Quality Improvement Project.  
101. 
 Mr. Speaker, other proposed allocations 
to the education sector include: Ksh 1.1 billion  
for the Research, Science, Technology and 
Innovation. 
102. 
 Mr. Speaker , the Government is 
implementing the new funding model for public 
77 
 
 
 
universities and TVET institutions through 
provision of Government scholarship and loans 
apportioned according to student’s needs. The 
new funding framework seeks to offer students 
whose households are at the bottom of the 
pyramid equal opportunity in accessing university 
education as well as technical training. 
103. 
 Towards this end, Mr. Speaker , I have 
proposed an allocation of: Ksh 35.9 billion to the 
Higher Education Loans Board for provision of 
loans to University and TVET students; Ksh 16.9 
billion for Scholarship for University Students; 
and Ksh 7.7 billion  Capitation and Scholarship 
for TVET students. 
Supporting Manufacturing for Job Creation  
104. 
 Mr. Speaker , to further promote local 
industries, I have proposed an allocation of Ksh 
78 
 
 
 
23.7 billion  under various implementing 
Ministries, Departments and Agencies. Out of this, 
Ksh 4.5 billion  will support Establishment of 
County Integrated Agro-Industrial Parks; Ksh 1.9 
billion for the Supporting Access to Finance & 
Enterprise Recovery (SAFER) Project; Ksh 1.1 
billion for construction of Investors Sheds in Athi 
River; Ksh 1.9 billion for establishment of six (6) 
Flagship Export Processing Zones Hubs; Ksh 
440.0 million for the Development of SEZ Textile 
Park in Naivasha; and Ksh 1.0 billion for Kenya 
Jobs Economic Transformation (KJET).  
105. 
 In addition, Mr. Speaker , in order to 
revitalize and maximize the benefits from our cash 
crops, the Government will make further 
investments towards their revival and 
enhancement of output. In this respect, Mr. 
79 
 
 
 
Speaker, I have proposed Ksh 2 .0 billion for 
Coffee Cherry Revolving Fund. This is in addition 
to Ksh 4 billion  allocated in the current fiscal 
year; Ksh 1.5 billion for payment of debts owed 
to sugarcane farmers, arrears to employee and 
maintenance of Cane Testing Units ; Ksh 120 
million for the Cotton Industry Revitalization 
Project; and Ksh 150 million  for Pyrethrum 
Industry Recovery. 
106. 
 Mr. Speaker,  in order to reduce 
overreliance on the importation of edible oils and 
encourage local production and processing, I have 
proposed Ksh 90 million  for the Coconut 
Industry Revitalization Project; Ksh 260 million 
for the National Edible Oil Crops Promotion 
Project; and allocation to the National Agricultural 
80 
 
 
 
Value Chain Development Project, which includes 
support for cashew nut development.  
107. 
 Mr. Speaker, to enhance milk 
processing, I have proposed Ksh 1.5 billion  for 
excess milk mop -up; Ksh 500 million  for 
modernization of KCC milk factories; and Ksh 250 
million for construction of a milk factory in Narok. 
108. 
 Mr. Speaker , to equip our youth with 
essential training and internship opportunities, I 
have proposed an allocation of Ksh 1.3 billion for 
the Kenya Industry and Entrepreneurship Project; 
Ksh 119.9 million for the Construction of 
Industrial Research Laboratories; and Ksh 114.3 
million for Constituency Industrial Development 
Centers. 
81 
 
 
 
Improving Security  
109. 
 Mr. Speaker, enhanced national security 
creates an enabling environment for business to 
thrive while aiding faster economic recovery. In 
this regard, I have proposed an allocation of Ksh 
377.5 billion  to support operations of the 
National Police Service, Defence, the National 
Intelligence Service and Prison Services.  
110. 
 Mr. Speaker , the proposed allocations 
include Ksh 173.1  billion for Defence;  Ksh 
110.6 billion for the National Police Service; Ksh 
46.3 billion for the National Intelligence Service; 
and Ksh 32.7 billion for Prisons Services. I have 
proposed an allocation of Ksh 13.9 billion  to 
cater for leasing of police motor vehicles and the 
Modernization Programme. Mr. Speaker, to step 
up war on crime and enhance support to 
82 
 
 
 
administration of justice, I have proposed Ksh 
918.4 million  to equip the National Forensic 
Laboratory.  
Protecting the Vulnerable Groups 
111. 
 Mr. Speaker, as a caring Government we 
shall continue to protect the vulnerable members 
of our society, I have in this regard proposed an 
allocation of Ksh 31.3 billion for social protection 
and affirmative actions in this budget. Mr. 
Speaker, out of this allocation: Ksh 18.6 billion 
will cater for cash transfers to elderly persons; 
Ksh 7.9 billion  for Orphans and Vulnerable 
Children; and Ksh 1.2 billion  for persons living 
with severe disabilities. 
112. 
 Mr. Speaker , the proposed allocation 
also includes Ksh 1.5 billion  for the Kenya 
Hunger Safety Net Programme ; and Ksh 1.9 
83 
 
 
 
billion for the Kenya Social and Economic 
Inclusion Project. In addition: Ksh 815 million  
will go to the Child Welfare Society of Kenya; Ksh 
400 million for the Presidential Bursary for the 
orphans; Ksh 600.1 million for National Council 
for Persons living with Disabilities; Ksh 100 
million for the National Albinism Support 
Programme; and Ksh 100 million  for the 
National Autism Support Programme.   
Equity, Poverty Reduction, Women and 
Youth Empowerment 
113. 
 Mr. Speaker , the most pressing 
challenge in our country at the moment is lack of 
job opportunities for the youth. This has been 
exacerbated by the multiple shocks that have hit 
our economy. In order to empower the youth and 
support businesses owned by youth and women, I 
84 
 
 
 
have proposed Ksh 89.5 billion for these 
initiatives.  
114. 
 This allocation includes: Ksh 10.4 billion 
for the National Youth Service; Ksh 1.1 billion for 
the Kenya Youth Empowerment Program; Ksh 
200 million  for the Youth Enterprise 
Development Fund; Ksh 162.5 million for Centre 
for Entrepreneurship; Ksh 230 million  for 
establishment of Youth Empowerment Centres; 
and Ksh 2.7 billion to National Youth Opportunity 
Towards Advancement (NYOTA).  In addition , I 
have proposed Ksh 649.8 million to strengthen 
the film industry in Kenya. 
115. 
 Mr. Speaker , the Government is 
committed to ensuring increased income for our 
women, through employment creation and 
supporting women led enterprises. To further 
85 
 
 
 
empower our women, I have proposed Ksh 182.8 
million for the Women Enterprise Fund; and Ksh 
3.5 billion for the National Government 
Affirmative Action Fund. 
116. 
 Mr. Speaker, to promote regional equity, 
reduce poverty and enhance social development, 
I have proposed Ksh 63.0 billion for the National 
Government Constituency Development Fund as 
well as Ksh 8.0 billion for the Equalization Fund 
to finance programmes in identified marginal 
areas. 
Stimulating Tourism Growth, Sports, Culture, 
Recreation and Arts 
117. 
 Mr. Speaker , the Government has 
prioritized expanding the space for creativity, 
including freedom of expression and protection of 
intellectual property rights. The Government will 
86 
 
 
 
also strengthen mainstreaming of arts and culture 
infrastructure and support cultural production and 
the creative economy. We are also cognizant of 
the brand value of Kenyans participating and 
excelling in international sports arena as 
incalculable. 
118. 
 To support Tourism, Sports, Culture and 
recreation, I have proposed an allocation of Ksh 
23.7 billion. This includes an allocation of : Ksh 
16.5 billion for the Sports, Arts and Social 
Development Fund; Ksh 4.9 billion  for the 
Tourism Fund; and Ksh 2.2 billion  for Tourism 
Promotion Fund. 
Environmental Protection, Water and Natural 
Resources 
119. 
 Mr. Speaker , in order to support 
environment and water conservation and respond 
87 
 
 
 
to climate change, I have proposed an allocation 
of Ksh 10.7 billion for Forests Resources 
Conservation and Management; Ksh 1.7 billion  
for Forests Research and Development; Ksh 2.7 
billion for Environment Management and 
Protection; Ksh 5.9 billion for the Kenya 
Financing Locally Led Climate Action Project; Ksh 
1.6 billion for Meteorological Service; and Ksh 
13.1 billion for wildlife security, conservation and 
management. In addition, Mr. Speaker, I have 
proposed Ksh 1.0 billion for wildlife research and 
development; Ksh 1.2 billion for Human Wildlife 
Conflict Compensation; and Ksh 800 million for 
Wildlife Insurance. 
120. 
 Mr. Speaker, to expand access to clean 
and adequate water for domestic and agricultural 
use, I have proposed an allocation of Ksh 36.6 
88 
 
 
 
billion for water and sewerage infrastructure 
development; Ksh 12.5 billion  for water 
resources management; and Ksh 1.9 billion for 
water storage and flood control. In addition, I 
have proposed Ksh 17.8 billion for irrigation and 
land reclamation; and Ksh 1.9 billion  for water 
harvesting and storage for irrigation.  
Improving Governance and Sustaining the 
Fight against Corruption  
121. 
 Mr. Speaker , to enhance good 
governance and scale up fight against corruption, 
I have proposed Ksh 4.2 billion for the Ethics and 
Anti-Corruption Commission; Ksh 4.0 billion for 
the Office of the Director of Public Prosecutions; 
Ksh 6.9 billion to the State Law Office; and Ksh 
8.7 billion for the Office of the Auditor General.  
89 
 
 
 
122. 
 Additionally, Mr. Speaker , to enhance 
the oversight and legislative role of Parliament, I 
propose an allocation of Ksh 44.6 billion  for 
Parliament. 
123. 
 To enable administration of justice, I 
propose an allocation of Ksh 24.7 billion for the 
Judiciary. This includes : Ksh 900 million  for 
construction and refurbishment of Courts ; and 
Ksh 800 million for automation of the Judiciary. 
Allocations to County Governments  
124. 
 Mr. Speaker,  the County Governments 
will receive a proposed allocation of Ksh 400.1 
billion as equitable share in the FY 2024/25. This 
is equivalent to 25.48
%
 of the actual revenues 
raised nationally for the FY 2020/21 which is in 
compliance with Article 203(2) of the Constitution 
of Kenya. 
90 
 
 
 
125. 
 In addition to the equitable share of 
revenue, a further Ksh 44.4 billion has been 
proposed as  additional allocations to County 
Governments. This comprises: i) Ksh 8.76 billion 
from the National Government  share of revenue; 
and ii) Ksh 35. 66 billion from proceeds of 
external loans and grants.  
Equalisation Fund 
126. 
 Mr. Speaker , we have proposed to 
allocate Ksh 8.0 billion to the Equalisation Fund 
being 0.5% of the actual revenues raised 
nationally in FY 2020/21.   
Measures to Enhance County Governments' 
Own Source Revenue 
127. 
 Mr. Speaker,  the National Treasury is 
implementing the Policy supporting the 
enhancement of own source revenue by County 
91 
 
 
 
Governments as we await the enactment of the 
National Rating Bill . This Bill will enable C ounty 
Governments to collect more property rates, 
including the contribution in lieu of Rates.  
128. 
 In addition, Mr. Speaker, a multi-agency 
committee has been formed to manage the rollout 
of the proposed Integrated County Revenue 
Management System in the  47 County 
Governments. This system  will increase 
transparency, accountability and efficiency in 
revenue collection. 
VI. 
 TAXATION MEASURES 
129. 
 Mr. Speaker, I will now turn to tax policy 
measures supporting the FY 2024/25 budget. In 
the course of this year, we embarked on tax policy 
review through a number of tax studies that will 
92 
 
 
 
support the development of a progressive tax 
system.  
130. 
 Mr. Speaker , the objective of these 
reforms is to develop an elaborate tax policy that 
will raise adequate revenue to finance recurrent 
as well as development budgets. For this to 
materialise we intend: 
i. 
 First, to develop diverse methods to enlarge 
the tax base; 
ii. 
 Second, to minimize the tax expenditures 
that amount to Ksh 396.9 billion or 2.9
%
 of 
GDP as of 2022 . Of the Ksh 396.9 billion, 
63.1% is on VAT refunds on zero rated final 
consumer goods; 
iii. 
 Third, to create a tax system that is not only 
predictable to taxpayers but also yields 
predictable revenues to Government; and 
93 
 
 
 
iv. 
 Fourth, to develop a tax system that support 
markets, production , consumption and 
investments. 
131. 
 Mr. Speaker, the FY 2024/25 marks the 
beginning of these reforms through the proposed 
amendments in the various tax laws contained in 
the Finance Bill, 2024.  Mr. Speaker,  these 
reforms are part of the wider tax policy reforms 
contained in the Medium-Term Revenue Strategy 
and I will shortly be providing highlights of these 
reforms. Additionally, Mr. Speaker,  during the 
East African Community (EAC) Pre -Budget 
consultations held in May 2024, the Ministers  
responsible for Finance and Economic Planning in 
the EAC region agreed on customs measures that 
will support and protect industries in the region. 
94 
 
 
 
132. 
 Mr. Speaker, the tax measures proposed 
in the Finance Bill, 2024 and the said custom 
measures are expected to generate an additional 
Ksh 346.7 billion or 1.9
%
 of GDP  to the 
exchequer for the FY 2024/25 budget.  
Custom Duties 
133. 
 Mr. Speaker,  allow me to provide 
highlights of some of the Custom measures  
agreed during the Pre -Budget Consultations with 
EAC Partner States. Mr. Speaker, the Ministers 
agreed on a number of measures for enhancing 
the competitiveness of locally manufactured 
products by allowing stays of application of the 
EAC Common External Tariff  not to change the 
rates and where necessary adopt higher rates of 
duty to encourage local production in EAC . The 
Ministers also agreed on duty remission for raw 
95 
 
 
 
materials and inputs used by local manufacturers 
to facilitate EAC domestic production.  
134. 
 Mr. Speaker , in order to meet local 
demand and enhance food security on key staple 
foods, Kenya was granted an extension of the 
current stay of application to import rice at a duty 
rate of 35
 %
 or USD 200 per metric tonne 
whichever is higher for one year instead of EAC 
CET rate of 75
 %
 or USD 345 per metric tonne  
whichever is higher, and also to import wheat at a 
duty rate of 10
 %
 instead of 35
 %
 for one year 
under the EAC Duty Remission Scheme.  
135. 
 Mr. Speaker, Kenya has strong assembly 
of electronics industry, including mobile phones . 
In order to further open up the ICT sector to more 
investors, Kenya requested for duty remission on 
inputs for manufacture and assembly of Smart 
96 
 
 
 
Tele Communication Devices including mobile 
phones, laptops and tablets . This request was 
granted.  
136. 
 Mr. Speaker , the local assembly of 
automotives continues to facilitate job creation 
with positive ripple effects in other supportive 
sectors especially in the manufacturing of spare 
parts.  In this regard, Kenya has continued to 
develop capacity in the assembly of prime movers, 
road tractors and trailers to meet both local and 
regional demand. In order to safeguard this 
capacity, Kenya was granted a stay of application 
of EAC CET rate of 10 percent, to apply a duty rate 
of 25
%
 for prime movers and 35
%
 for trailers for 
one year. Further, in order to continue supporting 
the assembly of  motorcycles in the region, the 
EAC Ministers in the region agreed to extend the 
97 
 
 
 
duty remission on importation of raw materials for 
the manufacture of parts used in the assembly of 
motorcycles including leaf springs, and wiring 
harness. In addition, the Ministers agreed to 
extend duty remission for completely knocked 
down kits for assembly of motorcycles at the rate 
of 10
%
.    
137. 
 Mr. Speaker, the growth of investments 
in metal and allied sub sector has enhanced the 
capacity to manufacture various iron and steel 
products in the region. To safeguard gains in this 
sub sector, the Ministers agreed to retain a duty 
rate of 35
%
 with the corresponding specific rates 
for imported iron and steel products for a further 
one year.  
138. 
 In order to  promote and protect textile 
and apparel sector which is one of the nine BETA 
98 
 
 
 
value chains prioritized in this budget, Kenya was 
allowed to apply a rate of 25
 %
 on selected fabric 
products with corresponding specific duty rates in 
order to curb under-valuation and under-invoicing 
of imported products. Further, to ensure 
competitiveness of textile products that are 
produced locally in sufficient quantities, Kenya 
was granted a stay of application and will apply a 
higher duty rate of 35
%
.  
139. 
 Mr. Speaker , in order to reduce the 
production cost of animal feeds , Kenya was 
allowed to extend importation of inputs for 
manufacturers of animal feeds duty -free under 
the EAC Duty Remission Scheme.   
140. 
 Mr. Speaker , leather and leather 
products is one of the value chains under BETA. 
Kenya has sufficient supply of hides and skins to 
99 
 
 
 
meet the demand from local manufacturers of 
leather and leather products. In order to promote 
this industry and enhance incomes to our pastoral 
farmers, the Ministers agreed to retain a stay of 
application of import duty on imported leather 
bags at 35
%
 for Kenya.  
141. 
 Mr. Speaker, I have just highlighted a 
few of the customs measures agreed by EAC 
Ministers of Finance, the complete list will be 
gazetted by the EAC Secretariat and will become 
effective starting 1st of July, 2024. 
The Finance Bill, 2024 
142. 
 Mr. Speaker, allow me to highlight key 
tax policy measures proposed in the Finance Bill, 
2024. I will begin with the proposed amendments 
to the Income Tax Act, followed by Value Added 
100 
 
 
 
Tax; Excise Duty Act; Tax Procedures Act; and 
Miscellaneous Fees and Levies Act.  
Amendments to the Income Tax Act 
143. 
 Mr. Speaker , currently, retirement 
benefits are subject to tax. This taxation ceases at 
the age of 65 years. In order to support the retired 
employees, I propose to amend the Income Tax 
Act, to exempt all retirement benefits paid from a 
registered pension fund, registered provident 
fund, registered individual retirement fund of 
National Social Security Fund and the Public 
Pension Scheme, upon attainment of the 
retirement age.    
144. 
 Mr. Speaker, for the individuals that take 
early retirement, this exemption will only apply if 
the individual has contributed to the pension 
101 
 
 
 
schemes for a period of twenty years from the 
date of registration as a member.  
145. 
 Mr. Speaker, in addition, the annual limit 
of pension contribution that is exempt from tax is 
30 percent of the individual income or Ksh 
240,000 whichever is lower. Considering that this 
limit has not been reviewed since 2005 and to 
encourage saving for social securi ty after 
retirement, I propose to increase this limit to Ksh 
360,000 per annum. Further Mr. Speaker , I 
propose to allow as deduction, contributions to a 
post-retirement medical fund, subject to a limit of 
Ksh 10,000 per month.  
This will promote savings 
for post-retirement healthcare needs. 
146. 
 Mr. Speaker , currently, the threshold 
above which withholding tax applies on payments 
for management fees, professional fees, training 
102 
 
 
 
fees, and contractual fees is Ksh 24,000 per 
month. I propose to amend the Income Tax Act, 
to remove this threshold since it creates room for 
tax planning and is a  challenge to tax 
administration.  
147. 
 Mr. Speaker, despite the Income Tax Act 
providing a corporate tax rate of 30%, some tax 
payers pay tax at an effective rate of less than 
15%. This is due to vigorous tax planning and tax 
incentives provided under the Act. To prevent this 
practice, I propose to amend the Income Tax Act 
to introduce a Minimum Top -Up tax payable by a 
multinational group with a consolidated annual 
turnover of EUR 750 million  whose effective 
corporate tax rate is below 15%.  
148. 
 Mr. Speaker, the spectrum license fees 
paid by telecommunication operators are 
103 
 
 
 
currently not tax-deductible creating unfairness in 
the tax system. In this regard, I propose to amend 
the Income Tax Act to allow telecommunications 
network operators to deduct the spectrum 
licenses fees over a period of 10 years. 
149. 
 Mr. Speaker , Advance Pricing 
Agreements have emerged as a valuable tool for 
preventing tax disputes related to transfer pricing 
of cross -border transactions. In this regard,  I 
propose to empower the Commissioner to enter 
into Advance Pricing Agreement with taxpayers 
engaged in transactions with related entities.  
150. 
 Mr. Speaker , to attract international 
financial investors in Kenya and reinforce Kenya’s 
position as a regional financial hub, I propose to 
reduce the rate of capital gains tax , from 15
%
 to 
104 
 
 
 
5
%
, for firms certified by the Nairobi International 
