English,Kiswahili,Ekegusii,Domain,PSA_Probability,Is_PSA
Cabinet for approval by 30th September in each financial year. The approved BROP will 
subsequently be submitted to Parliament. In order to finalize the document, the 
National Treasury is expected by the provisions of the PFM Act to seek views from the 
institutions listed in the PFM Act, the public and any other interested persons or groups 
as specified in the relevant sections of the Act.  In particular, the National Treasury is 
required to seek views of the following: 
 
i. The Commission on Revenue Allocation; 
ii. County Governments; 
iii. Controller of Budget; 
iv. The Parliamentary Service Commission; 
v. The Judicial Service Commission; 
vi. The Public; and 
vii. Any other interested persons or groups. 
 
We have now prepared the draft 2024 Budget Review and Outlook Paper for the MTEF 
FY 202 5/26 - 2027/28 Budget which is available at the National Treasury website 
(www.treasury.go.ke). The purpose of this Public Notice is to invite comments on 
the draft 2024 Budget Review and Outlook Paper to enable finalization of the 
document. 
Please share your comments with the National Treasury by close of business 23rd 
September, 2024 through the email address: brop@treasury.go.ke. 
 
 
 
HON. CPA JOHN MBADI NG’ONGO, EGH 
CABINET SECRETARY/ THE NATIONAL TREASURY & ECONOMIC PLANNING",,,General,0.7705,1
Grade 6 transition after KPSEA results.,Mpito wa Darasa la 6 baada ya matokeo ya KPSEA.,Ogotamboka kwa abana bageredi 6 ekero bakorire nakonyora amaireranerio yamatemwa abo.,Education,0.8058,1
U.S. Embassy renewed its advisory on possible unrest during U.S. primaries and urged heightened vigilance in demonstration-prone areas.,Ubalozi wa Marekani ulirejesha ushauri wake kuhusu uwezekano wa machafuko wakati wa kura za mchujo za Marekani na kuhimiza umakini mkubwa katika maeneo yenye maandamano.,Obobalosi bwa America (U.S. Embassy) aiga Kenya naende yarure ogokurerwa igoro yechiburaburu chingaki chiobochori bwa abarai bwebiam aaria America no kobeka obokongori bwa igoro kegima ase akageire koba nechiburaburu.,Security,0.8445,1
"Everyone has the right to participate in government and public affairs, including by seeking to be elected and to vote in genuinely democratic elections.","Kila mtu ana haki ya kushiriki katika masuala ya serikali na umma, ikiwa ni pamoja na kutafuta kuchaguliwa na kupiga kura katika chaguzi za kidemokrasia za kweli.","Kera omonto nare neribaga riokomanya na koboria buna eserikari egokora emeremo, amo na gochorwa gose goaka ekura ase enchera yekeene.",Governance,0.7982,1
"To date,5,400 householdshave received emergency cash transfers under the drought portfolio.","Kufikia sasa, kaya 5,400 za kunyoa zilipokea uhamishaji wa pesa za dharura chini ya jalada la ukame.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.6361,1
"The drafting of this Sourcebook on Climate-Smart Agriculture, Forestry and Fisheries has been a collaborative effort involving professionals from within several ...","Uandishi wa Kitabu hiki cha Chanzo kuhusu Kilimo, Misitu na Uvuvi Kinachozingatia Hali ya Hewa umekuwa juhudi za ushirikiano zinazohusisha wataalamu kutoka ndani ya ...","Okorika egetabu eke korwa oborai ase oboremi boria bokoremereria rire, Amanani, na Chinswe obeire omoroberio bwokobwaterana na abanyi korwa  bechinsemo ao ao aiga...",Agriculture,0.833,1
Register as a voter today at your nearest public university ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ ID processing is free.,Jiandikishe kama mpiga kura leo katika chuo kikuu cha umma kilicho karibu nawe. Usindikaji wa vitambulisho ni bure.,Erike buna omoaki chikura rero ase egetuo kiambarebare kieyunifasity yeserikari. Konyora ekebande mbosa.,Education,0.9712,1
Lagdera Sub-County Community Health Focal person Issa Hajj sensitizing herders on COVID-19 at Ohiyo water point. He also distributed masks & provided immunization services. #KomeshaCorona @garissacounty2,Msimamizi wa Afya ya Jamii katika Kaunti Ndogo ya Lagdera Issa Hajj akiwahamasisha wafugaji kuhusu COVID-19 katika kituo cha maji cha Ohio. Pia alisambaza barakoa na kutoa huduma za chanjo. #KomeshaCorona @garissacounty2,,Public Health,0.9504,1
Announcement of free school milk program for primary pupils in Migori and Nakuru to improve child nutrition and school attendance.,Tangazo la mpango wa maziwa ya bure kwa wanafunzi wa shule za msingi huko Migori na Nakuru ili kuboresha lishe ya watoto na mahudhurio shuleni.,Okorari gwokoenana amabere abosa ase chisikuru chioboroso ekaunti ya Migori na Nakuru erio komenta okorereta na komenta abana bagosoa chisukuru,Health,0.9513,1
WFP Kenya Country Brief July 2025,Muhtasari wa Nchi wa WFP wa Kenya Julai 2025,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8778,1
Kenya National Examinations Council starts collecting public feedback on the e-assessment system pilot phase.,,Ekembe keria ekenene getenerete amatemwa (KNEC) gichakire gorigia komanya buna abanto bari baikeretwe bakogeteba igoro  yebikoreri biegechiditari bikorena amatemwa abana.,Education,0.9319,1
KICD publishes new digital teaching aids specifically designed for Early Childhood Development Education.,,Ekeombe keria getenerete buna amasomo akorosigwa (KICD)  nkorwa kere ebento ebiyia biegedichitari gokonya amasomo yabana benasari.,Education,0.6573,1
Ruto urges Wundanyi residents to register under SHA,,Ruto obaganirie abamenyi ba Wundanyi kwerikia ase omoroberio  bwobobwenia bwa abanto bonsi SHA.,Governance,0.9294,1
Find the nearest aggregation points where buyers collect tea in bulk. This can reduce transport costs and improve market access for smallholder producers.,Tafuta sehemu zilizo karibu zaidi za kukusanya chai ambapo wanunuzi hukusanya chai kwa wingi. Hii inaweza kupunguza gharama za usafiri na kuboresha upatikanaji wa soko kwa wazalishaji wadogo.,Rigia komanya ase chiafukado chiria chachoririrwe na goatananwa as chigotoka  na kogorwa ase ebirengo ebi'nene. Eye nekonnabiogo kwororobia engencho ya oogosoa echiro ase abaremi bebirengo ebike.,Agriculture,0.8314,1
Follow correct procedures when your vehicle breaks down.,Fuata taratibu sahihi gari lako linapoharibika.,Bwatia emeroberio emeronge ekero erori yao yasarekeire nchera.,Security,0.7538,1
Brief: El Niño floods worsen humanitarian needs in Kenya (March 2024),Kwa kifupi: Mafuriko ya El Niño yanazidisha mahitaji ya kibinadamu nchini Kenya (Machi 2024),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8603,1
A new study has confirmed that cultivating transgenic Pod Borer Resistant (PBR) Cowpea does not harm ecological species or disrupt biodiversity.,Utafiti mpya umethibitisha kwamba kukuza kunde zenye vimelea sugu kwa vimelea vya Pod Borer (PBR) havidhuru spishi za ikolojia au kuharibu bayoanuwai.,"Obokongoria bwa bwango iga bwaorokirie ng'a korema ekemeri kia transgenic Pod Borer Provenant (PBR), Cowpe mbori gosaria ebire bitoonchokanaine buna emete gose ching'iti.",Agriculture,0.5201,0
"Media Advisory: UN Deputy Humanitarian chief to visit Southern, Eastern Africa","Ushauri wa Vyombo vya Habari: Naibu Mkuu wa Umoja wa Mataifa wa Misaada ya Kibinadamu kutembelea Kusini, Afrika Mashariki",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.5648,0
Inspiring a Change: JRS students advocate for gender equality,Kuhamasisha Mabadiliko: Wanafunzi wa JRS wanatetea usawa wa kijinsia,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8154,1
Egesa Career Clinic: Egesa FM presenters conduct sensitization programme in Kisii Presenters urged residents urged to embrace technical courses,Kliniki ya Kazi ya Egesa: Watangazaji wa Egesa FM waendesha programu ya uhamasishaji huko Kisii Watangazaji waliwasihi wakazi kukumbatia kozi za kiufundi,obosemia bwobomanyi bwe'gesa: abararia begesa fm mbatwqre omoroberio bwobosemia bwobomanyi ase echera yogotiotereria abamenyi bagusii gosomera obobundi.,Governance,0.8986,1
NCTC partnered with NGOs to educate youth on digital extremist threats and strategies to resist online radicalization.,,Ekeombe keria ekenene gekorwania obokebago bwokoruta chipomu (NCTC) nkiabwatanete NGOs gosomia abasae igoro gosarigwa ebirengererio goetera chinchera chiegedichitari amo nechira kwanga ogosarigwa ebirengererio goetera eintaneti and.,Security,0.8373,1
"Announcement that faltering of the mind due to use of drinks that affect the body, care at work places and continuing awareness to media people by use of…???",,"Okoraria ng'a ogoonchorekana kwebingererio, ogotimia ebinyugwa bigotindia, oborendi chinsemo chia emeremo, na amaegerio yokogendereria ase abariki gotumia amarago aya Ekeombe Ekenene Giokorika abanto (FKE)",Health,0.8809,1
"Women have a large stake in tea farming. Learn on diverse programmes, requirements, and markets that resonates with women.",,"Abang'ina mbare nensemo enene ase oboremi bwechae. Egera igoro yemeroberio ao ao, ebiganieirie, nechiro erengete abaremi abang'ina.",Agriculture,0.8383,1
"Announcement of Minitry of Health, private sector, NGOs pledge to strengthen school meals, market nutrition, and community gardens.","Tangazo la Wizara ya Afya, sekta binafsi, mashirika yasiyo ya kiserikali yaahidi kuimarisha milo shuleni, lishe ya sokoni, na bustani za jamii.","Okoraria korwa ewizara ya obochenu, chisegita chia abanyene, na ebiombe bitari ebieserekari barure chiira gotingia chindagera chisukuru, okoragera ase chichiro na okogonkia nase chinka",Health,0.9458,1
ACAPS Thematic Report - Kenya: Impact of drought on the arid and semi-arid regions (29 March 2022),Ripoti ya Mada ya ACPS - Kenya: Athari za ukame kwenye maeneo kame na nusu kame (29 Machi 2022),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8868,1
"Fuel your body, feed your mind!
What you eat, how you move, and what you avoid directly shapes your mental health.

Choose clean eating, stay active, and say NO to harmful substances.

Your future self will thank you!","Tia nguvu mwili wako, lisha akili yako!

Kile unachokula, jinsi unavyotembea, na kile unachoepuka huunda moja kwa moja afya yako ya akili.

Chagua kula safi, endelea kufanya mazoezi, na useme HAPANA kwa vitu vyenye madhara.

Utu wako wa baadaye utakushukuru!",N/A - Pending Fine-Tuned Model Inference,Health,0.8875,1
This calls for proper prioritization to ensure that our expenditures goes to the most impactful programmes with the highest welfare benefits to Kenya ns.,,,General,0.8598,1
"The Head of State said she was speaking both as a leader and as a mother to the nation, asking Tanzanians to prioritise dialogue and peace over chaos Ã¢ ‚¬Å“I sincerely urge my fellow citizens to uphold peace and tranquillity.","Mkuu wa Nchi alisema alikuwa akizungumza kama kiongozi na kama mama wa taifa, akiwaomba Watanzania kuweka kipaumbele mazungumzo na amani badala ya machafuko - ""Ninawasihi kwa dhati raia wenzangu kudumisha amani na utulivu.""","The Head of State said she was speaking both as a leader and as a mother to the nation, asking Tanzanians to prioritise dialogue and peace over chaos Ã¢ ‚¬Å“I sincerely urge my fellow citizens to uphold peace and tranquillity.",Governance,0.5518,0
"Take a deep breath and relax. Listen to your body. If youre really tired, give yourself time to sleep. Without good sleep, our mental health suffers and our concentration goes downhill. Sometimes the world can wait.","Vuta pumzi ndefu na upumzike. Sikiliza mwili wako. Ikiwa umechoka sana, jipe ​​muda wa kulala. Bila usingizi mzuri, afya yetu ya akili huharibika na umakini wetu hupungua. Wakati mwingine ulimwengu unaweza kusubiri.","Ng'usa omoeso omana gotoerera.Tegerera omobere oo.Onye kwarosire mono,twara chingaki chi’ogotimoka. Kero totarikonyora chitoro boikeranu, ebirengererio biato nigo bigochandeka. Ebirengererio biato nigo bikogenda inse. Chinsa chinde tiga ebinto binde biratimoka.",Health,0.7264,1
The United Kingdom advises visitors to remain vigilant due to terrorism threats targeting public areas.,Uingereza inawashauri wageni kuendelea kuwa macho kutokana na vitisho vya ugaidi vinavyolenga maeneo ya umma.,Obomo bwa Boraya (United Kingdom) bwasemirwe abare bakobatarera koba maiso ase engencho yobwoba bwobokebago bwokoruta chipomu borengete ase abanto abange bare.,Security,0.8952,1
Kenya EHRP 2009 Project - Child Protection,,,General,0.8961,1
"ASAL Humanitarian Network MPCT New Beneficiaries Baseline Assessment, Turkana County (February 2022)","Mtandao wa Kibinadamu wa ASAL MPCT Tathmini ya Msingi ya Walengwa Wapya, Kaunti ya Turkana (Februari 2022)",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.7033,1
More than 10000 family farmers in Latin America will soon have access to digital solutions to overcome the obstacles they face in accessing markets and ...,Zaidi ya wakulima 10000 wa familia huko Amerika Kusini hivi karibuni watapata suluhisho za kidijitali ili kushinda vikwazo wanavyokabiliana navyo katika kufikia masoko na ...,"Abaremi abange begefamiria goetania 10,000 fense ya Latin America bwango iga mbabe bagoikera omoroberio bwegechidichitari erio kobua ebigocha bibarigereretie  ase ogosoa chichiro na...",Agriculture,0.8128,1
Upgrade labs in secondary schools 2024.,Boresha maabara katika shule za upili 2024.,Agacha chinyomba chiobosayansi  xchinyia ase chisukuru chisekenderi omwaka 2024.,Education,0.8844,1
The public is advised to exercise restrain and is explicitly cautioned against any attempts to enter without authorisation or break into JKIA as it is a protected zone under the laws of Kenya.,Umma unashauriwa kujizuia na unaonywa waziwazi dhidi ya majaribio yoyote ya kuingia bila idhini au kuingia JKIA kwani ni eneo lililolindwa chini ya sheria za Kenya.,Abanto basemiigwe gwetanga koba nobororo na gokurerwa kegima ng'a tibatema kobuna egeita na gosoa nechinguru egetii kene giechindege gia Jomo Kennyatta International Airport (JKIA) egekogera aiga naase arendire nerichiko ria Kenya.,Security,0.8987,1
. @KenyaAirports continues to disinfect and sanitise our airports in the ongoing fight against the spread of #COVID19 #KomeshaCorona,. @KenyaAirports inaendelea kuua na kuvisafisha viwanja vyetu vya ndege katika vita vinavyoendelea dhidi ya kuenea kwa #COVID19 #KomeshaCorona,,Public Health,0.5644,0
"Special announcement to increase foods rich in folic for more than 160,000 young people",,"Okoraria kwa bene gwokomenta chindagera chibwate foliki ase abasae goetani 160,000",Health,0.6565,1
Tana River County: Drought Early Warning Bulletin for May 2023,Kaunti ya Tana River: Taarifa ya Onyo la Mapema kuhusu Ukame la Mei 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8556,1
"""People have been sent 'Safaricom refund claim' links that look like the real site. Safaricom does not issue refunds without an official claim form.""","""Watu wametumiwa viungo vya 'Safaricom refund claim' vinavyofanana na tovuti halisi. Safaricom haitoi marejesho bila fomu rasmi ya madai.""","""Abanto batomeirwe amang'ana koiranigwa chibesa ase bare ase egsio ekebe korwa safaricom. 'Ogosabwa oko koirania chibesa nigo kogokorwa ase enchera omonto okonayra kwegena. Safaricom teri gosaba koiranigwa gwechibesa otaichoretie efomu yabeene.""",Security,0.3888,0
"For More information, call @MoH_DRMH for free on 0800 722 022 #WCD2020Ke #WCD2020 #Tujulishane","Kwa maelezo zaidi, piga @MoH_DRMH bila malipo kwa 0800 722 022 #WCD2020Ke #WCD2020 #Tujulishane",,Public Health,0.7979,1
Join public awareness events emphasizing the impact of corruption on human dignity,Jiunge na matukio ya uhamasishaji umma yanayosisitiza athari za ufisadi kwa utu wa binadamu,Ikerana ase okonyorana nabande kobamanyia obobe bwobokorekanu korngana namasikani ekemwanyabanto.,Security,0.9145,1
Hilly areas like Murang'a are prone to landslides. Avoid building on steep slopes and heed evacuation warnings during heavy rains.,Maeneo yenye vilima kama Murang'a yanakabiliwa na maporomoko ya ardhi. Epuka kujenga kwenye miteremko mikali na zingatia maonyo ya uokoaji wakati wa mvua kubwa.,Chinsemo chimogete iguru buna Murang'a naororo konyora okwanyoka kweriroba.Kabe are nechinyomba chiagachire ase aimogete igoro naende igwera chinchera chigokurera ekero kiembura enene.,Security,0.8394,1
Isiolo County: Drought Early Warning Bulletin for October 2022,Kaunti ya Isiolo: Taarifa ya Onyo la Mapema kuhusu Ukame la Oktoba 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.856,1
"Let's work with Police to arrest criminals hiding in #Maandamano to steal, destroy properties and commit other crimes.","Tushirikiane na Polisi kuwakamata wahalifu waliojificha katika #Maandamano ili kuiba, kuharibu mali na kufanya uhalifu mwingine.","Tiga tokore emeremo amo nabasikari kobwata ebibago biebisete ase amaanadamano erio koiba, dgosaria ebinto kobakora abande koba ebibago.",Security,0.6989,1
"ASAL Humanitarian Network MPCT New Beneficiaries Endline Assessment, Mandera County, March 2022","Tathmini ya Mwisho ya Mtandao wa Kibinadamu wa ASAL MPCT Wafaidika Wapya, Kaunti ya Mandera, Machi 2022",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.6999,1
"Good leadership is essential among farming groupings. Leadership skills, transparency, teamwork and financial prudence .",,"Oborai obuya nobwengencho enene as ekeombe kioboremi. Ayagosemia as oborai, oboasioku, okobwaterana na abaremi and obokoreri bwechibesa",Agriculture,0.8093,1
"On Tuesday, November 30, President Uhuru Kenyatta held a State of the Nation Address in Parliament. Read full speech by the Head of State below: Good Afternoon, It is my distinct honour and high privi...",,"Rituko rietichi kabere, chitariki 30 omotienyi 11, Omoraisi Ohuru Kenyatta akaba negeikaranso ikuru gokwanera buna ense yagendererete goetera enkwana yaye ase Bunge. Soma enkwana engima yomonene bwense aiga inse: Bwairire Buya, Nabogoirie ribaga eri riabeene ase amasikani...",Education,0.266,0
23 July 2026 | News Release United against polio: Zimbabwe strengthens regional immunity through synchronized vaccination,23 Julai 2026 | Taarifa ya Habari Umoja dhidi ya polio: Zimbabwe inaimarisha kinga ya kikanda kupitia chanjo iliyosawazishwa,,Health,0.5053,0
"Transformative farming in Kenya is aimed at long-term solution effects between environment and humanity and their complimentary to support livelihood. As climate change keeps affecting farming, when government focuses on bumper harvests to export to foreign markets, kenyan farmers have tried to conduct farming that doesn't affect the environment thus fortify farming and sustainable harvest.",,"Oboremi bwokwegendereria aiga Kenya nigo borengete goikerania omoroberio omotanbe korora buna oborendi gati yamasingira na mwanyabanto bikorendana erio obogima kogenderera gwense yaito €™s ensemo yoboremi. Buna ogonchoka kwerire rire kogenderete kobeka echando ase oboremi nechingencho chioboremi, ekero eserikari yaigo erengete rigesa rinene ase okoonia gochia ecchiro ya isiko, abaremi aiga Kenya mbatemete gokora oboremi bwabo ase enchera eria erendete amasingira erio gokongia oboremi bwabo nerigesa amatuko onsi.",Agriculture,0.867,1
"Kenya Price Bulletin, November 2023","Taarifa ya Bei ya Kenya, Novemba 2023",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8695,1
"Director Voter Education, Partnerships and Communication Rasi Masudi urges participants to cover all activities of the electoral process in a workshop to review Frequently Asked Questions and Voter Education Guide","Mkurugenzi Elimu ya Mpiga Kura, Ushirikiano na Mawasiliano Rasi Masudi anawasihi washiriki kuangazia shughuli zote za mchakato wa uchaguzi katika warsha ili kupitia Maswali Yanayoulizwa Mara kwa Mara na Mwongozo wa Elimu ya Mpiga Kura","Omorai omonene bwamasomo yoobwaki chikura, abagisangio bande na oboereri chinkwana Rasi Masudi yasegetire abamenyi bonsi kobwatia emeremo yonsi yobochori ase ebigambero na korigereria amabori akoborigwa botambe na amaegerio yechisemi chibochori",Governance,0.8558,1
"Announcement of launch of “ENOUGH” campaign which aims to end child hunger by expanding school meals, climate-smart agriculture, and nutrition advocacy.","Tangazo la uzinduzi wa kampeni ya “INATOSHA” ambayo inalenga kukomesha njaa ya watoto kwa kupanua milo shuleni, kilimo kinachozingatia hali ya hewa, na utetezi wa lishe.","Okoraria omochakano bw' ekampeini "" ENGIKERANU"" erengete gokanya enchara ase abana chisukuru, oboremi boigwanaine ne rire na oboegereri chindagera",Health,0.9386,1
Increase access and availability of quality seeds through the accreditation of seed companies and agro-input suppliers. â€¢ Harmonise regional technology release ...,Kuongeza upatikanaji na upatikanaji wa mbegu bora kupitia uidhinishaji wa makampuni ya mbegu na wauzaji wa pembejeo za kilimo. â€¢ Kuunganisha utoaji wa teknolojia ya kikanda ...,Menta goikera na okonyorekana kwembusuro engiya goetera ebiombe biria biitabire ase okoonia embusuro namoyo gose amariogo oboremi na baria bakobionia angennechinka chiaito. â€¢ Bwatania tekinorochia yorogongo yarure...,Agriculture,0.6742,1
Avoid driving through flooded roads. Just 30cm of water can sweep away vehicles. Use alternative routes.,Epuka kuendesha gari kupitia barabara zilizojaa maji. Maji ya sentimita 30 pekee yanaweza kufyonza magari. Tumia njia mbadala.,Renda togendia egari ase emegeko yamache gose epara etubire namache.Ekerengo kia amache 30cm nabo kerayengeyie na gokorora erori.Etera chinchera ching'ao.,Security,0.8272,1
"To date, the KRCS national drought portfolio reports63,024 peoplehave been supported with safe water alongside hygiene promotion through provision of water treatment chemicals such as PUR and aqua tabs.","Kufikia sasa, ripoti ya jalada la kitaifa la ukame la KRCS linaripoti watu 63,024 wamesaidiwa na maji salama pamoja na uhamasishaji wa usafi kupitia utoaji wa kemikali za kutibu maji kama vile PUR na vichupo vya majini.",N/A - Pending Fine-Tuned Model Inference,Health,0.8151,1
Navigating Cultural and Traditional Barriers in Qualitative Data Collection,Kuelekeza Vizuizi vya Kitamaduni na Kijadi katika Ukusanyaji wa Data Bora,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.6068,1
"Clean schools, healthy students! Maintain sanitation to stop cholera.","Safisha shule, wanafunzi wenye afya njema! Dumisha usafi wa mazingira ili kuzuia kipindupindu.","Sibia chisukuru, abana bare na afia engiya! Renda obochenu bwechicoo na amache gotanga endwari yogosaa.",Education,0.9104,1
Garissa County: Drought Early Warning Bulletin for September 2023,Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8755,1
Explore loan schemes tailored for expansion of enterprise from Cooperative Bank. Compare interest rates and terms.,Chunguza mipango ya mikopo iliyoundwa kwa ajili ya upanuzi wa biashara kutoka Benki ya Ushirika. Linganisha viwango vya riba na masharti.,Rigia komanya igor yechironi echio chirengete gokinia oboonchoreria bwao korwa ebengi ya Cooperative. Renga amagori na efaida eria ogoakana na amachiko arengete ebiasara ebio.,Agriculture,0.6381,1
Use crossing points and traffic lights where available.,Tumia sehemu za kuingilia na taa za trafiki inapopatikana.,Tumia gotamboka epara aase ebimanyererio bibekire gose chitochi chikogotebia ekero obwenerete gotamboka epara.,Security,0.7758,1
Kenya confirms three new Mpox cases in Busia; Health Ministry warns of a high risk of importing Marburg and Ebola viruses from neighboring Tanzania and Sudan.,Kenya yathibitisha visa vitatu vipya vya Mpox huko Busia; Wizara ya Afya yaonya kuhusu hatari kubwa ya kuagiza virusi vya Marburg na Ebola kutoka nchi jirani za Tanzania na Sudan.,Kenya yaenekirie abanto batato gotwara oborwaire bwa MPOX ase ekaunti ya Busia. Ewizara ya Afya yakureire okonyarekana gw'okwambokeria ebirusi bya Marburg na Ebola korwa Chinse jirani chia Tanzania na Sudan.,Health,0.8725,1
Poultry farmers in the US adopt Marekâ€™s disease vaccines to protect chickens from viral infections.,Wafugaji wa kuku nchini Marekani wanatumia chanjo za ugonjwa wa Marek ili kuwalinda kuku kutokana na maambukizi ya virusi.,Abatugi bechingoko ba US babwatire oboremi â€™s kobeta chingoko chisindani nigo kogotanga amarwaire yembeo ao ao ase chingoko.,Agriculture,0.8771,1
Kilifi County: Drought Early Warning Bulletin for October 2022,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8349,1
Meru (Meru-North) County: Drought Early Warning Bulletin for February 2023,Kaunti ya Meru (Meru-Kaskazini): Taarifa ya Onyo la Mapema kuhusu Ukame Februari 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8317,1
Teachers Service Commission launches digital skills bootcamp targeted at in-service teachers with limited ICT knowledge.,,Ekeombe keria ekenene kia abarimu yaansire omoroberio  obeene bwokwegeria abarimu gosomia amasomo egedichitari gose ochusiyegetekinorochia orengete abarimu baria bare emeremo korende bare nobomanyi oboke ase okoererania amangana (ICT).,Education,0.8325,1
ODM urges Court to prioritize IEBC selection panel case,,ODM yaganirie ekegambero koa ribaga rieritang'ani ekina kerengete ogochorwa ase ekeombe gietenenerete giechimbebe nobochori.,Governance,0.7457,1
All teachers get free medical cover upgrade ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ NHIF to full package Jan 1!,"Walimu wote wanapata uboreshaji wa bima ya matibabu bila malipo ""NHIF"" hadi kifurushi kamili Januari 1!",abarimu bonsi banyore okomentwa gwechibesa chiobobwenia bwa NHIF chionsi amo nyuma yetariki eyemo yomotienyi bweritangani,Education,0.936,1
How the Climate Crisis Threatens Farming in Rural Kenya,Jinsi Mgogoro wa Hali ya Hewa Unavyotishia Kilimo Vijijini Kenya,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9106,1
"UNDP feature on community policing, Nyumba Kumi and Youth liaison programs in Kenya","Makala ya UNDP kuhusu polisi jamii, Nyumba Kumi na programu za uhusiano na vijana nchini Kenya","Obomo bwechinse chikwegambera nemeroberio yamagenderero (UNDP) nkworokereria ere igoro yabarendi boborendi (Community Policing), Nyumba Kumi amo nemeroberio yogoikera abasae (Youth liaison programs) aiga Kenya",Security,0.9549,1
Announcement of AI-based nutrition and wellness advice service tailored for elderly citizens and caregivers.,Tangazo la huduma ya ushauri wa lishe na ustawi inayotegemea akili bandia iliyoundwa kwa ajili ya wazee na walezi.,Okoraria kwobokoreri bwechindagera na okogenderera na obomanyi kebonde yarosigwa ase 'ngecho ya abagaka na abareri,Health,0.9011,1
"Adopt the 'One Health' approach recognizing the link between human, animal, and environmental health in managing foodborne illnesses.","Tumia mbinu ya 'Afya Moja' ukitambua uhusiano kati ya afya ya binadamu, wanyama, na mazingira katika kudhibiti magonjwa yanayosababishwa na chakula.","Beegie enchera eyemo yobochenu eyi ekorenda oboamate gati ya mwanyabanto, etugo amo nobochenu bwebitoonchokanante buna enchera eyemo yogotanga amarwaire akorwa ase chindagera chitari chingiya as omobere.",Agriculture,0.8053,1
Garissa County: Drought Early Warning Bulletin for May 2023,Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Mei 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8899,1
"Increasingly, the example by leaders like him who have vaccinated, wears masks and insists on keeping distance rubs off on the 14,000-members of community.","Kwa kuongezeka, mfano wa viongozi kama yeye ambao wamechanja, huvaa vinyago na kusisitiza kuwaweka mbali watu 14,000 wa jamii.",,Health,0.7013,1
Announcement that nfestigation on poor eating habits be carried by community health workers to promote mental health,,"Okoraria ng'a oboringori bwokoragera bobe koraagwa na abanyagitari banka, gosegeta obochenu bwobongo",Health,0.9345,1
Prudent agriculture avoiding climate damage as one way of addressing climate change. Grassland or nappier planted to feed livestock and large trucks of national parks have great imapct in harnessing climate change through compost manure and grass at a great deal..,,"Oboremi obuya borengete gokeania ogotasareka kwerire buna enchera eyomo yogotanga ayio. A Ekerengo kiemegondo yobonyanzi bogosimekwa korisia etugo, nemegondo eria emenene yechingiti chiorosana nere nokobua gwokobwata embeo eria egosaria rire goetera riboba ritobu na obonyansi koyebwata as ekerengo kia igor mono korengana ...",Agriculture,0.6915,1
"The cost of inaction: The cost of not realizing the HIV and sexual and reproductive health and rights of young people in Kenya, Rwanda and Uganda","Gharama ya kutochukua hatua: Gharama ya kutotambua VVU na afya ya ngono na uzazi na haki za vijana nchini Kenya, Rwanda na Uganda.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.816,1
KICD announces partnerships with publishers for the development and distribution of digital textbooks for CBC.,,Ekeombe keria getenerete buna amasomo akorosigwa (KICD) kiararirie okobwaterana amo nabariki ebitabu korika nakobaga ebitabi biegedichitari biogosoma bia CBC.,Education,0.8201,1
Submission to the UN Special Rapporteur on the Human Rights of Internally Displaced Persons - Climate Change and Internal Displacement,Kuwasilisha kwa Mwandishi Maalum wa Umoja wa Mataifa kuhusu Haki za Kibinadamu za Watu Waliohamishwa Ndani - Mabadiliko ya Tabianchi na Uhamisho wa Ndani.,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.7614,1
"Timely donor investment now can prevent further deterioration, protect livelihoods, and save lives reducing the far higher costs of emergency escalation later in the year if action is delayed.","Uwekezaji wa wafadhili kwa wakati unaofaa sasa unaweza kuzuia kuzorota zaidi, kulinda maisha, na kuokoa maisha kwa kupunguza gharama kubwa zaidi za ongezeko la dharura baadaye mwakani ikiwa hatua itachelewa.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.615,1
