English,Domain
Maize price slightly declined from Ksh.,Disaster
93 per kg in July 2025 to KSh.,Disaster
Indicators: The number of children at risk of malnutrition increased from 10.6 percent in July 2025 to 12.2 percent in August 2025.,Disaster
1.1 Rainfall Performance Drier conditions continued to be witnessed across the county during the month under review.,Disaster
"However, this is normal as the month of August normally falls under the JJA dry season.",Disaster
The KMD preliminary long-lead forecast for the October-November-December (OND) 2025 Short Rains season indicates that the County is expected to receive below-average rainfall.,Disaster
Vegetation condition registered a steep decline from June 2025 and has been declining since then as shown in the figure below.,Disaster
2.1 Vegetation Condition Index (VCI3M) Favourable vegetation condition of Normal to Above Normal Vegetation Greenness was recorded in August 2025 as shown in figure 2 below.,Disaster
"However, Ademasajida and Hadado/Adhibohol wards in Wajir West registered moderate vegetation deficit.",Disaster
The vegetation condition is expected to deteriorate in the coming months unless the county receives enhanced rainfall during the 2025 OND short rains season.,Disaster
The depletion was more pronounced in areas within the Pastoral Livelihood Zone.,Disaster
The poor temporal distribution of the 2025 long rains affected the regeneration of pasture.,Disaster
The available pasture is expected to last up to October 2025.,Disaster
No major constraints in access to pasture was noted during the reporting period.,Disaster
"However, bushfire outbreak in Lagbogol ward affected large sway of grazing land.",Disaster
The browse condition remained good to fair across the county.,Disaster
likely to last for more than two months.,Disaster
The poor temporal distribution of the 2025 long rains affected the adequate regeneration of browse.,Disaster
No major constraints reported during the month under review.,Disaster
isolated cases of biting insects in areas with dense browse that forced pastoralists to migrate from such areas.,Disaster
"2.3.1 Sources Majority of households currently get water for domestic and livestock needs primarily from boreholes, water pans and shallow wells.",Disaster
Water availability in open water sources such as water pans has been an issue for Wajir County since 2024 as the enhanced 2023 OND rains destroyed most of the water pans.,Disaster
There has been a marked increase in the number of centres relying on water trucking as their main source of water.,Disaster
2.3.2 Household Access and Utilization The domestic distance to water sources increased from 5km in July 2025 to 7.6 during the month under review.,Disaster
"When compared to the long-term average, the current distance increased by more than 22 percent.",Disaster
This increase in distance could be attributed to drying up of water pans.,Disaster
"When compared to the previous month, the distance to water sources in the month of Aug 2025 increased significantly and stood at 10.6km.",Disaster
"This is attributed to the drying up of water pans, especially in the Pastoral Livelihood Zone.",Disaster
The current distance is almost the same as the long-term average as shown in figure 4.,Disaster
"Frequency of watering livestock species largely remained the same as last month, with no variation across the livelihood zones.",Disaster
3.1.1 Livestock Body Condition The livestock body condition for all species across the livelihood zones ranged between very good to good.,Disaster
The browsers (camels and goats) are in very good body condition while the grazers (sheep and cattle) are in good to very good body condition.,Disaster
The good livestock body condition continues to have a positive impact on the livestock sale value.,Disaster
3.1.2 Livestock Diseases No livestock disease outbreak was reported during the month under review.,Disaster
"However, there are active cases of Contagious caprine pleuropneumonia (CCPP) and Peste des petit ruminants (PPR) reported across the county during the reporting period.",Disaster
There is heightened surveillance for Rift Valley Fever Outbreak (RVF) following the Alert raised by FAO and the Department of Veterinary Services.,Disaster
household per day declined from 2.5litres in July 2025 to 2.2litres in August 2025.,Disaster
"decrese, the current milk production is above the long- term average by around 26 percent.",Disaster
3.2 Rain-Fed Crop Production No meaningful harvest was realized from the crops planted during the 2025 long rains season.,Disaster
Most of the crops planted during the season withered and dried up following the early cessation of the season.,Disaster
Cattle price dropped from Ksh.,Disaster
deteriorating rangeland resources.,Disaster
"However, despite the decline, the current price is still above the long- term average by around 47 percent.",Disaster
"Small Ruminant (Goat price) During the month of August, a medium-size goat went for Ksh.",Disaster
"5,100; which is a slight decrease when compared to the previous month's price of Ksh.",Disaster
attributed to high supply due to school opening.,Disaster
average as shown in figure 7.,Disaster
Camel price There was a slight decline in camel prices from Ksh.,Disaster
"56,000 during the month under review.",Disaster
This drop is attributed to reduced demand in the market.,Disaster
"However, despite the decline, the current price is still above the long-term average by around 17.2 percent as shown in figure 8 below. .",Disaster
"4.2 Crop Price 4.2.1 Maize As shown in Figure 9, the average retail price (per kg) of maize slightly declined from Ksh.",Disaster
This slight drop is attributed to normal market forces of demand and supply.,Disaster
Terms of Trade (ToT) The terms of trade in August 2025 largely remained the same as last month and stood at 67.,Disaster
This was due to the balance of ratio in goat and maize prices.,Disaster
The current ToT is slightly above average as shown in figure 10.,Disaster
"However, the Terms of Trade is expected to register deterioration in the coming months as livestock prices continue to decline.",Disaster
consumption in August 2025 remained the same as last month and stood at 1.5litres per litres.,Disaster
consumption is above the long- term average by about 35 percent.,Disaster
"consumption, while 31 percent were on the borderline.",Disaster
"Households in Pastoral Livelihood Zone were the most affected, as around 34 percent of them recorded poor food consumption score.",Disaster
"This high number of food insecure households could be attributed to significant downscaling of humanitarian interventions, since currently only one organization (RACIDA) is implementing cash transfer intervention.",Disaster
Figure 11: Milk consumption-Aug.,Disaster
5.2 Health and Nutrition Status 5.2.1 Nutrition Status The number of children at risk of moderate malnutrition increased from 10.6 percent in July 2025 to 12.2 percent during the month under review.,Disaster
humanitarian interventions across the county.,Disaster
"increase, the current trend is still below the long-term average by around 35 percent as shown in figure 13.",Disaster
5.3.2 Health Status There was no human disease outbreak reported in August 2025.,Disaster
Indices 5.4: Reduced coping strategy index (rCSI) The mean rCSI score for the county in August 2025 remained the same as last month and stood at 9.0.,Disaster
Households in the Pastoral Livelihood Zone applied more coping strategies when compared to households in other livelihood zones.,Disaster
The coping strategies commonly applied include relying on less preferred food and reducing the number of meals per day.,Disaster
Figure 14: Coping strategy index-Aug.,Disaster
6.1.1 Insecurity/Conflict/Human Displacement There were reported cases of resource-based conflict during the month under review at Arbajahan Ward in Wajir West where some lives were lost.,Disaster
The situation has been contained through community peace dialogue meetings.,Disaster
"However, there is the need to sustain more peace efforts in the said area to prevent further tension/conflict flare up.",Disaster
6.1.2 Migration There were no any unusual livestock migration reported during the month under review.,Disaster
The current migration pattern is still normal and within the seasonal trends.,Disaster
"However, there were some movements/migrations as pastoralists migrate from areas where the water pans have dried up.",Disaster
"There were reports of bush fires outbreak in Lagbogol Ward, Wajir South Sub-County which affected large sway of grazing land.",Disaster
'Short Rains' season indicates that the County is expected to receive below-average rainfall.,Disaster
2025 short rains season when the county may experience some short-lived regeneration.,Disaster
availability of rangeland resources.,Disaster
Livestock prices are expected to remain above average during the projected period.,Disaster
"However, should the 2025 short rains fail, then the price may start to decline.",Disaster
especially the provision of essential health and nutrition commodities.,Disaster
Livestock migration is expected to remain normal and within the seasonal ranges.,Disaster
"However, should the 2025 short rains fail, then we may have increased migration.",Disaster
"The abrupt closure of USAID funded projects is expected to have negative ripple effects on vulnerable households, with children and pregnant & lactating mothers becoming the most affected.",Disaster
"Currently, only one organization (RACIDA) is implementing interventions in the whole of Wajir County.",Disaster
Situation & EW Phase Classification Biophysical Indicators Rainfall The county had normal rains during the reporting period.,Disaster
The amounts received were fair in both time and space across the livelihood zones.,Disaster
Socio-Economic Indicators (Impact Indicators) Production Indicators Grain filling/podding and harvesting stages are in fair to good condition.,Disaster
Livestock body condition was fair to good.,Disaster
Milk production was within the normal ranges.,Disaster
Household water distances were within normal.,Disaster
Livestock watering distance were above the normal. ranges.,Disaster
Risk of malnutrition was within the normal ranges.,Disaster
Index was above normal ranges.,Disaster
space across the livelihood zones.,Disaster
"According to WFP-VAM datasets, cumulative rainfall estimates increased by 37 percent, rising to 97.37 mm in August from 71.71 mm in July (Figure 1).",Disaster
"Rainfall amounts were generally higher in August compared to July, with the highest rainfall recorded at the Kapenguria AWS in West Pokot Sub-county, while the lowest rainfall was observed at the DCC Office in Sigor (Weiwei Ward), Pokot Central Sub-county.",Disaster
"above normal, falling within the normal range of 35.56–97.37 mm (Figure 1).",Disaster
"improved by 20 percent, rising to 62.11 in August from 51.80 in July.",Disaster
"The VCI reflects a stable situation, showing a shift from near-normal vegetation conditions in July to above-normal conditions in August, according to FAO's satellite-derived monthly datasets.",Disaster
"A VCI above 35–50 denotes near- to above-normal vegetation conditions, which is consistent with the observed averages across livelihood zones (Figure 2).",Disaster
"conditions, with a higher VCI of 71.41.",Disaster
"This variation suggests better crop and pasture conditions in the Agro- Pastoral areas, likely driven by more diversified land use and higher soil moisture retention.",Disaster
"(42.96), and Mnagei (49.89) reported near-normal vegetation conditions.",Disaster
"Overall, vegetation conditions in these wards showed improvement compared to the previous month.",Disaster
during the current month.,Disaster
"conditions, as illustrated in Figure 3.",Disaster
"zones, 80 percent of pasture was reported to be in fair condition, while the Agro-Pastoral livelihood zones recorded 50 percent in fair condition.",Disaster
"Pasture conditions in August were better than the same period in 2023, but worse than in 2024.",Disaster
"Nonetheless, the available pasture is expected to last for 2-3 months, which is normal for this time of year.",Disaster
"livelihood zones recorded better browse conditions (ranging from fair to good) compared to the Pastoral zones, due to the relatively more favorable wet conditions experienced in Agro-Pastoral areas.",Disaster
The current browse condition is better than the same period in 2023 but worse than in 2024.,Disaster
"pans/dams, boreholes, traditional river wells, and rivers.",Disaster
"for 25, 23 and 19 percent of usage, as shown in Figure 5.",Disaster
significantly reduced the recharge capacity of open water sources.,Disaster
"sources increasing to 40–50 percent of their capacity in most areas, up from 35–45 percent.",Disaster
"Agro-Pastoral zones they are higher, at 60–70 percent.",Disaster
from 3.4 km recorded in the previous month.,Disaster
"within the normal seasonal range of 2.0–3.7 km, as illustrated in Figure 6.",Disaster
"Water consumption per person per day stagnated at 12 litres, reflecting a stable water situation.",Disaster
"However, this remains below the recommended threshold of 15 litres or more.",Disaster
"Clear disparities were observed between zones: Agro-Pastoral households consumed nine litres, while Pastoral households consumed 13 litres.",Disaster
"Both are below the standard, signaling access constraints likely driven by rugged terrain, scattered settlements, and limited infrastructure.",Disaster
"consumption, up from the previous month.",Disaster
"Despite this improvement, the low adoption of water treatment practices poses a public health risk, particularly in areas where open water sources are prone to contamination and shared with livestock.",Disaster
were forced to travel farther in search of reliable water sources.,Disaster
"Pastoral zones, a trend consistent with previous months.",Disaster
"The longest distances were recorded in Masol and Weiwei wards, areas characterized by rugged terrain, dispersed settlements, and limited permanent water sources, which significantly constrain efficient access to water.",Disaster
reflecting disparities in water infrastructure and vegetation cover.,Disaster
"Agro-Pastoral areas benefit from relatively well-developed boreholes and surface water harvesting systems, which support more frequent access to water.",Disaster
above the long-term average and 4 percent above the normal seasonal range of 1.3–3.5 km (Figure 7).,Disaster
"This underscores a persistent vulnerability in Pastoral areas, where water access remains fragile and heavily dependent on rainfall distribution, surface runoff efficiency, and effective disease control measures.",Disaster
"reduced availability of crop residues due to wilting and stunted crop growth in the Pastoral zones, compounded by increased livestock disease incidences.",Disaster
"condition, while those in the Agro-Pastoral zones exhibited mostly good, smooth body condition.",Disaster
"This disparity reflects the advantages in Agro-Pastoral areas such as better water access, stronger crop-livestock integration, and greater availability of supplementary feeding options, particularly in Chepareria and Weiwei wards.",Disaster
"3.1.2 Livestock Diseases During the reporting period, multiple livestock disease outbreaks were reported across West Pokot County (Table 2), with varying levels of risk.",Disaster
"Pleuropneumonia (CCPP) was the most severe outbreak, with 242 cases and 316 deaths in Pokot South Sub County.",Disaster
The risk level is very high.,Disaster
"Disease (NCD) affected 68 poultry, causing 20 deaths in West Pokot and Pokot South Sub Counties.",Disaster
"Peste des Petits Ruminants (PPR) outbreaks occurred in Pokot South, Pokot Central, Pokot North, and West Pokot, affecting 164 small ruminants with 45 deaths.",Disaster
to its contagious nature and rapid spread across multiple sub-counties.,Disaster
Losses from PPR directly threaten household nutrition through reduced milk supply and diminish income from goat and sheep sales.,Disaster
"Foot and Mouth Disease (FMD) was reported in West Pokot, with 103 cases but no mortalities.",Disaster
"The risk level is high given its impact on cattle trade restrictions, reduced market access, and lower milk yields, which negatively affect household earnings and food access.",Disaster
"Fever (ECF) and Anaplasmosis were reported in Pokot South and West Pokot sub- counties, affecting 142 cattle.",Disaster
"While no mortalities were recorded, the risk level is moderate.",Disaster
"Lastly, Helminthiasis in Pokot South (32 cases) and Lumpy Skin Disease (LSD) in West Pokot and Pokot North (22 cases) presented a low to moderate risk, with no recorded mortalities.",Disaster
"A total of 1,301 animals were vaccinated across different wards in West Pokot County.",Disaster
"In Pokot South Sub County, 100 sheep were vaccinated against Peste des Petit Ruminants (PPR) and 200 chickens against Newcastle Disease (NCD) in Chepareria Ward, while 1 head of cattle was vaccinated against East Coast Fever (ECF) in Lelan Ward.",Disaster
"In Kapenguria Sub County, 216 chickens were vaccinated against Fowl Pox in Kapenguria Ward, and 100 goats against Contagious Caprine Pleuropneumonia (CCPP) in Endugh Ward.",Disaster
"In Sigor Sub County, Sekerr Ward recorded the highest number with 681 goats vaccinated against PPR.",Disaster
representing a 19 percent improvement compared to the previous month.,Disaster
provided additional feed support.,Disaster
"zones, with the gap widening during the month due to improved feed availability, shorter water access distances, and more integrated livestock management practices.",Disaster
current milk production is still six percent below the long-term average and four percent below the normal seasonal range of 1.56–1.90 litres per household per day (Figure 9).,Disaster
"This shortfall reflects the lingering effects of uneven pasture and browses recovery, especially in the drier Pastoral areas.",Disaster
"maize and beans, while maize, beans, and Irish potatoes were the major crops planted in the mixed farming livelihood zone.",Disaster
"harvesting stages, with overall conditions ranging from fair to good.",Disaster
"However, in areas that received below-average rainfall, some crops are exhibiting early to late signs of wilting caused by moisture stress, resulting in fair to poor performance.",Disaster
"In such areas, affected crops are still being utilized as crop residues to support livestock feeding.",Disaster
"tomatoes, cabbages, and kales in parts of Pokot South and Pokot West sub-counties.",Disaster
The crops were at various stages of growth and in good condition.,Disaster
"4.0 MARKET PERFORMANCE 4.1 LIVESTOCK MARKETING 4.1.1 Cattle Prices The average market price for cattle rose by 11 percent, from Ksh.",Disaster
improvement in livestock value.,Disaster
"Pastoral livelihood zones, averaging Ksh.",Disaster
"market dynamics, including reduced accessibility to major markets, periodic oversupply, and limited purchasing power among buyers.",Disaster
than the short-term average and 24 percent above the normal range of Ksh.,Disaster
"This sustained an upward trend strongly reflects improved livestock body conditions, consistent demand in well-connected trading centers, and overall market confidence, thereby underscoring the resilience of the livestock sector as a key livelihood and income source in the region.",Disaster
"increased by 5 percent, rising from Ksh.",Disaster
"4,238 in the previous month to Ksh.",Disaster
body condition and marketability.,Disaster
"Notably, the Agro-Pastoral livelihood zone recorded a significantly higher average goat price of Ksh.",Disaster
"3,860 in the Pastoral zone.",Disaster
"This price disparity highlights the advantages of Agro-Pastoral areas, where farmers benefit from better access to stable markets, veterinary services, and relatively healthier livestock, while Pastoral zones continue to face challenges of remoteness, weaker demand, and limited market integration.",Disaster
"Despite the monthly gains, the current goat prices remain 13 percent below the short-term average and 18 percent below the normal range of Ksh.",Disaster
"This persistent shortfall underscores the lingering effects of market distortions and reduced purchasing power, particularly in Pastoral areas, thereby justifying the need for enhanced livestock market access, support services, and resilience interventions to stabilize incomes and safeguard household food security.",Disaster
"dependence on external markets, eased market pressure, and contributed to price stabilization.",Disaster
slightly higher in the Pastoral livelihood zones at Ksh.,Disaster
66 in the Agro-Pastoral zones.,Disaster
"The price variation reflects the limited local production capacity in Pastoral areas, where rainfall is less reliable, and crop output remains minimal.",Disaster
"As a result, these areas continue to rely heavily on market-supplied maize, sustaining relatively higher prices.",Disaster
County and neighboring Uganda.,Disaster
"These major surplus-producing regions continue to play a critical role in supplementing local supplies and cushioning food availability in West Pokot, especially in non-harvesting zones that remain vulnerable to market fluctuations.",Disaster
average but remains within the normal price band of Ksh.,Disaster
52–73 per kilogram (Figure 12).,Disaster
This indicates that market conditions are generally stable and not under abnormal stress.,Disaster
"However, continuous monitoring is required as post-harvest dynamics and potential disruptions in external supply chains could trigger further price volatility.",Disaster
"percent in August, dropping to Ksh.",Disaster
conditions were favourable for bean production.,Disaster
"Increased availability at the household and market levels reduced pressure on prices, especially in key trading centres.",Disaster
Bean prices were higher in the Pastoral livelihood zone compared to the Agro-Pastoral zone.,Disaster
"This disparity is due to minimal bean production in the Pastoral areas, which are less agriculturally productive due to harsher climatic conditions and limited land under cultivation.",Disaster
"Consequently, Pastoral areas rely more on market purchases, often sourced from the Agro- Pastoral areas or external markets, leading to higher local prices.",Disaster
"90–170, as illustrated in Figure 13.",Disaster
"While prices have dropped, the supply has improved, demand particularly in food-deficit zones remains strong.",Disaster
"Additionally, transportation costs from producing to consuming zones, especially in remote Pastoral areas, contribute to the elevated prices.",Disaster
kilograms of maize per goat sold.,Disaster
"now purchase 65 kilograms of maize from the proceeds of selling one mature goat, compared to 65 kilograms the previous month.",Disaster
"decline in maize prices following the onset of the harvest season, which eased market pressure on staple food commodities.",Disaster
ToT was more favorable in the Agro-Pastoral livelihood zones than in the Pastoral zones.,Disaster
"Pastoral areas benefit from diversified income sources, including both livestock and crop production, and their proximity to major supply markets lowers food purchase costs.",Disaster
"In contrast, Pastoral areas remain more vulnerable due to higher maize prices and reduced bargaining power, exacerbated by longer market distances and limited agricultural activity.",Disaster
"average, reflecting persistent market imbalances and limited recovery in livestock value due to ongoing animal health challenges.",Disaster
"Nevertheless, the ToT remains 30 percent within the normal seasonal range of 72–94 kilograms, indicating that while conditions have not fully normalized.",Disaster
Figure 14 illustrates these dynamics clearly.,Disaster
"percent in August, falling to 1.43 liters from 1.20 liters in the previous month.",Disaster
"reported higher household milk consumption compared to Pastoral zones, consistent with the previous month.",Disaster
"This difference reflects better access to both livestock feed and supportive infrastructure (water and pasture) in Agro-Pastoral areas, which enables sustained milk production and retention.",Disaster
"percent within the normal seasonal range of 1.39–1.79 liters per household per day, as illustrated in Figure 15.",Disaster
"households (53 percent) remained in the borderline food consumption category, while 1.3 percent were categorized as having poor food consumption.",Disaster
"This distribution suggests that although some improvements in food availability were recorded, a significant proportion of households are still consuming diets that are insufficient in either quantity, quality, or both particularly those in the Pastoral zones where market access and food diversity are limited.",Disaster
"supported by better food production systems, diversified sources of income, and improved coping mechanisms.",Disaster
"In contrast, Pastoral households remained more vulnerable to dietary fluctuations due to their reliance on livestock and purchased food.",Disaster
"the same periods in 2024 and 2023, indicating gradual progress in food security, likely influenced by ongoing resilience-building and nutrition-focused interventions.",Disaster
"As shown in Figure 16, this positive shift underscores the importance of sustaining community-based food systems and supporting household-level production to improve dietary outcomes.",Disaster
<135mm) declined from 3.6 percent in July to 2.3 percent in August 2025.,Disaster
persist across livelihood zones.,Disaster
The Agro-Pastoral zones recorded a higher risk (4 percent) compared to one percent in the Pastoral zones.,Disaster
"This compromises household dietary diversity, especially for vulnerable children.",Disaster
"Furthermore, poor child care practices, including suboptimal feeding and limited health-seeking behavior, continue to undermine nutritional gains in these zones.",Disaster
"6.3 percent within the normal range of 2.2–8.6 percent, as shown in Figure 17.",Disaster
This signifies positive progress in child nutrition outcomes.,Disaster
"However, without addressing socio-economic pressures and reinforcing maternal education on infant feeding and care practices, such improvements may not be sustained.",Disaster
August from 5.68 in July.,Disaster
"Agro-Pastoral zones recorded a higher rCSI of 8.4 compared to 5.2 in the Pastoral zones, indicating that food insecurity pressure is still more pronounced in areas with higher market dependence and limited own production.",Disaster
"The most frequently used coping strategies included reducing meal portions, skipping meals, and consuming less preferred foods, reflecting constrained food choices and unstable income streams.",Disaster
"than the normal range (0.7–2.3), as shown in Figure 18.",Disaster
"This indicates stress on household food security, necessitating targeted interventions in food assistance, income diversification, and market stabilization to prevent further deterioration.",Disaster
which was worsenening trend by two percent from 68 percent in previous month.,Disaster
percent used moderate and 5.1 percent employed severe coping strategies.,Disaster
"moderate, and 10.7 percent severe - demonstrating a significant reduction in distress-based responses.",Disaster
"August 2025 than during similar periods in 2024 and 2023, indicating that households are still navigating chronic food access challenges, as shown in Figure 19.",Disaster
"1 The population in terms of human elements and numbers for the case of non-human elements 2 Critical facilities like schools, health facilities, markets among others.",Disaster
"Sun- Counties and Suam, Riwo, Batei & Masol Ward.",Disaster
"County, Pokot North, West, South and Central Sub- Counties , Suam, Riwo, Batei and Masol Ward.",Disaster
7.0 EMERGING ISSUES 7.1 Insecurity/Conflict/Human Displacement No major conflict issues that are related to drought were reported during the month under review.,Disaster
7.2 Migration No major migrations were reported across the livelihoods.,Disaster
This is expected to emerge though at minimal levels.,Disaster
"released on August 31, 2025, the county is expected to receive near-to-above-average rainfall, though with intermittent breaks.",Disaster
This outlook suggests overall improvement in water and forage availability but with uneven distribution between Agro-Pastoral and Pastoral livelihood zones.,Disaster
"likely to enhance soil moisture, support crop recovery, and sustain short-cycle vegetable production.",Disaster
"This will also contribute to improved livestock body condition, milk production, and shorter trekking distances for water and pasture.",Disaster
"Conversely, Pastoral zones including Kapchok, Kiwawa, Alale, and Kodich may still experience erratic and poorly distributed rains, sustaining localized water stress and constraining livestock productivity.",Disaster
"to normal vegetation, implying stable but uneven pasture and browse regeneration.",Disaster
"While this will generally support livestock production, Pastoral areas may continue to experience strain, reinforcing disparities between zones.",Disaster
"development, particularly late-planted maize at grain-filling stages, and enhancing prospects for household food stocks.",Disaster
"However, prolonged rains during harvest could increase post-harvest losses due to inadequate drying and storage facilities.",Disaster
into improved milk yields in wet areas and reduced trekking distances.,Disaster
"Agro-Pastoral zones are likely to sustain moderate production levels, but Pastoral zones may see only marginal improvement given structural water and pasture constraints.",Disaster
"challenges such as siltation and high evaporation, particularly in Masol, Weiwei, and Kiwawa- may undermine long-term water availability.",Disaster
"In hard-to-reach areas, breaks in rainfall may worsen household water access, heightening vulnerability.",Disaster
"may further compound food and market dynamics by disrupting trade flows, limiting service delivery, and displacing households.",Disaster
"moderate-to-severe vegetation decline, expected water stress, and worsening food insecurity, Suam and Masol - Erratic rainfall, poor pasture regeneration, and increasing livestock stress, Alale and Lomut - Risk of insecurity affecting food access, livestock movement, and market dynamics and Weiwei and Chepareria – Soil erosion and siltation of water sources threaten future water availability.",Disaster
"Campaigns: Scale up ongoing vaccinations for PPR, CCPP, and Newcastle disease to reduce mortality and increase market access confidence.",Disaster
supplementary feeding using crop residues to cushion against poor pasture regeneration.,Disaster
Access to Veterinary Services: Deploy mobile veterinary units and establish strategic drug reserves in hard-to-reach wards.,Disaster
"varieties, especially for maize and beans, to improve resilience in areas experiencing moisture stress.",Disaster
aggregation centres to minimize post- harvest losses and improve food availability through lean seasons.,Disaster
Desilt and Rehabilitate Open Water Sources: Prioritize cleaning of silted pans/dams and improve catchment protection to increase water retention and recharge.,Disaster
"Treatment: Scale up awareness and distribution of water treatment options to reduce waterborne diseases, especially in zones relying on rivers and wells.",Disaster
"rehabilitate existing ones in critical wards to reduce trekking distances, especially for pastoralists.",Disaster
"immunizations, child nutrition screening, and antenatal care.",Disaster
feeding practices to address preventable illnesses.,Disaster
Improve Disease Surveillance: Strengthen early warning systems and community health worker networks to monitor and report disease outbreaks quickly.,Disaster
"Gardens: Support low-cost, water-efficient kitchen gardens to diversify diets with vegetables and legumes, especially in Agro-Pastoral areas.",Disaster
"Feeding: Sustain nutrition interventions targeting children under five, pregnant and lactating women, especially in areas with high Global Acute Malnutrition (GAM) risk.",Disaster
"community leaders to balance milk sales with consumption, particularly in Agro- Pastoral areas.",Disaster
Access and Infrastructure: Rehabilitate roads and improve holding grounds and veterinary screening points to enhance livestock trade.,Disaster
agreements with Uganda and Trans-Nzoia to ensure steady food supplies.,Disaster
"households in value addition, agribusiness, and off-farm income-generating activities to reduce dependence on distressed sales.",Disaster
dry weather throughout January.,Disaster
"particularly in Mandera, Wajir, Garissa, Turkana, and Marsabit.",Disaster
breastfeeding women requiring urgent treatment.,Disaster
conditions during the month and resulting in limited moisture recharge.,Disaster
poor spatial distribution.,Disaster
recorded in some localized areas.,Disaster
to significantly improve moisture conditions.,Disaster
predominantly dry for most of the month.,Disaster
areas throughout the month.,Disaster
anticipated in a few localized areas.,Disaster
average across all ASAL regions.,Disaster
temperatures are likely to range from 20°C-26°C.,Disaster
conditions are expected to be generally dry for most of the month.,Disaster
may occur over a few places during the month.,Disaster
"24°C to 36°C, while minimum temperatures are likely to range between 12°C and 23°C.",Disaster
to prevail throughout the month.,Disaster
minimum temperatures are likely to range between 23°C-27°C.,Disaster
"water availability, pasture and browse or rangeland conditions.",Disaster
"and West Pokot, exhibited normal vegetation conditions.",Disaster
Severe vegetation deficits were recorded in Isiolo and Kilifi.,Disaster
counties at the end of December 2025 and January 2026.,Disaster
on the most affected sub counties is provided in Table1.,Disaster
"(10) Lafey, Mandera North, Banissa, Mandera East, Tarbaj, Wajir South, Wajir West, Eldas, Wajir East, Dadaab.",Disaster
"(26) Balambala, Dujis ,Ijara, Fafi, Lagdera, Isiolo South, Rabai, Kilifi South, Mwingi North, Kitui West, Kitui East, Kitui South, Laisamis, North Horr, Tigania West, Buuri, Narok South, Samburu East, Kinango, Bura, Loima, Mwatate, Wundanyi, Taveta, Tharaka, Lamu East.",Disaster
"East, Malindi, Kajiado Central, Kajiado West, Kajiado South, Kajiado East, Gachoka, Siakago, Kacheliba, Sigor.",Disaster
Majority of the areas reported the body condition for both cattle and goats as being fair.,Disaster
the condition of both species in Mandera and Wajir was poor (Table 2).,Disaster
was below normal to the one usually witnessed during the period.,Disaster
large stock was recorded in majority of the counties constituting about 65 percent (Table 3).,Disaster
seasonal range in 78 percent of the counties.,Disaster
"Throughout the reporting period, several livestock diseases were reported across multiple counties.",Disaster
"(notably in Laisamis sub-county), Turkana, Wajir, Laikipia, and Meru counties.",Disaster
pleuropneumonia (CBPP) was reported in Turkana and Meru counties.,Disaster
ring vaccination was conducted.,Disaster
trypanosomiasis also reported in Wajir County.,Disaster
"reported in Marsabit County, particularly in Moyale and Laisamis sub-counties.",Disaster
reported among livestock in Meru County.,Disaster
"and infectious coryza, were reported in Laikipia County.",Disaster
Rabies cases were reported in Turkana and Wajir counties.,Disaster
reported in Laikipia County.,Disaster
cause were recorded in Kitui County.,Disaster
"previous month, with only Samburu, Embu, Makueni, and Meru recording stable prices (Table 4).",Disaster
"participation that helped sustain above-normal prices except in Mandera, Tana River, and Kwale.",Disaster
"Samburu, Embu, Lamu, Kajiado, Makueni, and Taita Taveta recorded stable prices (Table 5).",Disaster
body condition among goats.,Disaster
"levels, except in Mandera, Wajir, and Kwale.",Disaster
strong market performance.,Disaster
"(SEMA) zones, causing widespread crop wilting and major yield losses.",Disaster
"harvests of maize, cowpeas, and green grams.",Disaster
Makueni further affected by pests reducing yields by up to 70 percent.,Disaster
reduced agricultural income across these regions.,Disaster
activities across the counties during the period under review.,Disaster
stress that led to wilting and crop losses.,Disaster
farmers managed to harvest simsim during the reporting period.,Disaster
Overall crop performance was far below the expected yield.,Disaster
experienced pronounced production declines.,Disaster
to typical seasonal patterns.,Disaster
suffered complete failure.,Disaster
hardest hit across the zones.,Disaster
to be harvested in February.,Disaster
"such as Kamarandi, Kiambere, and parts of Mwea.",Disaster
millet occupying the largest proportion of cultivated land.,Disaster
prolonged moisture stress.,Disaster
and green grams also deteriorated.,Disaster
ranged from poor to complete failure.,Disaster
harvest and underscoring the severity of the agricultural stress.,Disaster
"filling stages, though overall field conditions ranged from poor to fair.",Disaster
65–70 percent in some communities.,Disaster
The main activity ongoing during the month of January was weeding.,Disaster
indicating mixed crop performance.,Disaster
"stress, with widespread wilting evident in many areas.",Disaster
potatoes in agro-pastoral and mixed farming areas.,Disaster
"percent, beans by 72.3 percent, and Irish potatoes by 41.5 percent.",Disaster
both livelihood zones was weeding.,Disaster
"knee height, while beans and Irish potatoes were at the flowering stage.",Disaster
remained stable in about 61 percent of the areas (Table 7).,Disaster
transportation costs from external source areas.,Disaster
border imports and consistent inflows from neighboring high potential agricultural counties.,Disaster
the distance households trekked to access water for domestic use (Table 8).,Disaster
early cessation of the short rains.,Disaster
counties at 7.0 kilometres.,Disaster
tables that rendered some water facilities non-functional.,Disaster
reduced flows in permanent rivers following the poor performance of the short rains season.,Disaster
while Lamu reported the longest distance among the semi-arid counties at 10.0 kilometres.,Disaster
"Marsabit, Mandera, Tana River, Wajir, Kitui, Kwale, and Lamu.",Disaster
largely driven by poor recharge of water facilities during the short rains season.,Disaster
previous month (Table 10).,Disaster
anticipation of worsening drought situation.,Disaster
